time,Q1,Q2,Q3
72,1.73,4.16,8.2105
72.83,5.65,7.87,11.751
73.66,7.63975,10.43,14.57025
74.48,8.85975,12.195,16.84075
75.31,9.8875,13.525,18.641
76.14,9.91975,13.78,19.07075
76.97,7.38875,10.93,15.8015
77.79,5.8,9.11,13.73025
78.62,4.65975,7.82,12.4205
79.45,3.84,6.945,11.401
80.28,3.25,6.21,10.6505
81.1,2.73975,5.63,9.962
81.93,2.3695,5.12,9.43125
82.76,2.07,4.71,8.96025
83.59,1.83,4.34,8.51025
84.41,4.09975,6.225,10.2
85.24,6.8195,9.25,13.20175
86.07,8.31925,11.415,15.811
86.9,9.3895,12.91,17.82325
87.72,10.34775,14.13,19.4205
88.55,8.55,12.175,17.21
89.38,6.46975,9.92,14.73125
90.21,5.19,8.43,13.003
91.03,4.23875,7.4,11.921
91.86,3.52,6.56,11.06
92.69,2.96975,5.92,10.3305
93.52,2.53975,5.365,9.70225
94.34,2.20975,4.92,9.24
95.17,1.93975,4.54,8.77
96,1.73975,4.19,8.3105
