time,Q1,Q2,Q3
72,8.30675,17.2,29.51475
72.83,18.018,25.955,38.666
73.66,23.4185,32.145,45.36325
74.48,20.90775,29.905,43.40325
75.31,15.91925,25.07,38.29125
76.14,12.508,21.97,34.70525
76.97,10.32975,19.59,32.217
77.79,8.6575,17.67,30.37
78.62,16.21975,24.14,37.05
79.45,22.2395,30.94,43.87975
80.28,22.5295,31.685,45.4645
81.1,17.0675,26.11,39.55175
81.93,13.2275,22.71,35.55925
82.76,10.8095,20.165,33.05125
83.59,9.0595,18.165,30.942
84.41,14.17975,22.135,34.9315
85.24,21.0475,29.465,42.557
86.07,24.2995,33.63,47.66025
86.9,18.10975,27.235,40.6145
87.72,13.9685,23.51,36.65025
88.55,11.309,20.74,33.628
89.38,9.43975,18.63,31.47475
90.21,11.42,19.99,32.7005
91.03,19.52925,27.795,41.0925
91.86,24.40875,33.515,47.3725
92.69,19.55825,28.485,42.01025
93.52,14.84925,24.31,37.44075
94.34,11.8495,21.36,34.32075
95.17,9.9185,19.13,32.15375
96,8.30825,17.365,30.21075
