time,Q1,Q2,Q3
72,22.7985,35.23,53.45125
72.83,22.7985,35.235,53.501
73.66,22.7985,35.235,53.541
74.48,22.7985,35.235,53.57125
75.31,22.7985,35.24,53.61125
76.14,22.7985,35.265,53.65125
76.97,22.7985,35.265,53.68125
77.79,22.7985,35.265,53.7115
78.62,22.7985,35.265,53.7415
79.45,22.79875,35.265,53.7715
80.28,22.799,35.265,53.8015
81.1,22.79925,35.275,53.8315
81.93,22.79975,35.285,53.8615
82.76,22.8,35.295,53.8815
83.59,22.80975,35.31,53.90175
84.41,22.8195,35.32,53.9315
85.24,22.82925,35.33,53.95175
86.07,22.82925,35.34,53.97175
86.9,22.839,35.35,53.99175
87.72,22.84875,35.35,54.01175
88.55,22.8585,35.35,54.03175
89.38,22.86825,35.355,54.05175
90.21,22.878,35.365,54.07175
91.03,22.88775,35.375,54.08175
91.86,22.88775,35.385,54.10175
92.69,22.8975,35.395,54.1315
93.52,22.90725,35.41,54.161
94.34,22.90725,35.42,54.2005
95.17,22.917,35.425,54.23
96,22.92675,35.425,54.24025
