time,Q1,Q2,Q3
72,5.58925,11.975,20.85
72.83,10.3365,16.36,25.13175
73.66,12.85925,19.2,27.8515
74.48,14.509,21.2,30.3455
75.31,15.568,22.64,32.286
76.14,15.48575,22.75,32.67175
76.97,11.5885,18.89,28.111
77.79,9.0685,16.195,25.49025
78.62,7.506,14.275,23.35
79.45,6.22825,12.78,21.94125
80.28,7.6385,13.745,22.65025
81.1,11.289,17.45,26.41225
81.93,13.489,20.005,28.872
82.76,14.9685,21.745,31.1095
83.59,15.82775,23.1,33.0115
84.41,13.979,21.3,31.004
85.24,10.59975,17.865,27.16325
86.07,8.44,15.52,24.70275
86.9,7.094,13.75,22.981
87.72,5.8585,12.38,21.5215
88.55,9.04975,15.21,24.1205
89.38,12.189,18.41,27.362
90.21,14.0485,20.665,29.81175
91.03,15.2795,22.25,32.001
91.86,16.0785,23.505,33.65025
92.69,12.6495,20.06,29.46025
93.52,9.72,17,26.3505
94.34,7.949,14.9,24.0535
95.17,6.69475,13.27,22.59025
96,5.599,12.02,21.1005
