standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.55809,0.00142857,-2.21465,0.00142857,-2.73763,0.00142857,-2.39342,0.00142857,All
-2.54834,0.00285714,-2.21178,0.00285714,-2.73002,0.00285714,-2.38991,0.00285714,All
-2.54003,0.00428571,-2.20707,0.00428571,-2.72028,0.00428571,-2.37879,0.00428571,All
-2.52603,0.00571429,-2.20636,0.00571429,-2.71987,0.00571429,-2.34094,0.00571429,All
-2.50632,0.00714286,-2.20607,0.00714286,-2.71838,0.00714286,-1.77152,0.00714286,All
-2.49615,0.00857143,-2.20364,0.00857143,-2.71659,0.00857143,-1.76062,0.00857143,All
-2.49275,0.01,-2.20316,0.01,-2.70961,0.01,-1.69586,0.01,All
-2.49111,0.0114286,-2.19692,0.0114286,-2.69796,0.0114286,-1.68342,0.0114286,All
-2.48929,0.0128571,-2.19463,0.0128571,-2.69789,0.0128571,-1.67603,0.0128571,All
-2.48557,0.0142857,-2.18361,0.0142857,-2.69087,0.0142857,-1.66127,0.0142857,All
-2.48048,0.0157143,-2.18164,0.0157143,-2.68055,0.0157143,-1.64749,0.0157143,All
-2.47387,0.0171429,-2.17836,0.0171429,-2.68,0.0171429,-1.64667,0.0171429,All
-2.04928,0.0185714,-2.08936,0.0185714,-2.66291,0.0185714,-1.63343,0.0185714,All
-2.03255,0.02,-2.07212,0.02,-2.51271,0.02,-1.62573,0.02,All
-1.91489,0.0214286,-2.0588,0.0214286,-2.51212,0.0214286,-1.62115,0.0214286,All
-1.90346,0.0228571,-2.0371,0.0228571,-2.47762,0.0228571,-1.62067,0.0228571,All
-1.90267,0.0242857,-2.01741,0.0242857,-2.47647,0.0242857,-1.60838,0.0242857,All
-1.90117,0.0257143,-2.01682,0.0257143,-2.4741,0.0257143,-1.5841,0.0257143,All
