iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,845.669,1,5.16,21.01,5.51,25.66,0.251697,0.297035,0.612392,0.353976,0.998761,0.303866,0.0620149
2,814.991,1,5.20114,20.731,6.60801,25.3765,0.253206,0.289514,0.634255,0.345013,0.998761,0.307245,0.0774487
3,810.78,1,5.19951,20.831,6.47531,25.5923,0.260911,0.282183,0.677794,0.336277,0.998761,0.30284,0.0799157
4,803.805,1,5.19713,21.0119,6.30123,25.8283,0.259141,0.275038,0.670128,0.327762,0.998761,0.298635,0.0778921
5,796.638,1,5.16627,21.2359,5.7744,26.1562,0.259674,0.268074,0.671238,0.319463,0.998761,0.301005,0.0760899
6,800.282,1,5.16811,21.2283,5.91648,26.1553,0.259266,0.261286,0.654242,0.311374,0.998761,0.298646,0.0782996
7,796.549,1,5.15879,21.2178,6.09097,26.1646,0.260593,0.25467,0.666717,0.30349,0.998761,0.297378,0.0781003
8,791.343,1,5.1922,21.0812,5.93762,25.9041,0.253994,0.248222,0.669445,0.295805,0.998761,0.296281,0.0761228
9,794.292,1,5.15993,20.9203,6.02729,25.6773,0.257955,0.241937,0.715753,0.288315,0.998761,0.297314,0.0773116
10,793.371,1,5.17932,20.8172,6.24,25.5509,0.261718,0.235811,0.711921,0.281015,0.998761,0.296994,0.0778162
11,792.474,1,5.20541,20.9894,6.2137,25.7249,0.258519,0.22984,0.738006,0.2739,0.998761,0.293839,0.0764313
12,784.293,1,5.17737,20.7722,6.24673,25.3812,0.25693,0.22402,0.719319,0.266964,0.998761,0.299035,0.0744961
13,776.811,1,5.15562,20.8789,6.17208,25.5024,0.255375,0.218348,0.73068,0.260205,0.998761,0.299043,0.0726098
14,776.832,1,5.1657,21.0267,6.02695,25.6537,0.254177,0.212819,0.718049,0.253616,0.998761,0.29976,0.0715993
15,781.929,1,5.19253,20.8826,6.34203,25.4681,0.257023,0.20743,0.716493,0.247194,0.998761,0.302637,0.0726036
16,788.857,1,5.14552,20.7789,6.11453,25.2739,0.262733,0.204594,0.718441,0.242172,0.998761,0.305934,0.0733435
17,781.185,1,5.13581,20.8644,5.96297,25.3931,0.25608,0.211577,0.70025,0.249475,0.998761,0.302497,0.0727846
18,775.57,1,5.17108,20.8461,5.78164,25.3966,0.250208,0.210471,0.682519,0.249063,0.998761,0.29818,0.0730273
19,770.292,1,5.13315,20.9833,5.62692,25.5824,0.257595,0.214705,0.665237,0.254609,0.998761,0.300668,0.0711782
20,769.582,1,5.13989,20.939,5.74238,25.5329,0.264503,0.220651,0.648393,0.262102,0.998761,0.306055,0.0693759
21,772.292,1,5.15973,20.9161,5.99921,25.561,0.257805,0.220463,0.683707,0.26336,0.998761,0.299425,0.0711052
22,778.286,1,5.14124,21.047,5.8714,25.7789,0.259498,0.219486,0.676446,0.263391,0.998761,0.303472,0.0708979
23,778.698,1,5.14629,20.9823,5.68461,25.7059,0.252927,0.226738,0.659318,0.27328,0.998761,0.297618,0.0737063
24,779.199,1,5.17917,21.2914,5.78262,26.1272,0.251479,0.225715,0.642624,0.271558,0.998761,0.29236,0.0730023
25,772.797,1,5.19209,21.1377,5.82693,25.9022,0.262452,0.221919,0.658715,0.265274,0.998761,0.299641,0.0711538
26,772.847,1,5.18826,21.1711,5.91221,25.9744,0.259161,0.226927,0.650287,0.272606,0.998761,0.301552,0.0693559
27,774.854,1,5.16916,21.2054,5.94737,26.0372,0.255682,0.232847,0.655484,0.277474,0.998761,0.301887,0.069765
28,772.165,1,5.1636,21.0082,6.11521,25.7812,0.254536,0.232606,0.646923,0.274975,0.998761,0.30386,0.0679985
29,768.765,1,5.18975,20.9937,6.24147,25.7354,0.254732,0.231453,0.68798,0.27405,0.998761,0.300291,0.0687819
30,771.776,1,5.17691,20.8053,5.77634,25.4312,0.252787,0.226712,0.675031,0.267111,0.998761,0.296763,0.0687083
31,773.559,1,5.16491,20.8903,5.79914,25.4973,0.247287,0.229101,0.689482,0.269909,0.998761,0.300725,0.0695879
32,770.819,1,5.16109,20.6864,5.83914,25.2178,0.253439,0.230351,0.681299,0.27009,0.998761,0.302136,0.0681819
33,776.271,1,5.16603,20.6409,5.72998,25.1729,0.258855,0.228113,0.732412,0.268107,0.998761,0.30766,0.0684621
34,788.732,1,5.13645,20.6568,5.94344,25.173,0.262306,0.223098,0.740537,0.261318,0.998761,0.305047,0.0722283
35,786.896,1,5.1514,20.7042,5.88402,25.2637,0.255664,0.225387,0.721786,0.265212,0.998761,0.297323,0.0735257
36,778.788,1,5.17012,20.7587,6.468,25.3309,0.259807,0.224328,0.7189,0.264051,0.998761,0.299228,0.071664
37,782.668,1,5.15951,20.7147,6.26466,25.1945,0.26568,0.224774,0.721576,0.269636,0.998761,0.304322,0.0698494
38,778.123,1,5.14278,20.9442,6.06833,25.5772,0.258953,0.226104,0.703305,0.271174,0.998761,0.296625,0.0719522
39,778.668,1,5.15394,20.8442,6.13187,25.3824,0.255514,0.223009,0.685497,0.264308,0.998761,0.298956,0.0714333
40,773.288,1,5.16328,20.9761,5.96511,25.492,0.255933,0.225185,0.66814,0.266206,0.998761,0.304233,0.0696245
41,776.91,1,5.18977,20.8226,6.31287,25.238,0.25854,0.223179,0.661443,0.267363,0.998761,0.301257,0.0699026
42,767.32,1,5.18482,20.883,6.09587,25.3263,0.259791,0.217528,0.655112,0.260593,0.998761,0.299016,0.0681327
43,761.398,1,5.17542,20.8279,6.1576,25.2996,0.259893,0.212493,0.660403,0.253995,0.998761,0.299368,0.0667124
44,755.366,1,5.18851,20.8514,6.27547,25.3883,0.261003,0.213627,0.682196,0.257107,0.998761,0.300043,0.0652877
45,770.693,1,5.19816,20.6532,6.229,25.0369,0.256621,0.213431,0.711822,0.253534,0.998761,0.304421,0.0669131
46,764.413,1,5.1555,20.6668,5.81984,25.1014,0.263909,0.215617,0.711907,0.257955,0.998761,0.303809,0.0662717
47,770.166,1,5.13546,20.632,5.61852,25.0977,0.264198,0.218561,0.693881,0.264195,0.998761,0.306123,0.0679261
48,773.635,1,5.13182,20.5891,5.54547,25.0019,0.260044,0.216691,0.676312,0.261744,0.998761,0.306575,0.068344
49,774.3,1,5.1256,20.7628,5.54392,25.2161,0.264923,0.217911,0.659187,0.26369,0.998761,0.305326,0.0685995
50,777.436,1,5.14755,20.79,5.78353,25.2552,0.262224,0.218407,0.717193,0.265348,0.998761,0.307433,0.0691932
51,779.633,1,5.16264,20.803,5.84081,25.2243,0.260904,0.223563,0.700684,0.274504,0.998761,0.300901,0.069161
52,769.987,1,5.17096,20.894,5.8288,25.4445,0.256178,0.219523,0.719852,0.271212,0.998761,0.296162,0.0679707
53,777.119,1,5.13855,20.8894,6.03461,25.4782,0.256858,0.217268,0.706874,0.26712,0.998761,0.295328,0.069753
54,780.799,1,5.15778,20.8992,5.83037,25.446,0.258062,0.220692,0.692591,0.271291,0.998761,0.296869,0.0712804
55,773.318,1,5.12948,20.8466,5.82029,25.4131,0.256157,0.219829,0.675054,0.274057,0.998761,0.297332,0.0696995
56,773.745,1,5.15257,20.7621,5.90768,25.3171,0.255666,0.220498,0.715414,0.275815,0.998761,0.297686,0.0688922
57,766.792,1,5.14233,20.6903,5.80148,25.2399,0.257413,0.221844,0.736524,0.273852,0.998761,0.300746,0.0671478
58,773.819,1,5.14406,20.6784,5.95778,25.2588,0.255855,0.218694,0.749003,0.269291,0.998761,0.300886,0.0665486
59,773.227,1,5.17249,20.6976,6.32749,25.2638,0.258297,0.218717,0.730037,0.270221,0.998761,0.295225,0.0690395
60,771.103,1,5.18872,20.6998,6.38028,25.1954,0.252087,0.21764,0.740331,0.270668,0.998761,0.297187,0.0703241
61,778.681,1,5.16438,20.7303,6.38384,25.249,0.261987,0.216446,0.773073,0.26935,0.998761,0.304631,0.0693618
62,778.139,1,5.14052,20.5298,6.17699,24.9404,0.256349,0.217913,0.757267,0.273064,0.998761,0.298877,0.0709658
63,775.28,1,5.14826,20.4094,5.97341,24.7545,0.252713,0.212494,0.738092,0.26615,0.998761,0.293157,0.0720978
64,769.192,1,5.11664,20.7742,5.58779,25.2773,0.26382,0.207113,0.731359,0.259411,0.998761,0.302656,0.0702723
