iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1510.93,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1490.99,1,4.88969,29.6435,7.26993,36.7037,0.974679,0.974679,1.11382,0.974679,0.998761,0.974679,0.974679
3,1482.85,1,4.64722,28.3047,7.64843,35.4618,0.95,0.95,1.14985,0.95,0.998761,0.95,0.95
4,1468.04,1,4.4087,27.7493,9.56243,34.5104,0.925945,0.925945,1.12073,0.925945,0.998761,0.925945,0.925945
5,1458.56,1,4.2968,30.3605,7.33487,37.6697,0.9025,0.9025,1.09235,0.9025,0.998761,0.9025,0.9025
6,1451.89,1,4.29672,32.4318,8.59392,40.309,0.879648,0.879648,1.0741,0.879648,0.998761,0.879648,0.879648
7,1438.84,1,4.53934,31.3006,9.24062,38.9398,0.857375,0.857375,1.0469,0.857375,0.998761,0.857375,0.857375
8,1422.13,1,4.46145,30.4904,7.61368,37.7428,0.835666,0.835666,1.0204,0.835666,0.998761,0.835666,0.835666
9,1408.81,1,4.53659,31.9286,7.86593,39.5556,0.814506,0.814506,0.994559,0.814506,0.998761,0.814506,0.814506
10,1407.69,1,4.2174,32.2355,7.99717,39.9171,0.793882,0.793882,0.989774,0.793882,0.998761,0.793882,0.793882
11,1382.36,1,4.69999,33.7537,7.40299,41.5028,0.773781,0.773781,0.964712,0.773781,0.998761,0.773781,0.773781
12,1365.17,1,4.81655,29.923,7.09858,36.6959,0.754188,0.754188,0.940285,0.754188,0.998761,0.754188,0.754188
13,1372.37,1,4.47609,32.7754,9.24637,40.1382,0.735092,0.735092,0.963285,0.735092,0.998761,0.735092,0.735092
14,1356.82,1,4.41271,30.3567,7.79026,37.2471,0.716479,0.716479,0.962095,0.716479,0.998761,0.716479,0.716479
15,1338.95,1,4.74839,28.0229,9.1948,34.5664,0.698337,0.698337,0.940726,0.698337,0.998761,0.698337,0.698337
16,1335.92,1,4.65261,23.6134,10.75,29.0706,0.680655,0.680655,1.07487,0.680655,0.998761,0.680655,0.680655
17,1327.11,1,4.64578,25.4607,8.87916,31.4209,0.66342,0.66342,1.1279,0.66342,0.998761,0.66342,0.66342
18,1306.85,1,4.63928,27.0663,8.56272,33.3587,0.646622,0.646622,1.09934,0.646622,0.998761,0.646622,0.646622
19,1299.86,1,4.86128,26.0491,9.71342,31.7823,0.630249,0.630249,1.07151,0.630249,0.998761,0.630249,0.630249
20,1278.28,1,4.84416,23.7972,9.55775,29.2242,0.614291,0.614291,1.04438,0.614291,0.998761,0.614291,0.614291
21,1263.53,1,4.94753,23.0393,12.8313,28.4087,0.598737,0.598737,1.01793,0.598737,0.998761,0.598737,0.598737
22,1258.91,1,4.90462,24.5214,10.4282,30.4428,0.583577,0.583577,0.992159,0.583577,0.998761,0.583577,0.583577
23,1242.89,1,4.86267,23.4336,9.37865,29.2015,0.5688,0.5688,0.967037,0.5688,0.998761,0.5688,0.5688
24,1235.11,1,4.92291,26.2677,7.82577,32.5886,0.554398,0.554398,0.942551,0.554398,0.998761,0.554398,0.554398
25,1230.62,1,4.89012,24.9205,7.5345,30.7889,0.54036,0.54036,0.918685,0.54036,0.998761,0.54036,0.54036
26,1211.72,1,4.98226,27.0776,8.63924,33.4411,0.526678,0.526678,0.895423,0.526678,0.998761,0.526678,0.526678
27,1196.51,1,4.95659,25.8101,9.10761,31.8881,0.513342,0.513342,0.872751,0.513342,0.998761,0.513342,0.513342
28,1186.25,1,5.00485,26.8748,8.59503,33.0166,0.500344,0.500344,0.850652,0.500344,0.998761,0.500344,0.500344
29,1174.23,1,5.01044,26.4848,9.71642,32.5156,0.487675,0.487675,0.829224,0.487675,0.998761,0.487675,0.487675
30,1167.09,1,4.90764,25.5221,8.22738,31.2061,0.475327,0.475327,0.808227,0.475327,0.998761,0.475327,0.475327
