Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression
-3.56562,-0.0564445,-0.1418,-1.19641e-07,-0.000379218,-0.000379218,-0.90821,0.320215,-0.502332,-1.19641e-07,0.0107657,0.0107657,-0.90821,1.15857e-08,9.88594e-10,-3.56562,1.33505e-08,1.29109e-09
-3.49034,-0.0522638,-0.138792,-1.17362e-07,-0.000355397,-0.000355397,-0.89526,0.185137,-0.495109,-1.17362e-07,0.0106513,0.0106513,-0.89526,6.85191e-09,9.90427e-10,-3.49034,9.1485e-09,1.28743e-09
-3.41506,-0.0480832,-0.135783,-1.15083e-07,-0.000331576,-0.000331576,-0.88231,0.0500597,-0.487887,-1.15083e-07,0.010537,0.010537,-0.88231,2.11812e-09,9.92259e-10,-3.41506,4.94654e-09,1.28376e-09
-3.33977,-0.0444777,-0.132775,-1.12804e-07,-0.000307755,-0.000307755,-0.86936,-0.0448743,-0.480664,-1.12804e-07,0.0104226,0.0104226,-0.86936,-5.62816e-10,9.94092e-10,-3.33977,1.73832e-09,1.28009e-09
-3.26449,-0.0412795,-0.129766,-1.10526e-07,-0.000283934,-0.000283934,-0.85641,-0.114303,-0.473441,-1.10526e-07,0.0103082,0.0103082,-0.85641,-1.9935e-09,9.95925e-10,-3.26449,-7.6157e-10,1.27643e-09
-3.18921,-0.0384875,-0.126757,-1.08247e-07,-0.000260113,-0.000260113,-0.84346,-0.1589,-0.466218,-1.08247e-07,0.0101938,0.0101938,-0.84346,-2.28809e-09,9.97758e-10,-3.18921,-2.54907e-09,1.27276e-09
-3.11392,-0.0358768,-0.123749,-1.05968e-07,-0.000236292,-0.000236292,-0.83051,-0.186784,-0.458996,-1.05968e-07,0.0100795,0.0100795,-0.83051,-1.8816e-09,9.9959e-10,-3.11392,-4.01596e-09,1.2691e-09
-3.03864,-0.0336038,-0.12074,-1.03689e-07,-0.000212471,-0.000212471,-0.81756,-0.198901,-0.451773,-1.03689e-07,0.00996509,0.00996509,-0.81756,-8.98593e-10,1.00142e-09,-3.03864,-4.88157e-09,1.26543e-09
-2.96336,-0.0315918,-0.117732,-1.01411e-07,-0.00018865,-0.00018865,-0.80461,-0.198979,-0.44455,-1.01411e-07,0.00985071,0.00985071,-0.80461,4.16869e-10,1.00326e-09,-2.96336,-5.27516e-09,1.26177e-09
-2.88807,-0.0297484,-0.114723,-9.91318e-08,-0.000164829,-0.000164829,-0.79166,-0.190612,-0.437328,-9.91318e-08,0.00973634,0.00973634,-0.79166,1.83126e-09,1.00509e-09,-2.88807,-5.35852e-09,1.2581e-09
-2.81279,-0.0280962,-0.111714,-9.6853e-08,-0.000141008,-0.000141008,-0.77871,-0.177158,-0.430105,-9.6853e-08,0.00962197,0.00962197,-0.77871,3.11899e-09,1.00692e-09,-2.81279,-5.08381e-09,1.25444e-09
-2.73751,-0.0265859,-0.108706,-9.45742e-08,-0.000117188,-0.000117188,-0.76576,-0.161989,-0.422882,-9.45742e-08,0.00950759,0.00950759,-0.76576,4.05331e-09,1.00875e-09,-2.73751,-4.53403e-09,1.25077e-09
-2.66222,-0.0251861,-0.105697,-9.22954e-08,-9.33665e-05,-9.33665e-05,-0.75281,-0.148477,-0.415659,-9.22954e-08,0.00939322,0.00939322,-0.75281,4.40866e-09,1.01059e-09,-2.66222,-3.75948e-09,1.2471e-09
-2.58694,-0.0238597,-0.102689,-9.00166e-08,-6.95456e-05,-6.95456e-05,-0.73986,-0.139762,-0.408437,-9.00166e-08,0.00927885,0.00927885,-0.73986,3.97965e-09,1.01242e-09,-2.58694,-2.82155e-09,1.24344e-09
-2.51166,-0.0225756,-0.09968,-8.77379e-08,-4.57246e-05,-4.57246e-05,-0.72691,-0.134238,-0.401214,-8.77379e-08,0.00916448,0.00916448,-0.72691,2.98464e-09,1.01425e-09,-2.51166,-1.76942e-09,1.23977e-09
-2.43637,-0.0212996,-0.0966714,-8.54591e-08,-2.19037e-05,-2.19037e-05,-0.71396,-0.125828,-0.393991,-8.54591e-08,0.0090501,0.0090501,-0.71396,2.04138e-09,1.01609e-09,-2.43637,-6.5921e-10,1.23611e-09
-2.36109,-0.0199989,-0.0936628,-8.31803e-08,1.91728e-06,1.91728e-06,-0.70101,-0.109373,-0.386769,-8.31803e-08,0.00893573,0.00893573,-0.70101,1.71546e-09,1.01792e-09,-2.36109,4.55921e-10,1.23244e-09
-2.28581,-0.0186535,-0.0906542,-8.09015e-08,2.57382e-05,2.57382e-05,-0.68806,-0.0893134,-0.379546,-8.09015e-08,0.00882136,0.00882136,-0.68806,1.98429e-09,1.01975e-09,-2.28581,1.52057e-09,1.22878e-09
-2.21052,-0.0176753,-0.0876456,-7.86227e-08,4.95592e-05,4.95592e-05,-0.67511,-0.0753071,-0.372323,-7.86227e-08,0.00870698,0.00870698,-0.67511,2.50441e-09,1.02158e-09,-2.21052,2.4373e-09,1.22511e-09
-2.13524,-0.0179875,-0.084637,-7.63439e-08,7.33801e-05,7.33801e-05,-0.66216,-0.0765042,-0.3651,-7.63439e-08,0.00859261,0.00859261,-0.66216,2.94676e-09,1.02342e-09,-2.13524,3.05875e-09,1.22145e-09
-2.05996,-0.020538,-0.0816284,-7.40652e-08,9.72011e-05,9.72011e-05,-0.64921,-0.0952636,-0.357878,-7.40652e-08,0.00847824,0.00847824,-0.64921,3.19064e-09,1.02525e-09,-2.05996,3.23559e-09,1.21778e-09
-1.98467,-0.0260055,-0.0786198,-7.17864e-08,0.000121022,0.000121022,-0.63626,-0.129276,-0.350655,-7.17864e-08,0.00836386,0.00836386,-0.63626,3.25746e-09,1.02708e-09,-1.98467,2.86548e-09,1.21412e-09
-1.90939,-0.0333731,-0.0756112,-6.95076e-08,0.000144843,0.000144843,-0.62331,-0.176217,-0.343432,-6.95076e-08,0.00824949,0.00824949,-0.62331,3.17054e-09,1.02891e-09,-1.90939,2.1429e-09,1.21045e-09
