parameter,CDISC,min,Q1,median,Q3,max,mean,SD,SE,CV,Ntot,Nobs,Nmiss,geoMean,geoSD
AUCINF_obs(h⋅mg⋅L⁻¹),AUCIFO,183.667,194.822,229.264,323.613,770.128,286.056,153.533,41.0333,53.6722,14,14,0,262.229,1.48061
AUC_0_12(h⋅mg⋅L⁻¹),AUC_0_12,153.579,158.816,182.065,202.086,396.757,201.641,67.416,18.0177,33.4337,14,14,0,193.886,1.31233
AUC_0_12_D(h⋅L⁻¹),AUC_0_12_D,0.153644,0.159454,0.182088,0.202158,0.397752,0.201804,0.067595,0.0180655,33.4954,14,14,0,0.194025,1.31261
AUC_PerCentExtrap_obs(%),AUCPEO,10.7305,18.2104,27.2769,35.4241,60.154,28.2249,12.6204,3.37294,44.7136,14,14,0,25.7924,1.56131
AUC_TAU(h⋅mg⋅L⁻¹),AUCTAU,153.579,158.816,182.065,202.086,396.757,201.641,67.416,18.0177,33.4337,14,14,0,193.886,1.31233
AUClast(h⋅mg⋅L⁻¹),AUCLST,149.179,155.134,176.229,197.816,306.865,189.874,48.8678,13.0605,25.737,14,14,0,185.01,1.25468
Cavg_0_12(mg⋅L⁻¹),CAVG_0_12,12.7983,13.2346,15.172,16.8405,33.0631,16.8034,5.618,1.50147,33.4337,14,14,0,16.1572,1.31233
Clast(mg⋅L⁻¹),CLST,4.184,4.992,7.239,9.378,26.788,8.70514,5.70554,1.52487,65.5421,14,14,0,7.64587,1.62529
Cmax(mg⋅L⁻¹),CMAX,23.672,31.214,32.843,35.42,58.898,35.3617,9.06718,2.42331,25.6412,14,14,0,34.4657,1.25375
Cmin(mg⋅L⁻¹),CMIN,4.184,4.992,7.239,9.378,26.788,8.62457,5.7383,1.53363,66.5344,14,14,0,7.5515,1.6324
Ctau(mg⋅L⁻¹),CTAU,3.53255,4.43401,6.14458,8.98798,21.3593,7.54224,4.58054,1.2242,60.7318,14,14,0,6.66554,1.62366
Flag_AUC_PerCentExtrap_pred(),Flag_AUC_PerCentExtrap_pred,0,0,0,1,1,0.357143,0.497245,0.132894,139.229,14,14,0,nan,nan
Flag_Rsq_adjusted(),Flag_Rsq_adjusted,0,0,1,1,1,0.571429,0.513553,0.137253,89.8717,14,14,0,nan,nan
Flag_Span(),Flag_Span,0,0,0,0,0,0,0,0,nan,14,14,0,nan,nan
HL_Lambda_z(h),LAMZHL,3.46333,4.58055,6.20464,7.85386,11.9871,6.49573,2.35322,0.628926,36.2273,14,14,0,6.13156,1.41957
Lambda_z(h⁻¹),LAMZ,0.0578247,0.0882556,0.111948,0.151324,0.200139,0.119503,0.0408542,0.0109188,34.1867,14,14,0,0.113046,1.41957
Tlast(h),TLST,8.25,11,11.3333,11.5,11.5,10.9738,0.889149,0.237635,8.10247,14,14,0,10.9356,1.09391
Tmax(h),TMAX,1.58333,2,2,2,4,2.1131,0.554322,0.148149,26.2327,14,14,0,2.06674,1.22139
