iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2
1,1716.69,1,5.345,0.637,20.799,5.977,23.407,0.268,1.5,1.5,1.5,1.5,1.5,0.999,1.5,1.5
2,1702.58,1,4.0291,0.414947,41.6124,5.31041,46.2771,0.491401,1.46202,1.46202,1.65745,1.46202,1.59588,0.999,1.46202,1.46202
3,1691.22,1,4.30072,0.29422,50.4262,4.3207,56.4306,0.68436,1.425,1.425,1.71404,1.425,1.55547,0.999,1.425,1.425
4,1673.45,1,3.6999,0.743979,63.7996,5.05917,70.41,0.660823,1.38892,1.38892,1.67064,1.38892,1.51608,0.999,1.38892,1.38892
5,1658.15,1,3.91752,0.311204,62.3294,3.68807,69.0666,0.578869,1.35375,1.35375,1.62834,1.35375,1.4777,0.999,1.35375,1.35375
6,1659.54,1,3.56071,0.344482,71.8907,3.1108,80.1315,0.493087,1.31947,1.31947,1.63168,1.31947,1.44028,0.999,1.31947,1.31947
7,1656.74,1,3.18115,1.03513,67.3961,2.79931,75.2411,0.581042,1.28606,1.28606,1.62611,1.28606,1.40381,0.999,1.28606,1.28606
8,1629.27,1,3.68348,1.44933,70.3051,2.1732,78.6619,0.553801,1.2535,1.2535,1.58494,1.2535,1.36827,0.999,1.2535,1.2535
9,1624.7,1,3.6541,1.12746,62.8881,1.73007,70.539,0.779246,1.22176,1.22176,1.5448,1.22176,1.33362,0.999,1.22176,1.22176
10,1604.3,1,3.6729,1.12264,60.8813,1.77396,68.5511,0.784348,1.19082,1.19082,1.50569,1.19082,1.29985,0.999,1.19082,1.19082
11,1588.5,1,4.09796,1.75228,74.1664,1.86633,84.0719,0.810184,1.16067,1.16067,1.46756,1.16067,1.26694,0.999,1.16067,1.16067
12,1584.13,1,3.49703,1.99896,81.4958,2.11673,93.5339,0.83355,1.13128,1.13128,1.4304,1.13128,1.3299,0.999,1.13128,1.13128
13,1588.18,1,3.83735,1.94712,82.6176,2.6694,95.9179,1.09226,1.10264,1.10264,1.50757,1.10264,1.35686,0.999,1.10264,1.10264
14,1570.75,1,3.70412,1.72541,86.2619,2.07558,99.992,0.925826,1.07472,1.07472,1.55535,1.07472,1.3225,0.999,1.07472,1.07472
15,1547.79,1,3.56213,1.9406,92.4402,2.29637,106.908,0.737007,1.04751,1.04751,1.51597,1.04751,1.28902,0.999,1.04751,1.04751
16,1549.02,1,4.10018,1.72019,96.8775,2.04943,111.796,1.07495,1.02098,1.02098,1.47758,1.02098,1.25638,0.999,1.02098,1.02098
17,1532.54,1,4.06349,1.06117,82.4166,2.11818,95.2515,1.18364,0.995131,0.995131,1.44017,0.995131,1.22873,0.999,0.995131,0.995131
18,1521.26,1,4.54808,0.783856,69.8429,2.36481,81.3198,1.22988,0.969933,0.969933,1.52038,0.969933,1.19761,0.999,0.969933,0.969933
19,1511.82,1,4.99997,0.798654,53.9291,2.4776,62.789,1.48785,0.945374,0.945374,1.51477,0.945374,1.26651,0.999,0.945374,0.945374
20,1488.68,1,5.54238,0.574736,44.4042,3.12858,51.6135,1.48862,0.921437,0.921437,1.57387,0.921437,1.41275,0.999,0.921437,0.921437
