iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
1,1292,1,10.2275,11.1604,43.2233,60.344,1,1,0.3,0.3,0.8,1.5,1.5,1.5,1.5,1.5
2,1284.48,1,8.94449,15.0818,38.0353,91.0851,0.95,0.95,0.285,0.285,0.90658,1.46202,1.46202,1.46202,1.52431,1.46202
3,1269.61,1,9.20758,12.7674,41.2469,83.5343,0.9025,0.9025,0.27075,0.27075,0.946214,1.425,1.425,1.425,1.48571,1.425
4,1245.52,1,9.27102,12.1285,41.3509,70.7425,0.857375,0.857375,0.257212,0.257212,0.919264,1.38892,1.38892,1.38892,1.74118,1.38892
5,1230.05,1,8.99986,12.0665,45.6144,86.0598,0.814506,0.814506,0.244352,0.244352,0.910336,1.35375,1.35375,1.35375,1.73506,1.35375
6,1213.17,1,8.77162,13.0023,44.1514,86.2124,0.773781,0.773781,0.232134,0.232134,0.920934,1.31947,1.31947,1.31947,1.69112,1.31947
7,1192.09,1,8.8952,12.4684,40.3883,95.7942,0.735092,0.735092,0.220528,0.220528,0.938742,1.28606,1.28606,1.28606,1.69817,1.28606
8,1177.04,1,8.97856,13.3545,44.0348,93.7634,0.698337,0.698337,0.209501,0.209501,0.938288,1.2535,1.2535,1.2535,1.67437,1.2535
9,1146.42,1,9.31035,12.531,43.4886,89.125,0.66342,0.66342,0.199026,0.199026,0.942298,1.22176,1.22176,1.22176,1.652,1.22176
10,1122.41,1,9.13212,12.8698,44.0775,82.4482,0.630249,0.630249,0.189075,0.189075,0.938158,1.19082,1.19082,1.19082,1.64406,1.19082
11,1113.23,1,9.01768,11.5821,44.6716,85.1691,0.598737,0.598737,0.179621,0.179621,0.935824,1.16067,1.16067,1.16067,1.60243,1.16067
12,1103.71,1,8.95073,11.0443,43.4504,82.2944,0.5688,0.5688,0.17064,0.17064,0.952144,1.13128,1.1459,1.13128,1.59535,1.13128
13,1086.03,1,9.04378,10.4305,47.8134,83.8409,0.54036,0.54036,0.162108,0.162108,0.942908,1.10264,1.19103,1.10264,1.55496,1.10264
14,1078.17,1,9.04948,12.0047,44.8094,72.5414,0.513342,0.513342,0.154003,0.154003,0.948209,1.07472,1.16087,1.07472,1.51559,1.07472
15,1059.81,1,8.9601,13.477,45.1073,81.3133,0.487675,0.487675,0.146302,0.146302,0.929046,1.04751,1.13148,1.04751,1.47721,1.04751
16,1044.53,1,9.01204,13.0977,45.064,87.1498,0.463291,0.463291,0.138987,0.138987,0.932551,1.02098,1.10283,1.02098,1.43981,1.02098
17,1019.58,1,8.85244,13.4958,43.7305,98.5448,0.440127,0.440127,0.132038,0.132038,0.945066,0.995131,1.07491,0.995131,1.42893,0.995131
18,1011.49,1,8.9588,14.153,45.2614,80.663,0.41812,0.41812,0.125436,0.125436,0.934437,0.969933,1.04769,0.969933,1.47708,0.969933
19,1001.41,1,8.99811,13.7468,45.2773,83.9686,0.397214,0.397214,0.119164,0.119164,0.946898,0.945374,1.02116,0.945374,1.43968,0.945374
20,990.816,1,9.03439,11.9984,45.272,91.4562,0.14107,0.359753,0.126662,0.121907,0.94487,0.921437,0.995304,0.921437,1.42046,0.921437
21,978.1,1,9.08832,13.4308,45.4976,105.896,0.0226128,0.344392,0.128988,0.125121,0.953597,0.898105,0.970102,0.898105,1.3845,0.898105
22,969.321,1,9.01727,14.5062,44.4813,100.937,2.22045e-16,0.400289,0.123885,0.122535,0.967959,0.875365,0.945539,0.875365,1.35414,0.875365
23,961.162,1,8.84812,13.4469,45.3701,99.4178,2.22045e-16,0.379909,0.120529,0.123803,0.953357,0.8532,0.921597,0.8532,1.39589,0.8532
24,956.564,1,8.88011,13.717,46.2178,104.389,2.22045e-16,0.356762,0.120549,0.124144,0.946595,0.831597,0.898262,0.831597,1.36054,0.831597
25,961.037,1,8.90936,14.8071,44.7442,92.6302,2.22045e-16,0.433005,0.121457,0.12081,0.943184,0.81054,0.875517,0.81054,1.32609,0.81054
