iteration,convergenceIndicator,phase,Cl_pop,V_pop,a1,a2,f_pop,omega_Cl,omega_V,omega_f
30,994.247,1,10.0668,54.6952,3.47498,3.26068,0.914589,0.238587,0.174412,0.187448
31,986.647,1,10.0824,54.8622,3.47116,3.1775,0.918545,0.245868,0.165315,0.175973
32,989.13,1,10.1001,55.4955,3.53273,3.23498,0.911911,0.248151,0.147545,0.16733
33,992.458,1,10.1012,54.9555,3.55978,3.24047,0.910162,0.252395,0.145368,0.176409
34,989.516,1,10.0257,55.2395,3.50793,3.27397,0.913915,0.246373,0.137063,0.177828
35,989.884,1,9.98905,55.3396,3.53169,3.24305,0.900725,0.234943,0.139473,0.189197
36,991.436,1,9.89229,55.6961,3.5313,3.25891,0.908939,0.238936,0.148631,0.178589
37,988.095,1,9.91404,56.3988,3.54294,3.1831,0.891775,0.2334,0.150677,0.183895
38,988.209,1,9.82742,55.5657,3.58842,3.12779,0.887097,0.230593,0.166095,0.175186
39,993.684,1,10.0539,54.4683,3.49993,3.25819,0.881449,0.24367,0.163214,0.183981
40,992.96,1,10.1021,54.7317,3.55367,3.29317,0.885982,0.244685,0.136555,0.180516
41,985.49,1,10.0056,54.7865,3.54214,3.14688,0.885504,0.244073,0.137044,0.190846
42,989.404,1,10.2588,54.3269,3.42888,3.24268,0.90115,0.253299,0.153903,0.191585
43,987.238,1,10.1323,55.2191,3.39887,3.26073,0.91604,0.247584,0.156233,0.18273
44,998.343,1,10.0363,55.9584,3.45992,3.35193,0.907646,0.245991,0.165182,0.189451
45,990.569,1,10.1421,54.5398,3.4229,3.215,0.917931,0.252662,0.16547,0.199886
46,988.512,1,10.1843,55.3828,3.31959,3.28744,0.921347,0.249976,0.188169,0.174827
47,987.752,1,10.2415,54.1259,3.30351,3.24744,0.915669,0.250121,0.185012,0.194457
48,994.892,1,10.0424,54.1672,3.45099,3.21249,0.899055,0.263512,0.179263,0.19624
49,994.432,1,9.95364,54.8539,3.44395,3.27062,0.896358,0.238715,0.174464,0.196355
50,992.663,1,10.0274,54.3074,3.41168,3.23482,0.901564,0.243798,0.1775,0.204065
51,992.146,1,10.1987,54.5857,3.47788,3.19285,0.914539,0.252249,0.170784,0.192918
52,991.761,1,10.2192,54.9809,3.47793,3.19827,0.921122,0.2598,0.179606,0.173625
53,1001.29,1,10.0818,54.6566,3.50094,3.32323,0.907801,0.240538,0.178963,0.194409
54,993.319,1,10.1577,54.4486,3.44707,3.2554,0.913937,0.24753,0.17236,0.189011
55,991.141,1,10.115,54.4493,3.50648,3.17853,0.901379,0.250338,0.156604,0.199396
56,989.153,1,10.067,54.7581,3.43308,3.17378,0.918009,0.250277,0.165606,0.205201
57,1000.78,1,10.0838,53.9142,3.48037,3.28274,0.91133,0.257793,0.170832,0.211279
58,999.827,1,10.1652,54.7663,3.36467,3.41163,0.935326,0.251277,0.172849,0.200507
59,988.14,1,10.0585,54.413,3.36262,3.31531,0.913945,0.252711,0.144616,0.196951
60,992.86,1,10.0089,53.7991,3.42113,3.32054,0.889535,0.244755,0.145547,0.204739
61,989.235,1,9.89079,54.0727,3.34276,3.33146,0.884417,0.238746,0.154477,0.199134
62,990.987,1,10.0206,54.9982,3.40313,3.24352,0.900679,0.258969,0.167449,0.191574
63,990.368,1,10.0209,53.3725,3.40013,3.25953,0.888476,0.259918,0.159365,0.190819
64,986.192,1,9.93383,54.003,3.41223,3.18345,0.884148,0.251154,0.157012,0.198128
65,991.864,1,9.82377,55.5436,3.53405,3.20212,0.90055,0.239434,0.163522,0.184568
66,989.646,1,10.0582,55.2499,3.51584,3.1394,0.894033,0.259523,0.158575,0.192484
67,986.26,1,9.95985,54.1135,3.45255,3.17675,0.902105,0.23749,0.157894,0.195499
68,992.378,1,10.0005,54.1796,3.45103,3.21408,0.888839,0.241651,0.172018,0.203152
69,990.186,1,9.95107,54.7415,3.41989,3.20342,0.899308,0.248049,0.177995,0.192541
70,988.477,1,10.1185,54.2643,3.44747,3.20174,0.886105,0.260301,0.157626,0.18514
71,989.74,1,10.1178,52.3415,3.40313,3.2712,0.905169,0.25847,0.150118,0.193189
72,984.021,1,10.0768,53.9119,3.38252,3.22699,0.906224,0.247041,0.157674,0.179559
73,990.203,1,10.0137,53.9027,3.42832,3.30257,0.890875,0.244995,0.155093,0.178597
74,990.235,1,10.2328,53.1073,3.41316,3.33392,0.907681,0.259657,0.148315,0.17045
75,996.407,1,10.2481,54.0699,3.49152,3.34102,0.913153,0.263351,0.148961,0.175944
76,998.626,1,10.3796,52.9019,3.40554,3.40139,0.894366,0.259304,0.156972,0.192611
77,990.218,1,10.2227,54.4127,3.37143,3.30044,0.90858,0.253698,0.160182,0.18823
78,989.954,1,10.1175,54.5497,3.42871,3.26787,0.919237,0.248765,0.153383,0.189368
79,992.311,1,9.94742,54.8785,3.51078,3.19726,0.916663,0.236992,0.160516,0.204083
80,988.967,1,10.2141,55.6325,3.44059,3.21595,0.919149,0.236225,0.160623,0.200366
81,990.578,1,10.2511,54.7613,3.41065,3.26621,0.922447,0.258777,0.153214,0.193898
82,994.462,1,10.2404,55.2087,3.48986,3.25838,0.921984,0.251299,0.158285,0.192836
83,997.36,1,10.1446,54.8788,3.47956,3.3205,0.927946,0.245199,0.163718,0.189982
84,988.225,1,10.2892,55.5582,3.37381,3.29189,0.922555,0.260944,0.15535,0.178017
85,994.538,1,10.2647,55.3257,3.47407,3.32155,0.925031,0.257386,0.151003,0.178959
86,999.55,1,10.0755,54.7516,3.45855,3.35094,0.91301,0.258708,0.165581,0.188513
87,989.754,1,9.90895,54.2134,3.47411,3.26828,0.89641,0.24795,0.156582,0.168705
88,986.512,1,9.93727,53.86,3.45966,3.23488,0.88519,0.245228,0.148187,0.177244
89,985.819,1,9.83245,54.5905,3.49796,3.18247,0.889693,0.247144,0.142528,0.185017
90,986.851,1,9.89812,54.211,3.51018,3.22823,0.888155,0.242868,0.139019,0.177302
91,997.803,1,10.0184,53.6232,3.53849,3.3736,0.890598,0.250132,0.145541,0.170131
92,987.838,1,9.93205,53.5758,3.53309,3.22099,0.897069,0.243795,0.141781,0.174236
93,985.14,1,9.99914,54.1514,3.4645,3.2355,0.896183,0.24763,0.135295,0.18107
94,983.991,1,10.1411,54.4811,3.36067,3.254,0.899764,0.26346,0.139647,0.187496
95,985.523,1,10.1222,55.1316,3.42449,3.25647,0.909048,0.255523,0.130729,0.190737
96,989.434,1,10.1902,55.2646,3.33803,3.29062,0.912164,0.263373,0.154563,0.199663
97,993.816,1,10.2236,53.8502,3.36942,3.31694,0.912604,0.268274,0.163299,0.192656
98,989.084,1,10.092,54.2502,3.40348,3.20658,0.904651,0.271147,0.150406,0.205728
99,983.553,1,10.0656,54.4255,3.39179,3.24168,0.893564,0.248938,0.145512,0.180639
100,989.181,1,10.0509,54.1552,3.46356,3.1851,0.893286,0.250678,0.163927,0.190284
101,986.659,1,9.97531,53.6609,3.41715,3.18947,0.904072,0.246607,0.169946,0.185285
102,986.733,1,9.95813,54.5973,3.37267,3.21141,0.8874,0.252784,0.163449,0.196682
103,989.394,1,9.98943,53.2808,3.45603,3.20707,0.887389,0.245855,0.152042,0.204099
104,997.515,1,10.0992,52.7069,3.44922,3.32407,0.904019,0.2446,0.16725,0.197604
105,990.267,1,10.0531,53.6027,3.40446,3.27628,0.905891,0.240485,0.16361,0.191567
106,991.411,1,10.0959,53.4275,3.42492,3.19682,0.903205,0.24067,0.175903,0.210639
107,983.276,1,10.0562,53.4208,3.36193,3.18336,0.905371,0.240495,0.167235,0.193846
108,990.664,1,10.1256,54.1703,3.42788,3.27309,0.910436,0.229924,0.168149,0.189924
109,989.842,1,10.2363,55.1782,3.51027,3.19714,0.912131,0.249149,0.154722,0.184626
110,983.443,1,10.126,55.7044,3.45446,3.19009,0.908869,0.246055,0.130007,0.200608
111,986.546,1,9.97705,56.0996,3.45222,3.21076,0.91126,0.240271,0.153923,0.186281
112,990.803,1,10.157,55.7895,3.50365,3.23362,0.923099,0.228084,0.152668,0.198247
113,993.903,1,10.0784,55.1647,3.53723,3.24386,0.906532,0.24706,0.151965,0.188259
114,997.419,1,10.1077,56.2726,3.56076,3.2556,0.905999,0.254552,0.162895,0.180152
115,994.401,1,10.1268,55.482,3.51943,3.25937,0.914331,0.253918,0.160481,0.176899
116,998.525,1,10.2352,55.557,3.48896,3.31799,0.908956,0.263265,0.161845,0.184131
117,1006.86,1,9.98934,55.3543,3.56114,3.38762,0.901848,0.254739,0.160737,0.194493
118,1004.65,1,10.1583,56.1036,3.63343,3.31731,0.900171,0.254939,0.148166,0.195958
119,992.197,1,10.0937,55.3945,3.50792,3.20153,0.900557,0.252175,0.157466,0.194022
120,989.123,1,9.98227,54.7123,3.53537,3.19237,0.889071,0.235483,0.157803,0.179594
121,987.399,1,10.0087,54.7498,3.46248,3.19925,0.898486,0.245326,0.14988,0.193986
122,991.871,1,10.0776,55.3559,3.38715,3.27508,0.899226,0.245223,0.167317,0.201959
123,992.081,1,10.1683,54.1763,3.34188,3.26559,0.9042,0.253981,0.182448,0.201561
124,985.401,1,10.1767,54.6273,3.39575,3.20729,0.906617,0.247013,0.156552,0.192919
125,982.891,1,10.1361,54.9784,3.43153,3.12326,0.914996,0.242569,0.167723,0.187174
126,989.827,1,10.012,55.7096,3.49185,3.16045,0.898103,0.243714,0.166123,0.197149
127,993.892,1,10.1711,55.4985,3.54539,3.23027,0.914216,0.245527,0.155558,0.187405
128,991.703,1,10.2298,54.79,3.4272,3.2777,0.919965,0.243557,0.155307,0.199793
129,979.888,1,10.0459,54.7714,3.38945,3.14757,0.905283,0.244402,0.155411,0.185845
130,997.242,1,10.072,55.8256,3.51476,3.22243,0.908289,0.259801,0.17631,0.190055
131,997.886,1,10.1969,54.733,3.4612,3.25121,0.897948,0.252933,0.189038,0.194756
132,998.334,1,10.121,53.0447,3.47006,3.24974,0.90384,0.252685,0.169901,0.217248
133,995.387,1,10.2356,53.1463,3.43236,3.23763,0.898806,0.258975,0.172934,0.207269
134,988.435,1,10.2286,52.6593,3.41408,3.23629,0.903907,0.237043,0.163288,0.194621
