Cl_pop,1,-0.0162,0.0377,-0.0155,-0.00818,-0.00871,0.00811,0.0154,-0.00918,-0.0109,0.0154
V1_pop,-0.0162,1,-0.309,0.971,-0.00753,0.0727,0.0257,-0.215,0.0791,-0.024,0.0569
Q_pop,0.0377,-0.309,1,-0.312,0.013,-0.0924,0.0368,0.281,-0.0908,0.000759,-0.0421
V2_pop,-0.0155,0.971,-0.312,1,-0.00681,0.00779,-0.125,-0.197,0.0136,-0.0206,0.089
omega_Cl,-0.00818,-0.00753,0.013,-0.00681,1,-0.0132,-0.00971,0.0161,-0.0134,0.0249,-0.0358
omega_V1,-0.00871,0.0727,-0.0924,0.00779,-0.0132,1,0.58,-0.318,0.991,0.0231,-0.167
corr_V2_V1,0.00811,0.0257,0.0368,-0.125,-0.00971,0.58,1,-0.17,0.583,0.00797,-0.144
omega_Q,0.0154,-0.215,0.281,-0.197,0.0161,-0.318,-0.17,1,-0.319,0.00498,0.0014
omega_V2,-0.00918,0.0791,-0.0908,0.0136,-0.0134,0.991,0.583,-0.319,1,0.0219,-0.176
a1,-0.0109,-0.024,0.000759,-0.0206,0.0249,0.0231,0.00797,0.00498,0.0219,1,-0.115
a2,0.0154,0.0569,-0.0421,0.089,-0.0358,-0.167,-0.144,0.0014,-0.176,-0.115,1
