Cl_pop,1,0.031,-0.0319,0.37,-0.426,-0.73,-0.0238,nan,nan,nan,-0.0297,-0.14,nan,-0.0307,nan,0.0107,0.0356,-0.126
beta_Cl_logtWTKG,0.031,1,-0.0946,0.0596,0.0439,-0.0141,-0.228,nan,nan,nan,-0.224,-0.563,nan,-0.22,nan,-0.165,-0.0862,0.221
beta_Cl_tCLCRMLMIN,-0.0319,-0.0946,1,0.0347,0.0183,0.0181,-0.072,nan,nan,nan,-0.0786,-0.125,nan,-0.0831,nan,-0.0872,-0.0545,0.0252
V1_pop,0.37,0.0596,0.0347,1,0.663,0.0439,-0.045,nan,nan,nan,-0.0457,-0.0809,nan,-0.0453,nan,-0.0372,-0.0263,0.0401
Q_pop,-0.426,0.0439,0.0183,0.663,1,0.495,0.0161,nan,nan,nan,0.0203,0.0329,nan,0.0219,nan,-0.000202,-0.0474,0.126
V2_pop,-0.73,-0.0141,0.0181,0.0439,0.495,1,-0.114,nan,nan,nan,-0.109,0.0861,nan,-0.109,nan,-0.147,-0.0506,0.154
omega_Cl,-0.0238,-0.228,-0.072,-0.045,0.0161,-0.114,1,nan,nan,nan,1,0.461,nan,0.999,nan,0.987,0.0903,-0.241
corr_V1_Cl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
corr_Q_Cl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
corr_V2_Cl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_V1,-0.0297,-0.224,-0.0786,-0.0457,0.0203,-0.109,1,nan,nan,nan,1,0.463,nan,0.999,nan,0.986,0.0908,-0.24
corr_V1_Q,-0.14,-0.563,-0.125,-0.0809,0.0329,0.0861,0.461,nan,nan,nan,0.463,1,nan,0.452,nan,0.365,0.104,-0.25
corr_V2_V1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_Q,-0.0307,-0.22,-0.0831,-0.0453,0.0219,-0.109,0.999,nan,nan,nan,0.999,0.452,nan,1,nan,0.986,0.0911,-0.239
corr_V2_Q,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_V2,0.0107,-0.165,-0.0872,-0.0372,-0.000202,-0.147,0.987,nan,nan,nan,0.986,0.365,nan,0.986,nan,1,0.0813,-0.217
a1,0.0356,-0.0862,-0.0545,-0.0263,-0.0474,-0.0506,0.0903,nan,nan,nan,0.0908,0.104,nan,0.0911,nan,0.0813,1,-0.136
a2,-0.126,0.221,0.0252,0.0401,0.126,0.154,-0.241,nan,nan,nan,-0.24,-0.25,nan,-0.239,nan,-0.217,-0.136,1
