iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,1609.51,1,10.2275,43.2233,11.1604,60.344,1,1,1,1,1,1
2,1579.19,1,5.05132,33.8528,13.6847,60.1644,0.974679,0.974679,0.974679,1.10536,0.974679,0.974679
3,1555.04,1,4.74187,29.6168,13.0769,77.1729,0.95,0.95,0.95,1.07737,0.95,0.95
4,1540.78,1,4.55007,28.7996,13.2559,89.3453,0.925945,0.925945,0.925945,1.05009,0.925945,0.925945
5,1537.33,1,4.5585,32.3467,13.6536,91.5511,0.9025,0.9025,0.9025,1.0235,0.9025,0.9025
6,1528.9,1,4.75343,32.0953,9.94626,86.1908,0.879648,0.879648,0.921399,0.997589,0.879648,0.879648
7,1513.25,1,4.29629,30.4711,9.79764,91.6514,0.857375,0.857375,0.968515,0.97233,0.857375,0.857375
8,1500.05,1,4.14966,29.1664,11.3964,80.9238,0.835666,0.835666,0.943992,0.981595,0.835666,0.835666
9,1498.32,1,4.45476,25.9791,9.52521,86.2653,0.814506,0.814506,0.985045,0.956741,0.814506,0.814506
10,1485.73,1,4.06737,27.7159,8.94217,106.47,0.793882,0.793882,0.960103,0.932515,0.793882,0.793882
11,1470.57,1,4.36575,28.1244,7.85605,110.058,0.773781,0.773781,0.935793,0.908904,0.773781,0.773781
12,1450.36,1,4.24535,27.4446,6.78933,97.5725,0.754188,0.754188,0.912098,0.88589,0.754188,0.754188
13,1451.21,1,4.01712,24.4287,7.75688,125.152,0.735092,0.735092,0.971412,0.863937,0.735092,0.735092
14,1432,1,3.99638,28.4159,7.74034,114.18,0.716479,0.716479,0.946815,0.927279,0.716479,0.716479
15,1421.52,1,4.24744,24.7409,8.02916,105.565,0.698337,0.698337,0.943788,0.9038,0.698337,0.698337
16,1409.96,1,4.48902,27.4238,9.20639,86.7154,0.680655,0.680655,0.919891,0.880915,0.680655,0.680655
17,1397.7,1,4.46792,23.3327,8.01277,88.5395,0.66342,0.66342,0.896598,0.85861,0.66342,0.66342
18,1394.85,1,4.48749,22.0272,8.72918,73.8994,0.646622,0.646622,0.873896,0.926977,0.646622,0.646622
19,1376.2,1,4.79647,23.1901,9.42748,70.1885,0.630249,0.630249,0.851768,0.960089,0.630249,0.630249
20,1373.42,1,4.83192,24.1746,9.22943,67.9153,0.614291,0.614291,0.830201,0.935779,0.614291,0.614291
21,1348.8,1,5.15582,24.5249,8.74121,55.0582,0.598737,0.598737,0.80918,0.912085,0.598737,0.598737
22,1335.54,1,5.21292,22.3543,8.67997,59.7838,0.583577,0.583577,0.798388,0.88899,0.583577,0.583577
23,1328.01,1,5.23536,22.7666,8.91177,50.9101,0.5688,0.5688,0.778172,0.86648,0.5688,0.5688
24,1312.81,1,4.98475,22.739,7.56379,63.7716,0.554398,0.554398,0.758468,0.844541,0.554398,0.554398
25,1299.25,1,5.07186,21.9235,7.89041,61.3989,0.54036,0.54036,0.739263,0.823156,0.54036,0.54036
26,1289.56,1,4.93077,21.8455,8.15276,68.9612,0.526678,0.526678,0.720545,0.802314,0.526678,0.526678
27,1288.91,1,5.02956,22.5852,8.51161,66.6738,0.513342,0.513342,0.7023,0.869434,0.513342,0.513342
28,1275.91,1,5.16951,23.7997,7.59772,48.1821,0.500344,0.500344,0.684518,0.847419,0.500344,0.500344
29,1260.71,1,5.02245,22.7925,7.5862,48.8216,0.487675,0.487675,0.667185,0.859709,0.487675,0.487675
30,1239.07,1,5.00371,24.0831,7.07245,46.2696,0.475327,0.475327,0.650292,0.837941,0.475327,0.475327
31,1231.12,1,5.10034,24.1011,6.18213,42.6377,0.463291,0.463291,0.633826,0.830529,0.463291,0.463291
32,1224.9,1,5.24103,24.8383,6.09761,37.5433,0.45156,0.45156,0.617777,0.809499,0.45156,0.45156
