standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.31585,0.00714286,-2.91431,0.00714286,-2.5057,0.00714286,-2.28603,0.00714286,-2.95386,0.00714286,All
-3.22715,0.0142857,-2.86561,0.0142857,-2.40634,0.0142857,-2.27318,0.0142857,-2.89487,0.0142857,All
-2.87926,0.0214286,-2.7507,0.0214286,-2.338,0.0214286,-2.11764,0.0214286,-2.41581,0.0214286,All
-2.86336,0.0285714,-2.62,0.0285714,-2.23051,0.0285714,-2.11704,0.0285714,-2.09711,0.0285714,All
-2.73904,0.0357143,-2.5947,0.0357143,-2.1162,0.0357143,-2.0865,0.0357143,-2.04715,0.0357143,All
-2.73174,0.0428571,-2.5683,0.0428571,-2.0023,0.0428571,-2.0702,0.0428571,-2.02681,0.0428571,All
-2.71179,0.05,-2.54,0.05,-1.87122,0.05,-1.8267,0.05,-1.99787,0.05,All
-2.66776,0.0571429,-2.53237,0.0571429,-1.65609,0.0571429,-1.80093,0.0571429,-1.90428,0.0571429,All
-2.60983,0.0642857,-2.4804,0.0642857,-1.60027,0.0642857,-1.6397,0.0642857,-1.89568,0.0642857,All
-2.36216,0.0714286,-2.40368,0.0714286,-1.57006,0.0714286,-1.61344,0.0714286,-1.84861,0.0714286,All
-1.01183,0.0785714,-1.66475,0.0785714,-1.45245,0.0785714,-1.56663,0.0785714,-1.7893,0.0785714,All
-0.888821,0.0857143,-1.6138,0.0857143,-1.42024,0.0857143,-1.41791,0.0857143,-1.5476,0.0857143,All
-0.837387,0.0928571,-1.60469,0.0928571,-1.40576,0.0928571,-1.29659,0.0928571,-1.43469,0.0928571,All
-0.769569,0.1,-1.54879,0.1,-1.38552,0.1,-1.27924,0.1,-1.38774,0.1,All
-0.766451,0.107143,-1.54193,0.107143,-1.36207,0.107143,-1.23706,0.107143,-1.29067,0.107143,All
-0.704439,0.114286,-1.5347,0.114286,-1.35083,0.114286,-1.21277,0.114286,-1.26394,0.114286,All
-0.696988,0.121429,-1.53242,0.121429,-1.22442,0.121429,-1.21171,0.121429,-1.10128,0.121429,All
-0.638709,0.128571,-1.51011,0.128571,-1.1208,0.128571,-1.18356,0.128571,-1.06305,0.128571,All
-0.623857,0.135714,-1.50177,0.135714,-1.11189,0.135714,-1.17089,0.135714,-1.04863,0.135714,All
-0.594805,0.142857,-1.36997,0.142857,-1.10126,0.142857,-1.15584,0.142857,-1.04762,0.142857,All
-0.538444,0.15,-1.35892,0.15,-1.07481,0.15,-1.14265,0.15,-1.02418,0.15,All
-0.516863,0.157143,-1.14665,0.157143,-1.03071,0.157143,-1.12812,0.157143,-0.998754,0.157143,All
-0.511309,0.164286,-0.783785,0.164286,-0.93072,0.164286,-1.09477,0.164286,-0.954256,0.164286,All
-0.474497,0.171429,-0.699709,0.171429,-0.886615,0.171429,-1.07585,0.171429,-0.940594,0.171429,All
-0.474088,0.178571,-0.657063,0.178571,-0.881485,0.178571,-1.06286,0.178571,-0.926066,0.178571,All
-0.466409,0.185714,-0.601696,0.185714,-0.842185,0.185714,-1.04472,0.185714,-0.75936,0.185714,All
-0.462208,0.192857,-0.454257,0.192857,-0.841891,0.192857,-1.04121,0.192857,-0.736577,0.192857,All
-0.456891,0.2,-0.451259,0.2,-0.833532,0.2,-1.03186,0.2,-0.733429,0.2,All
