standEta_fi_abscissa,standEta_fi_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-3.11827,0.0391643,-2.73975,0.132981,-2.30564,0.0966983,-2.0508,0.115138,-2.72803,0.0342651,All
-2.72311,0.137075,-2.39061,0.0886539,-1.90552,0.0386793,-1.58035,0.0822411,-2.27637,0.0342651,All
-2.32795,0.0195821,-2.04147,0,-1.50541,0.174057,-1.1099,0.378309,-1.82471,0.119928,All
-1.93279,0,-1.69233,0.155144,-1.10529,0.135378,-0.639445,0.361861,-1.37305,0.0856629,All
-1.53763,0,-1.3432,0.0886539,-0.705176,0.367454,-0.168993,0.361861,-0.921395,0.205591,All
-1.14247,0.0195821,-0.99406,0.0221635,-0.30506,0.444812,0.301459,0.378309,-0.469735,0.376917,All
-0.747309,0.176239,-0.644922,0.0886539,0.0950549,0.328774,0.771911,0.27962,-0.018075,0.428314,All
-0.352149,0.607047,-0.295785,0.531923,0.49517,0.56085,1.24236,0.246723,0.433585,0.548242,All
0.0430121,0.607047,0.053352,0.554087,0.895286,0.251416,1.71281,0.0328964,0.885245,0.239856,All
0.438173,0.430807,0.402489,0.332452,1.2954,0.154717,2.18327,0.0328964,1.3369,0.188458,All
0.833334,0.313314,0.751626,0.709231,1.69552,0.0386793,2.65372,0.0164482,1.78856,0.119928,All
1.22849,0.391643,1.10076,0.398943,2.09563,0.116038,3.12417,0.0164482,2.24022,0.0171326,All
