rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
1,1,-2.67757,-0.290226,-0.278512,-0.65063,0
2,1,-2.28107,-1.22342,-0.0209839,-0.178648,0
3,1,-2.45609,-1.8202,0.742209,-0.901654,0
4,1,-2.56871,-0.594291,1.20111,-0.190661,0
5,1,-2.69047,-0.711559,0.39233,0.31491,0
6,1,-2.69055,-0.847664,0.913033,0.195683,0
7,1,-2.76663,-1.98994,1.18688,0.156911,0
8,1,-2.47492,-1.54151,0.142782,-1.10052,0
9,1,-2.76511,-0.125568,1.06344,0.541667,0
10,1,-2.56892,-1.17167,1.76873,0.175981,0
1,2,1.08916,-0.411308,0.969233,-0.240443,0
2,2,1.1351,-0.131674,1.09065,-1.02482,0
3,2,0.975973,0.560406,-0.271961,-0.840883,0
4,2,1.09369,0.2664,0.469769,-0.457007,0
5,2,0.981853,0.427103,0.419725,-0.960681,0
6,2,0.963547,0.580287,-0.637658,-0.0707567,0
7,2,1.05444,1.54971,-0.940071,0.0690764,0
8,2,0.864601,0.753098,-0.630127,0.693221,0
9,2,0.975932,0.426063,0.0867746,-1.39598,0
10,2,0.858831,0.727818,-0.452068,0.00136304,0
1,3,0.297588,0.345714,0.138534,2.30561,0
2,3,0.598895,0.174637,0.198456,0.635665,0
3,3,0.657885,0.29501,0.154355,1.43993,0
4,3,0.670628,0.254634,0.186198,0.994353,0
5,3,0.754112,0.307512,0.46279,1.38683,0
6,3,0.673737,0.0767987,0.237064,0.704613,0
7,3,0.787625,0.779907,0.474522,0.756748,0
8,3,0.487793,0.123945,0.404636,2.20067,0
9,3,0.685873,0.747845,0.569749,1.36543,0
10,3,0.473753,1.02717,0.161273,2.3615,0
1,4,0.0939157,-0.658142,0.0405584,-1.89043,0
2,4,-0.0269598,-0.938583,-0.0574686,-1.5207,0
3,4,0.0688681,-1.24317,0.369148,-1.64919,0
4,4,-0.0550883,-0.458132,-1.07614,-0.718707,0
5,4,-0.352812,-0.406406,-1.66114,0.8285,0
6,4,0.0867881,-1.06259,0.684992,-1.72841,0
7,4,0.0262772,-0.358898,-0.765591,-0.244907,0
8,4,-0.430392,-0.191383,-1.34827,1.52213,0
9,4,0.0134046,-0.82204,-0.225358,-1.22812,0
10,4,-0.322712,-1.45454,-0.383483,-2.27313,0
1,5,-0.384891,0.295607,0.640087,0.296609,0
2,5,-0.347322,0.544232,0.424609,-0.826515,0
3,5,-0.288346,1.07166,0.235154,0.218449,0
4,5,-0.519393,0.651411,0.339679,0.651585,0
5,5,-0.372963,-0.414278,1.27983,-0.486486,0
6,5,-0.44671,-0.166419,1.12829,-0.791923,0
7,5,-0.319117,0.474462,0.900242,0.464047,0
8,5,-0.528264,-0.417332,0.631321,-0.357253,0
9,5,-0.370483,0.749932,0.737045,0.0522627,0
10,5,-0.569534,0.896886,0.471038,1.11915,0
1,6,0.466387,1.31948,1.77835,-0.403507,0
2,6,0.436118,1.62995,0.455746,0.251091,0
3,6,0.658612,1.50473,2.6635,-0.157516,0
4,6,0.43687,1.86273,1.38777,-0.00754479,0
