standEta_fi_abscissa,standEta_fi_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.85546,0.040181,-2.75837,0.131974,-2.35452,0.0165729,-3.88025,0.0127948,-2.7679,0.0534976,All
-2.4703,0.0602715,-2.40657,0.087983,-1.88761,0.0828646,-3.27547,0.0127948,-2.33397,0.0178325,All
-2.08514,0.0803619,-2.05477,0.0219957,-1.42069,0.149156,-2.67068,0.0127948,-1.90004,0.0178325,All
-1.69998,0.0200905,-1.70297,0.0219957,-0.953782,0.39775,-2.0659,0.0511791,-1.46611,0.106995,All
-1.31481,0.0602715,-1.35117,0.175966,-0.48687,0.447469,-1.46111,0.0639739,-1.03218,0.124828,All
-0.929653,0.341538,-0.999373,0.0219957,-0.0199585,0.265167,-0.856324,0.26869,-0.598244,0.392315,All
-0.54449,0.4219,-0.647573,0.087983,0.446953,0.447469,-0.251538,0.56297,-0.164313,0.641971,All
-0.159328,0.281267,-0.295774,0.351932,0.913865,0.198875,0.353248,0.486201,0.269619,0.445813,All
0.225834,0.381719,0.0560259,0.725859,1.38078,0.232021,0.958033,0.204716,0.703551,0.338818,All
0.610996,0.502262,0.407826,0.417919,1.84769,0,1.56282,0.0127948,1.13748,0.196158,All
0.996158,0.441991,0.759625,0.659872,2.3146,0.0497188,2.1676,0.0767686,1.57141,0.106995,All
1.38132,0.180814,1.11143,0.373928,2.78151,0.0331459,2.77239,0.0255895,2.00535,0.0534976,All
