Cl_pop,0.00276,0.00104,0.000117,0.00103,2.47e-05,0.0166,6.93e-05,-5.45e-05,0.000619,0.000602,-0.000246,-0.0102,-5.52e-05,-5.82e-07
beta_Cl_logtCLCRMLMIN,0.00104,0.0529,0.000591,-0.00277,0.00157,-0.0136,0.000569,-0.000532,-0.00837,-0.00156,0.00176,0.0117,0.000138,-1.15e-05
V1_pop,0.000117,0.000591,0.0051,-0.00407,0.00668,0.00313,0.000106,0.000595,-0.00187,-0.00252,0.00104,0.000716,-0.000101,2.73e-05
Q_pop,0.00103,-0.00277,-0.00407,0.0453,-0.00466,0.0555,-5.95e-05,-0.000595,0.00876,0.00716,-0.00184,-0.0427,-5.26e-05,-4e-05
V2_pop,2.47e-05,0.00157,0.00668,-0.00466,0.0243,0.00461,0.000186,0.00055,-0.00181,0.000704,0.00626,0.00246,2.29e-05,-7.68e-05
bias_pop,0.0166,-0.0136,0.00313,0.0555,0.00461,2.96,-0.00201,-0.0102,-0.0456,0.0498,-0.0142,-2,0.00266,-0.000287
omega_Cl,6.93e-05,0.000569,0.000106,-5.95e-05,0.000186,-0.00201,0.0014,-7.16e-05,-0.00144,0.000174,8.34e-05,0.00332,-4.68e-05,-8.32e-07
omega_V1,-5.45e-05,-0.000532,0.000595,-0.000595,0.00055,-0.0102,-7.16e-05,0.00452,0.0146,-0.00398,0.00518,0.00657,-0.000117,2.21e-05
corr_V2_V1,0.000619,-0.00837,-0.00187,0.00876,-0.00181,-0.0456,-0.00144,0.0146,0.184,-0.0117,0.0101,0.0116,-0.00066,0.000364
omega_Q,0.000602,-0.00156,-0.00252,0.00716,0.000704,0.0498,0.000174,-0.00398,-0.0117,0.0302,-0.00541,-0.0339,0.000141,-0.000163
omega_V2,-0.000246,0.00176,0.00104,-0.00184,0.00626,-0.0142,8.34e-05,0.00518,0.0101,-0.00541,0.0259,0.0151,-7.49e-05,-0.000105
bias_sd,-0.0102,0.0117,0.000716,-0.0427,0.00246,-2,0.00332,0.00657,0.0116,-0.0339,0.0151,1.94,-0.00319,0.000135
a1,-5.52e-05,0.000138,-0.000101,-5.26e-05,2.29e-05,0.00266,-4.68e-05,-0.000117,-0.00066,0.000141,-7.49e-05,-0.00319,0.000358,-1.94e-05
a2,-5.82e-07,-1.15e-05,2.73e-05,-4e-05,-7.68e-05,-0.000287,-8.32e-07,2.21e-05,0.000364,-0.000163,-0.000105,0.000135,-1.94e-05,4.32e-05
