standEta_fi_abscissa,standEta_fi_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.52179,0.109903,-2.9871,0.0642694,-2.20523,0.0777585,-4.01174,0.0137101,-3.17494,0.017176,All
-2.16975,0.0879225,-2.6259,0.128539,-1.80717,0.0777585,-3.44733,0.0274201,-2.72442,0.017176,All
-1.81771,0.0219806,-2.26469,0.0214231,-1.40911,0.233275,-2.88292,0.0548403,-2.2739,0,All
-1.46567,0.0659419,-1.90349,0.0214231,-1.01105,0.233275,-2.31851,0.0137101,-1.82338,0.120232,All
-1.11363,0.153864,-1.54229,0.149962,-0.612996,0.369353,-1.7541,0.0548403,-1.37286,0.034352,All
-0.761584,0.307729,-1.18108,0.0428462,-0.214938,0.48599,-1.18969,0.137101,-0.922346,0.240464,All
-0.409542,0.505554,-0.819881,0.0428462,0.18312,0.408232,-0.625281,0.425012,-0.471828,0.291992,All
-0.0575006,0.35169,-0.458678,0.214231,0.581178,0.369353,-0.0608711,0.562113,-0.0213096,0.480927,All
0.294541,0.35169,-0.0974748,0.664117,0.979236,0.174957,0.503538,0.287912,0.429209,0.601159,All
0.646583,0.439613,0.263728,0.514155,1.37729,0.213836,1.06795,0.219361,0.879727,0.291992,All
0.998624,0.373671,0.624931,0.578424,1.77535,0.0583188,1.63236,0.0548403,1.33025,0.188936,All
1.35067,0.307729,0.986134,0.557001,2.17341,0.0194396,2.19677,0.0685504,1.78076,0.120232,All
