iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1509.06,1,7.8892,3.05437,20.5065,10.8487,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1491.15,1,4.73135,5.39496,30.567,14.9796,0.974679,0.974679,0.470773,0.998761,1.46202,1.46202,1.46202,1.16962
3,1487.89,1,4.77789,5.40656,28.7312,14.4246,0.95,0.95,0.873195,0.998761,1.425,1.48246,1.425,1.14
4,1478.21,1,4.31322,6.64982,27.2014,13.85,0.925945,0.925945,0.852465,0.998761,1.38892,1.55161,1.38892,1.11113
5,1472.72,1,3.97418,4.76796,36.4805,17.4468,0.9025,0.9025,0.938319,0.998761,1.35375,1.51232,1.35375,1.083
6,1457.72,1,4.0025,4.70443,38.7902,18.2626,0.879648,0.879648,0.94325,0.998761,1.31947,1.48013,1.31947,1.05558
7,1441.2,1,4.55163,5.47929,41.3364,18.999,0.857375,0.857375,0.886116,0.998761,1.28606,1.53892,1.28606,1.02885
8,1429.65,1,4.73032,5.07898,38.4598,17.8291,0.835666,0.835666,0.3778,0.998761,1.2535,1.62918,1.2535,1.0028
9,1411.37,1,4.98985,4.9161,42.8711,19.5454,0.814506,0.814506,0.647984,0.998761,1.22176,1.61684,1.22176,0.977407
10,1403.24,1,5.32561,4.93939,39.6883,18.3048,0.793882,0.793882,0.387452,0.998761,1.19082,1.63549,1.19082,0.952659
11,1398.58,1,5.26748,4.09689,43.4524,19.5638,0.773781,0.773781,0.556646,0.998761,1.16067,1.59408,1.16067,0.928537
12,1381.1,1,5.26933,4.57286,34.2957,16.158,0.754188,0.754188,0.544146,0.998761,1.13128,1.62631,1.13128,0.905026
13,1369.64,1,5.31289,7.36982,31.9229,15.2188,0.735092,0.735092,0.516511,0.998761,1.10264,1.58513,1.10264,0.88211
14,1360.75,1,5.06295,7.72908,32.8514,15.4797,0.716479,0.716479,0.57498,0.998761,1.07472,1.68746,1.07472,0.859775
15,1351.86,1,5.04928,8.81365,33.1208,15.6089,0.698337,0.698337,0.72501,0.998761,1.04751,1.68135,1.04751,0.838005
16,1345.27,1,5.02252,9.97095,31.7421,15.0908,0.680655,0.680655,0.683539,0.998761,1.02098,1.78959,1.02098,0.816786
17,1334.73,1,5.03465,7.74823,31.0971,14.938,0.66342,0.66342,0.587291,0.998761,0.995131,1.83679,0.995131,0.796105
18,1321.28,1,5.35407,8.9788,31.6494,15.123,0.646622,0.646622,0.296953,0.998761,0.969933,1.87506,0.969933,0.775947
19,1301.03,1,5.02516,9.94586,28.1083,13.7121,0.630249,0.630249,0.450587,0.998761,0.945374,1.8298,0.945374,0.756299
20,1290.09,1,5.48697,10.1534,27.2104,13.3623,0.614291,0.614291,0.445578,0.998761,0.921437,1.78347,0.921437,0.737149
21,1285.31,1,5.40917,11.5744,26.8928,13.3085,0.598737,0.598737,0.391257,0.998761,0.898105,1.73831,0.898105,0.718484
22,1277.22,1,5.22158,9.77712,30.4494,14.7775,0.583577,0.583577,0.259723,0.998761,0.875365,1.6943,0.875365,0.700292
23,1265.23,1,5.00755,7.39306,30.0587,14.6932,0.5688,0.5688,0.437885,0.998761,0.8532,1.6514,0.8532,0.68256
24,1245.87,1,5.41918,5.60562,31.441,15.1638,0.554398,0.554398,0.484036,0.998761,0.831597,1.60958,0.831597,0.665277
25,1240.45,1,5.44583,4.29041,30.6425,14.8335,0.54036,0.54036,0.577684,0.998761,0.81054,1.56883,0.81054,0.648432
26,1228.17,1,5.52664,4.03666,33.9139,16.1544,0.526678,0.526678,0.33532,0.998761,0.790017,1.5291,0.790017,0.632013
27,1214.24,1,5.65293,4.5268,36.7339,17.1817,0.513342,0.513342,0.414051,0.998761,0.770013,1.49039,0.770013,0.61601
28,1199.93,1,5.7006,4.52557,34.7997,16.3085,0.500344,0.500344,0.430521,0.998761,0.750516,1.45265,0.750516,0.600413
29,1186.9,1,5.49083,4.38667,33.3789,15.7171,0.487675,0.487675,0.395339,0.998761,0.731512,1.41587,0.731512,0.58521
30,1176.04,1,5.5623,4.57119,33.7519,15.8355,0.475327,0.475327,0.403739,0.998761,0.71299,1.38002,0.71299,0.570392
31,1179.08,1,5.50549,4.11746,32.5908,15.2949,0.463291,0.463291,0.412477,0.998761,0.694937,1.34507,0.694937,0.555949
32,1158.17,1,5.40093,3.38758,30.718,14.5702,0.45156,0.45156,0.543667,0.998761,0.677341,1.31102,0.677341,0.541873
33,1152.42,1,5.28038,3.00519,30.2055,14.3065,0.440127,0.440127,0.503249,0.998761,0.66019,1.27782,0.66019,0.528152
34,1142.56,1,5.2829,2.74466,29.1217,13.8783,0.428982,0.428982,0.53209,0.998761,0.643474,1.28831,0.643474,0.514779
35,1130.11,1,5.34637,3.14732,30.4143,14.395,0.41812,0.41812,0.460879,0.998761,0.627181,1.31425,0.627181,0.501744
36,1115.52,1,5.39002,4.1524,30.318,14.3449,0.407533,0.407533,0.474898,0.998761,0.6113,1.28097,0.6113,0.48904
37,1116.74,1,5.41506,4.08663,29.2571,13.9205,0.397214,0.397214,0.525163,0.998761,0.595821,1.24853,0.595821,0.476657
38,1101.2,1,5.39768,3.57824,29.8906,14.1445,0.387157,0.387157,0.56211,0.998761,0.580735,1.21692,0.580735,0.464588
39,1078.4,1,5.47937,4.69609,31.1601,14.7023,0.377354,0.377354,0.524731,0.998761,0.56603,1.18611,0.56603,0.452824
40,1078,1,5.42099,4.29417,31.0092,14.6653,0.367799,0.367799,0.492738,0.998761,0.551698,1.22558,0.551698,0.441359
41,1067.05,1,5.54573,4.36292,30.5879,14.5404,0.358486,0.358486,0.47063,0.998761,0.537729,1.19455,0.537729,0.430183
42,1055.69,1,5.42614,3.81402,30.4092,14.5088,0.349409,0.349409,0.543864,0.998761,0.524113,1.1643,0.524113,0.419291
43,1044.37,1,5.44281,5.30252,29.2721,14.0933,0.340562,0.340562,0.363595,0.998761,0.510842,1.13482,0.510842,0.408674
44,1029.53,1,5.4257,5.06793,27.7886,13.5622,0.331938,0.331938,0.456572,0.998761,0.497908,1.10609,0.497908,0.398326
45,1028.51,1,5.43356,5.06988,26.6139,13.0721,0.323534,0.323534,0.419182,0.998761,0.4853,1.07808,0.4853,0.38824
46,1018.3,1,5.33796,4.28704,26.4241,13.0053,0.315341,0.315341,0.591287,0.998761,0.473012,1.05078,0.473012,0.37841
47,1008.85,1,5.29333,4.3676,26.2386,12.934,0.307357,0.307357,0.550651,0.998761,0.461035,1.02418,0.461035,0.368828
48,1000.31,1,5.35299,3.76425,26.0411,12.828,0.299574,0.299574,0.513752,0.998761,0.449362,0.998245,0.449362,0.359489
49,984.464,1,5.30931,3.83227,27.0126,13.1557,0.291989,0.291989,0.496962,0.998761,0.437984,0.972969,0.437984,0.350387
50,983.807,1,5.41751,4.07262,27.0206,13.1466,0.284596,0.284596,0.528251,0.998761,0.426894,0.948333,0.426894,0.341515
51,975.658,1,5.40467,3.68489,26.3151,12.8649,0.27739,0.27739,0.43552,0.998761,0.416084,0.92432,0.416084,0.332867
52,959.313,1,5.36503,4.07302,26.981,13.1024,0.270366,0.270366,0.481337,0.998761,0.405549,0.900916,0.405549,0.324439
53,957.111,1,5.30191,4.04168,26.2611,12.8384,0.26352,0.26352,0.515729,0.998761,0.39528,0.878104,0.39528,0.316224
54,947.343,1,5.36693,4.04833,26.3367,12.8891,0.256848,0.256848,0.474926,0.998761,0.385271,0.85587,0.385271,0.308217
55,933.681,1,5.34784,3.91106,26.1271,12.8478,0.250344,0.250344,0.454142,0.998761,0.375516,0.834199,0.375516,0.300413
56,930.225,1,5.38215,4.1772,26.0724,12.811,0.244005,0.244005,0.466185,0.998761,0.366008,0.813077,0.366008,0.292806
57,919.704,1,5.37822,3.6386,26.4211,12.9674,0.237827,0.237827,0.430136,0.998761,0.35674,0.792489,0.35674,0.285392
58,916.593,1,5.35354,3.22967,27.1476,13.2249,0.231805,0.231805,0.422711,0.998761,0.347707,0.772423,0.347707,0.278166
59,923.14,1,5.3084,3.55093,26.8819,13.1445,0.225936,0.225936,0.418294,0.998761,0.338903,0.752865,0.338903,0.271123
60,915.566,1,5.31842,3.85305,26.5019,12.9542,0.220215,0.220215,0.438894,0.998761,0.330322,0.733802,0.330322,0.264258
61,911.348,1,5.35115,4.23507,26.2903,12.9231,0.214639,0.214639,0.458191,0.998761,0.321958,0.774616,0.321958,0.257567
62,902.769,1,5.36756,4.76127,26.5661,13.0356,0.209204,0.209204,0.453471,0.998761,0.313806,0.755002,0.313806,0.251045
63,897.504,1,5.31992,4.31964,25.8263,12.7429,0.203907,0.203907,0.443887,0.998761,0.30586,0.735885,0.30586,0.244688
64,880.942,1,5.27283,3.82438,25.3718,12.547,0.19966,0.198744,0.456213,0.998761,0.298116,0.717252,0.298116,0.238493
65,883.468,1,5.30014,4.01132,25.2252,12.4884,0.207461,0.193711,0.458716,0.998761,0.290567,0.699091,0.290567,0.232454
66,883.714,1,5.34022,4.53419,24.5959,12.229,0.202208,0.192628,0.419678,0.998761,0.28321,0.68139,0.28321,0.226568
67,878.857,1,5.36415,4.83019,24.2821,12.0959,0.203157,0.187751,0.500056,0.998761,0.276039,0.664136,0.276039,0.220831
68,867.827,1,5.4099,5.21415,25.0237,12.3966,0.210695,0.182997,0.530678,0.998761,0.269049,0.64732,0.269049,0.21524
