V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
18.9642,0,3.84933,0,All
26.9192,0.00714286,5.16278,0.00714286,All
27.0449,0.0142857,5.16688,0.0142857,All
27.2036,0.0214286,5.1709,0.0214286,All
28.094,0.0285714,5.25974,0.0285714,All
28.3493,0.0357143,5.40877,0.0357143,All
30.9233,0.0428571,5.46378,0.0428571,All
32.4737,0.05,5.48498,0.05,All
33.4368,0.0571429,5.52405,0.0571429,All
33.9264,0.0642857,5.66711,0.0642857,All
34.1038,0.0714286,5.70322,0.0714286,All
34.7738,0.0785714,6.2596,0.0785714,All
34.8641,0.0857143,6.4107,0.0857143,All
35.1835,0.0928571,6.58883,0.0928571,All
35.4258,0.1,6.77147,0.1,All
35.5637,0.107143,6.80154,0.107143,All
35.6276,0.114286,6.93194,0.114286,All
36.1428,0.121429,7.01283,0.121429,All
36.6442,0.128571,7.17063,0.128571,All
37.23,0.135714,7.43738,0.135714,All
37.3387,0.142857,7.4479,0.142857,All
37.8623,0.15,8.15058,0.15,All
38.0598,0.157143,8.28197,0.157143,All
38.2458,0.164286,8.62922,0.164286,All
39.4594,0.171429,8.67828,0.171429,All
39.5546,0.178571,8.82345,0.178571,All
39.6974,0.185714,8.85542,0.185714,All
39.938,0.192857,8.95868,0.192857,All
39.982,0.2,9.05579,0.2,All
40.0588,0.207143,9.12342,0.207143,All
40.3353,0.214286,9.12665,0.214286,All
40.8351,0.221429,9.26114,0.221429,All
40.8706,0.228571,9.29093,0.228571,All
41.0097,0.235714,9.30428,0.235714,All
41.3578,0.242857,9.32432,0.242857,All
41.5802,0.25,9.33698,0.25,All
41.764,0.257143,9.36152,0.257143,All
42.8027,0.264286,9.41156,0.264286,All
43.0436,0.271429,9.50818,0.271429,All
43.42,0.278571,9.54913,0.278571,All
43.6657,0.285714,9.56279,0.285714,All
44.2654,0.292857,9.7101,0.292857,All
44.8716,0.3,9.75141,0.3,All
45.107,0.307143,9.75538,0.307143,All
45.124,0.314286,9.85111,0.314286,All
45.2913,0.321429,9.86188,0.321429,All
46.3203,0.328571,9.88689,0.328571,All
46.3295,0.335714,9.91579,0.335714,All
46.8702,0.342857,9.93272,0.342857,All
47.0691,0.35,9.93437,0.35,All
47.3311,0.357143,9.94159,0.357143,All
47.4863,0.364286,10.0082,0.364286,All
47.5865,0.371429,10.1978,0.371429,All
47.7943,0.378571,10.2411,0.378571,All
48.1017,0.385714,10.2916,0.385714,All
48.2271,0.392857,10.3419,0.392857,All
48.2289,0.4,10.3585,0.4,All
48.423,0.407143,10.406,0.407143,All
48.7644,0.414286,10.4488,0.414286,All
48.9333,0.421429,10.4684,0.421429,All
49.014,0.428571,10.5259,0.428571,All
49.2053,0.435714,10.5342,0.435714,All
49.34,0.442857,10.6694,0.442857,All
49.4169,0.45,10.7039,0.45,All
49.43,0.457143,10.7311,0.457143,All
49.5402,0.464286,10.7349,0.464286,All
49.6418,0.471429,10.8022,0.471429,All
49.709,0.478571,10.8307,0.478571,All
50.1965,0.485714,10.8769,0.485714,All
50.5473,0.492857,10.9368,0.492857,All
50.6987,0.5,10.9537,0.5,All
50.722,0.507143,11.0155,0.507143,All
50.7918,0.514286,11.0457,0.514286,All
50.8774,0.521429,11.1522,0.521429,All
50.9648,0.528571,11.1704,0.528571,All
50.989,0.535714,11.1972,0.535714,All
51.0522,0.542857,11.2047,0.542857,All
51.4653,0.55,11.2166,0.55,All
51.6527,0.557143,11.2592,0.557143,All
51.7346,0.564286,11.2961,0.564286,All
52.3635,0.571429,11.3535,0.571429,All
52.3817,0.578571,11.4316,0.578571,All
52.5026,0.585714,11.4709,0.585714,All
52.5938,0.592857,11.4885,0.592857,All
52.7192,0.6,11.491,0.6,All
52.7275,0.607143,11.55,0.607143,All
52.8945,0.614286,11.565,0.614286,All
53.1112,0.621429,11.5947,0.621429,All
53.2738,0.628571,11.6231,0.628571,All
53.4034,0.635714,11.6819,0.635714,All
53.5353,0.642857,11.8748,0.642857,All
53.614,0.65,11.9277,0.65,All
53.9369,0.657143,11.9418,0.657143,All
