V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
15.1811,0.0177199,2.75951,0.171103,All
18.2379,0.0556911,3.21176,0.0855517,All
21.2948,0.0480969,3.66401,0.0855517,All
24.3516,0.0759424,4.11625,0.051331,All
27.4084,0.0658168,4.5685,0.290876,All
30.4652,0.030377,5.02075,0.342207,All
33.5221,0.0253141,5.47299,0.342207,All
36.5789,0.0177199,5.92524,0.427758,All
39.6357,0.00506283,6.37749,0.290876,All
42.6925,0.00506283,6.82973,0.136883,All
45.7494,0.00253141,7.28198,0.102662,All
48.8062,0.00506283,7.73423,0.0684414,All
