V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
22.7089,2.18229e-06,1.84046e-06,3.82139,0.000239179,5.77851e-05,All
23.6857,6.0369e-06,5.57084e-06,4.06596,0.000551023,0.000149998,All
24.6626,1.52169e-05,1.5341e-05,4.31053,0.00114701,0.000350362,All
25.6394,3.52731e-05,3.87981e-05,4.5551,0.00218781,0.000747214,All
26.6163,7.57976e-05,9.08574e-05,4.79967,0.00386815,0.0014726,All
27.5931,0.000152059,0.000198442,5.04424,0.00640052,0.00270876,All
28.57,0.000286554,0.000406807,5.28881,0.00999154,0.00468975,All
29.5468,0.000510051,0.000787173,5.53338,0.014815,0.00769667,All
30.5237,0.000861673,0.00144494,5.77795,0.0209863,0.0120465,All
31.5006,0.00138763,0.00252735,6.02252,0.0285418,0.018075,All
32.4774,0.0021384,0.00422916,6.26709,0.0374278,0.0261162,All
33.4543,0.00316441,0.00679483,6.51166,0.0474987,0.0364793,All
34.4311,0.00451068,0.0105159,6.75623,0.0585254,0.0494278,All
35.408,0.00621097,0.0157228,7.0008,0.0702119,0.0651604,All
36.3848,0.0082823,0.0227714,7.24537,0.0822163,0.0837973,All
37.3617,0.0107206,0.0320238,7.48994,0.0941762,0.105372,All
38.3385,0.0134983,0.0438271,7.73451,0.105731,0.12983,All
39.3154,0.0165637,0.0584894,7.97908,0.116547,0.157029,All
40.2922,0.0198434,0.0762577,8.22365,0.126328,0.186753,All
41.2691,0.023246,0.0972978,8.46823,0.134836,0.218718,All
42.2459,0.026668,0.12168,8.7128,0.141892,0.252588,All
43.2228,0.0300005,0.14937,8.95737,0.147381,0.287995,All
44.1996,0.0331359,0.180228,9.20194,0.151252,0.324547,All
45.1765,0.0359748,0.214011,9.44651,0.153507,0.361847,All
46.1533,0.0384312,0.250387,9.69108,0.154201,0.399506,All
47.1302,0.0404371,0.288948,9.93565,0.153429,0.437153,All
48.1071,0.0419448,0.329227,10.1802,0.151318,0.474445,All
49.0839,0.0429281,0.370724,10.4248,0.148014,0.511072,All
50.0608,0.0433819,0.412923,10.6694,0.143682,0.546761,All
51.0376,0.0433204,0.455312,10.9139,0.138489,0.581282,All
52.0145,0.0427746,0.497401,11.1585,0.132603,0.614445,All
52.9913,0.0417888,0.538738,11.4031,0.126186,0.646101,All
53.9682,0.0404176,0.578918,11.6476,0.119389,0.676137,All
54.945,0.0387217,0.617596,11.8922,0.112352,0.704479,All
55.9219,0.036765,0.654484,12.1368,0.105199,0.731084,All
56.8987,0.0346112,0.68936,12.3814,0.098039,0.755936,All
57.8756,0.0323219,0.72206,12.6259,0.0909644,0.779046,All
58.8524,0.0299543,0.752482,12.8705,0.0840528,0.800444,All
59.8293,0.0275596,0.780574,13.1151,0.0773664,0.820178,All
60.8061,0.0251826,0.806331,13.3596,0.0709541,0.838309,All
61.783,0.0228609,0.829791,13.6042,0.0648522,0.85491,All
62.7598,0.0206251,0.851023,13.8488,0.059086,0.870058,All
63.7367,0.0184986,0.870122,14.0933,0.0536714,0.88384,All
64.7136,0.0164988,0.887205,14.3379,0.0486158,0.896341,All
65.6904,0.0146371,0.902401,14.5825,0.04392,0.907649,All
66.6673,0.01292,0.915849,14.8271,0.0395792,0.917853,All
67.6441,0.0113495,0.927691,15.0716,0.0355842,0.927037,All
68.621,0.00992428,0.93807,15.3162,0.0319222,0.935285,All
69.5978,0.00864029,0.947126,15.5608,0.0285779,0.942677,All
70.5747,0.00749124,0.954994,15.8053,0.0255342,0.949289,All
71.5515,0.00646934,0.961803,16.0499,0.0227731,0.95519,All
72.5284,0.00556583,0.967672,16.2945,0.0202756,0.960449,All
73.5052,0.00477132,0.972712,16.5391,0.0180229,0.965128,All
74.4821,0.00407625,0.977026,16.7836,0.0159961,0.969284,All
75.4589,0.00347109,0.980705,17.0282,0.0141769,0.972969,All
76.4358,0.00294658,0.983834,17.2728,0.0125477,0.976233,All
77.4126,0.00249392,0.986486,17.5173,0.0110918,0.979121,All
78.3895,0.00210483,0.988727,17.7619,0.00979307,0.981672,All
79.3663,0.00177166,0.990616,18.0065,0.0086368,0.983923,All
80.3432,0.00148738,0.992204,18.251,0.00760907,0.985907,All
81.3201,0.00124566,0.993536,18.4956,0.00669704,0.987654,All
82.2969,0.00104078,0.99465,18.7402,0.00588889,0.989191,All
83.2738,0.000867652,0.995579,18.9848,0.00517377,0.990542,All
84.2506,0.000721783,0.996354,19.2293,0.00454181,0.991729,All
85.2275,0.000599216,0.996997,19.4739,0.00398401,0.99277,All
86.2043,0.000496497,0.997531,19.7185,0.00349223,0.993683,All
87.1812,0.000410625,0.997973,19.963,0.00305912,0.994483,All
88.158,0.000339005,0.998338,20.2076,0.00267806,0.995183,All
89.1349,0.000279405,0.998639,20.4522,0.00234311,0.995796,All
90.1117,0.000229914,0.998887,20.6968,0.00204895,0.996333,All
91.0886,0.000188899,0.999091,20.9413,0.00179081,0.996802,All
92.0654,0.000154974,0.999258,21.1859,0.00156447,0.997211,All
93.0423,0.000126964,0.999396,21.4305,0.00136614,0.997569,All
94.0191,0.000103879,0.999508,21.675,0.00119248,0.997882,All
94.996,8.48839e-05,0.9996,21.9196,0.00104051,0.998154,All
95.9728,6.92785e-05,0.999675,22.1642,0.000907594,0.998392,All
96.9497,5.64771e-05,0.999736,22.4087,0.00079141,0.998599,All
97.9266,4.59908e-05,0.999786,22.6533,0.000689902,0.99878,All
98.9034,3.74126e-05,0.999827,22.8979,0.000601256,0.998938,All
99.8803,3.04042e-05,0.99986,23.1425,0.000523876,0.999075,All
100.857,2.46855e-05,0.999886,23.387,0.000456356,0.999195,All
101.834,2.00244e-05,0.999908,23.6316,0.000397461,0.999299,All
102.811,1.62296e-05,0.999926,23.8762,0.000346108,0.99939,All
103.788,1.31434e-05,0.99994,24.1207,0.000301343,0.999469,All
104.765,1.06358e-05,0.999952,24.3653,0.000262333,0.999538,All
105.741,8.60046e-06,0.999961,24.6099,0.000228346,0.999598,All
106.718,6.94979e-06,0.999969,24.8545,0.000198743,0.99965,All
107.695,5.61227e-06,0.999975,25.099,0.000172963,0.999695,All
108.672,4.52936e-06,0.99998,25.3436,0.000150517,0.999735,All
109.649,3.65327e-06,0.999984,25.5882,0.000130977,0.999769,All
110.626,2.94502e-06,0.999987,25.8327,0.00011397,0.999799,All
111.602,2.37283e-06,0.999989,26.0773,9.91681e-05,0.999825,All
112.579,1.91088e-06,0.999991,26.3219,8.62877e-05,0.999848,All
113.556,1.53816e-06,0.999993,26.5664,7.50803e-05,0.999867,All
114.533,1.2376e-06,0.999994,26.811,6.53294e-05,0.999885,All
115.51,9.95363e-07,0.999996,27.0556,5.68461e-05,0.9999,All
116.487,8.00236e-07,0.999996,27.3002,4.94661e-05,0.999913,All
117.464,6.43132e-07,0.999997,27.5447,4.30461e-05,0.999924,All
118.44,5.16699e-07,0.999998,27.7893,3.74614e-05,0.999934,All
119.417,4.14993e-07,0.999998,28.0339,3.26032e-05,0.999942,All
