Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
5.53666,0.0742434,35.3107,0.0168898,10.0088,0.0529994,21.2008,0.0116403,All
6.26624,0.053031,39.4341,0.037533,10.1548,0.211997,59.7575,0.0106368,All
6.99582,0.0848496,43.5575,0.0506695,10.3008,0.211997,98.3142,0.00220763,All
7.72541,0.0212124,47.6808,0.069436,10.4468,0.582993,136.871,0.00120416,All
8.45499,0.0212124,51.8042,0.0337797,10.5928,1.05999,175.428,0.00100347,All
9.18457,0.201518,55.9275,0.0281497,10.7388,0.741991,213.984,0.000602082,All
9.91415,0.22273,60.0509,0.00187665,10.8848,1.48398,252.541,0,All
10.6437,0.137881,64.1742,0.00938324,11.0308,1.48398,291.098,0.000200694,All
11.3733,0.0742434,68.2976,0.00750659,11.1769,0.582993,329.654,0.000200694,All
12.1029,0.254549,72.421,0.0037533,11.3229,0.370996,368.211,0.000200694,All
12.8325,0.22273,76.5443,0.00187665,11.4689,0.264997,406.768,0,All
13.5621,0.116668,80.6677,0.00187665,11.6149,0.370996,445.324,0.000200694,All
