simulations,OFV
500,941.489
1000,942.828
1500,942.261
2000,940.184
2500,940.547
3000,940.988
3500,940.571
4000,940.738
4500,941.086
5000,941.303
5500,941.194
6000,941.416
6500,940.603
7000,940.611
7500,940.202
8000,940.321
8500,940.554
9000,940.284
9500,940.115
10000,939.819
10500,939.749
11000,939.667
11500,939.424
12000,939.2
12500,939.364
13000,939.215
13500,939.045
14000,938.988
14500,938.992
15000,939.006
15500,938.962
16000,938.944
16500,938.839
17000,938.981
17500,939.013
18000,938.823
18500,938.977
19000,938.938
19500,938.91
20000,938.792
20500,938.871
21000,938.725
21500,938.772
22000,938.862
22500,938.828
23000,938.671
23500,938.623
24000,938.607
24500,938.617
25000,938.685
25500,938.686
26000,938.637
26500,938.505
27000,938.443
27500,938.481
28000,938.589
28500,938.561
29000,938.648
29500,938.704
30000,938.795
