Cl_pop,1.08,-0.886,1.49,-11.7,0.161,-0.262,3.09,-14,-0.00262,-0.0109
V1_pop,-0.886,0.735,-1.23,9.61,-0.132,0.215,-2.54,11.6,0.00214,0.00897
Q_pop,1.49,-1.23,2.09,-16.1,0.222,-0.362,4.27,-19.4,-0.00361,-0.0151
V2_pop,-11.7,9.61,-16.1,127,-1.75,2.84,-33.5,152,0.0283,0.118
omega_Cl,0.161,-0.132,0.222,-1.75,0.0269,-0.0393,0.462,-2.1,-0.000386,-0.00162
omega_V1,-0.262,0.215,-0.362,2.84,-0.0393,0.0673,-0.751,3.42,0.000643,0.00262
omega_Q,3.09,-2.54,4.27,-33.5,0.462,-0.751,8.87,-40.3,-0.00749,-0.0312
omega_V2,-14,11.6,-19.4,152,-2.1,3.42,-40.3,183,0.0342,0.142
b1,-0.00262,0.00214,-0.00361,0.0283,-0.000386,0.000643,-0.00749,0.0342,0.000114,2.51e-5
b2,-0.0109,0.00897,-0.0151,0.118,-0.00162,0.00262,-0.0312,0.142,2.51e-5,0.000116
