parameter,value,se_sa,rse_sa
Cl_pop,5.69676021466362,1.25559002656195,22.0404226130148
beta_Cl_logtWTKG,0.750774016922894,0.337748715063959,44.9867346832605
beta_Cl_tCLCRMLMIN,0.606122928006876,0.214790088369627,35.4367205800852
V1_pop,40.4845781865919,3.56205225902209,8.79854112004015
Q_pop,12.7549150955316,2.83927259357251,22.2602233908024
V2_pop,45.1052557708785,4.16503533784253,9.23403551683574
omega_Cl,0.182601203149794,0.0354616463995198,19.4202698491693
omega_V1,0.274439619145449,0.0792535312298826,28.8783126418345
omega_Q,0.641981469361568,0.165078743451007,25.7139421197271
omega_V2,0.281730391018871,0.0892108451103169,31.66532541544
corr_V2_V1,0.998758385574769,0.00662218293371855,0.663041535306619
a1,0.302796244944502,0.0230253259237847,7.60423099962977
a2,0.0633644858467746,0.00656524840484008,10.3610852626752
