parameter,value
Cl_pop,10.5652816470219
beta_Cl_logtCLCRMLMIN,0.659390987671281
beta_Cl_logtWTKG,0.79564376825296
V1_pop,43.4996099762626
Q_pop,20.6630153977375
beta_Q_ANTU_2,-0.669715645736797
beta_Q_logtAGEA,1.64603653391692
beta_Q_logtCLCRMLMIN,1.96378957408069
beta_Q_logtSCRMGDL,0.85118830036713
V2_pop,51.3198274093017
beta_V2_logtPROGDL,0.234701105660944
omega_Cl,0.178076229111987
omega_V1,0.256268390953767
omega_Q,0.00717952988541104
omega_V2,0.17893953344065
corr_V2_V1,0.999
a1,0.305798752212386
a2,0.0605107266735711
