iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,2017.87,1,2.59104,2.88311,31.5191,34.1276,3,3,0,1.5,1.5,1.5,1.5
2,1995.24,1,2.7825,3.92261,29.3043,43.6475,2.92404,2.92404,0,1.46202,1.55147,1.46202,1.46202
3,1983.92,1,3.67521,4.38071,33.2524,64.4704,2.85,2.85,0,1.425,1.51219,1.425,1.54444
4,1967.99,1,2.66823,6.25743,45.1866,88.5764,2.77784,2.77784,0,1.38892,1.4739,1.38892,1.50533
5,1961.33,1,2.83622,6.2969,67.6838,84.349,2.7075,2.7075,0,1.35375,1.43658,1.38035,1.46722
6,1957.19,1,2.96842,5.36513,67.0902,86.2748,2.63894,2.63894,0,1.31947,1.40675,1.45569,1.49298
7,1940.44,1,2.37831,5.4945,85.1112,112.068,2.57212,2.57212,0,1.28606,1.45303,1.41883,1.45517
8,1930.55,1,2.43639,6.0931,93.7348,98.0433,2.507,2.507,0,1.2535,1.43571,1.38291,1.47964
9,1930.25,1,2.12934,4.73466,97.3096,112.974,2.44352,2.44352,0,1.22176,1.67031,1.34789,1.44218
10,1916.83,1,1.65575,5.05125,85.4548,155.156,2.38165,2.38165,0,1.20119,1.6616,1.31376,1.40566
11,1908.24,1,1.92313,3.50986,108.975,154.397,2.32134,2.32134,0,1.17078,1.61953,1.2805,1.46785
12,1896.04,1,2.01587,3.59379,109.14,144.379,2.26257,2.26257,0,1.14114,1.58057,1.24807,1.43068
13,1885.84,1,2.16479,5.37524,83.8583,247.154,2.20528,2.20528,0,1.11224,1.59608,1.21647,1.49624
14,1870.72,1,1.84142,4.8156,102.572,299.634,2.14944,2.14944,0,1.08408,1.67276,1.18567,1.45836
15,1852.29,1,1.69575,5.71724,84.3546,298.42,2.09501,2.09501,0,1.05663,1.6304,1.15565,1.42143
16,1852.48,1,1.84162,7.64945,80.4173,219.977,2.04197,2.04197,0,1.02987,1.58912,1.12639,1.44864
17,1829.67,1,1.99385,6.30635,68.021,240.794,1.99026,1.99026,0,1.0038,1.54888,1.09787,1.41196
18,1828.53,1,2.10411,6.89461,63.0445,205.696,1.93987,1.93987,0,0.978381,1.50966,1.08338,1.43414
19,1803.72,1,2.57718,6.19079,59.9583,193.437,1.89075,1.89075,0,0.953608,1.47144,1.05594,1.39783
20,1793.8,1,2.89417,6.09777,51.7221,178.396,1.84287,1.84287,0,0.929462,1.43418,1.02921,1.36244
21,1792.22,1,3.03399,9.49179,52.3448,134.668,1.79621,1.79621,0,0.905927,1.39786,1.00315,1.32794
22,1761.78,1,3.03213,9.83955,44.5128,182.201,1.75073,1.75073,0,0.882989,1.36247,0.977746,1.29431
23,1768.27,1,2.68821,10.4306,38.8035,228.927,1.7064,1.7064,0,0.860631,1.33842,1.06921,1.26154
24,1752.46,1,2.66058,7.6828,40.7251,298.223,1.66319,1.66319,0,0.838839,1.30453,1.04214,1.25577
25,1740.74,1,3.1595,7.0134,32.7092,298.085,1.62108,1.62108,0,0.817599,1.2715,1.01575,1.22397
26,1726.86,1,3.23783,8.07206,33.7501,319.981,1.58003,1.58003,0,0.796897,1.27804,0.990029,1.19298
27,1718.47,1,3.33599,7.55491,38.9157,280.162,1.54003,1.54003,0,0.776719,1.32891,0.964961,1.16277
28,1707.01,1,3.35827,6.17248,45.6863,234.642,1.50103,1.50103,0,0.757052,1.29526,0.940528,1.13333
29,1697.67,1,3.45993,6.20275,34.2901,173.365,1.46302,1.46302,0,0.737883,1.36618,0.916713,1.14745
30,1681.69,1,3.69704,5.91563,31.495,180.166,1.42598,1.42598,0,0.7192,1.33159,0.947931,1.11839
31,1685.77,1,3.51585,4.4635,34.4992,178.47,1.38987,1.38987,0,0.700989,1.29787,0.930915,1.16516
32,1661.96,1,3.60427,5.10434,35.4676,166.782,1.35468,1.35468,0,0.68324,1.26501,0.907344,1.13565
33,1656.06,1,3.87815,6.01849,34.9064,177.251,1.32038,1.32038,0,0.66594,1.33789,0.884369,1.13771
34,1644.02,1,3.95084,6.62921,33.8604,157.669,1.28695,1.28695,0,0.649078,1.35681,0.861977,1.1089
35,1623.78,1,4.10541,5.93211,29.9933,172.902,1.25436,1.25436,0,0.632643,1.32246,0.840151,1.08082
36,1625.23,1,3.70285,7.37399,33.2416,148.917,1.2226,1.2226,0,0.616624,1.52651,0.818878,1.05346
37,1607.93,1,3.6829,6.25338,36.0008,154.984,1.19164,1.19164,0,0.601011,1.48786,0.798143,1.02678
38,1609.44,1,3.74697,6.10406,34.1277,126.465,1.16147,1.16147,0,0.585793,1.45019,0.866582,1.00078
39,1591.08,1,4.07129,4.77727,33.9331,127.233,1.13206,1.13206,0,0.57096,1.49771,0.84464,0.975445
40,1577.9,1,4.22598,5.65164,33.6849,127.602,1.1034,1.1034,0,0.556503,1.52906,0.823253,1.02072
41,1569.99,1,4.40124,7.28395,34.8551,117.293,1.07546,1.07546,0,0.542412,1.49034,0.802408,1.08052
42,1554.69,1,4.52085,7.17783,31.5811,106.629,1.04823,1.04823,0,0.528678,1.4526,0.78209,1.05316
43,1546.62,1,4.67348,6.011,29.9853,92.4784,1.02168,1.02168,0,0.515292,1.52854,0.762288,1.02649
44,1530.81,1,4.60005,5.5212,31.2736,96.0895,0.995815,0.995815,0,0.502244,1.48984,0.742986,1.0005
45,1522.52,1,4.65737,4.63234,28.5137,87.3075,0.970601,0.970601,0,0.489527,1.48648,0.724173,0.975166
46,1514.82,1,4.49302,3.32797,30.2482,88.0236,0.946024,0.946024,0,0.477132,1.44884,0.705837,0.950474
47,1499.49,1,4.41298,4.91376,29.3317,104.699,0.922071,0.922071,0,0.465051,1.41216,0.687964,0.926407
48,1485.68,1,4.37473,4.71253,29.0699,112.89,0.898723,0.898723,0,0.453275,1.54161,0.670545,0.90295
49,1487.04,1,4.39925,4.10267,33.2176,132.593,0.875967,0.875967,0,0.441798,1.51772,0.653566,0.880087
50,1466.26,1,4.21386,4.28372,31.0356,150.087,0.853787,0.853787,0,0.430611,1.54467,0.637018,0.919705
51,1461.24,1,4.44434,2.88495,33.1757,138.376,0.832169,0.832169,0,0.419708,1.50556,0.620888,1.08755
52,1447.78,1,4.3631,2.69902,31.6609,104.699,0.811098,0.811098,0,0.409081,1.46744,0.605167,1.06001
53,1445.34,1,4.25479,2.96965,29.0942,108.347,0.79056,0.79056,0,0.398723,1.43028,0.589844,1.15628
54,1442.5,1,4.14513,2.21688,28.0633,120.184,0.770543,0.770543,0,0.388627,1.49639,0.574908,1.16388
55,1422.76,1,4.24176,2.78808,29.4943,143.252,0.751032,0.751032,0,0.378787,1.4585,0.560351,1.13441
56,1414.58,1,4.25677,2.38598,30.2075,134.265,0.732016,0.732016,0,0.369196,1.42157,0.546163,1.12645
57,1395.07,1,4.35495,2.28655,33.9867,143.792,0.713481,0.713481,0,0.359847,1.38557,0.532334,1.09793
58,1393.11,1,4.07018,1.80784,30.1814,153.195,0.695415,0.695415,0,0.350736,1.35049,0.518855,1.142
59,1382.15,1,3.93806,2.12274,30.527,191.598,0.677807,0.677807,0,0.341855,1.3163,0.505717,1.11308
60,1371.06,1,4.22058,2.07258,30.5301,149.121,0.660644,0.660644,0,0.333199,1.28297,0.492912,1.0849
61,1358.95,1,4.4806,2.36457,30.1519,161.496,0.643916,0.643916,0,0.324762,1.25048,0.480431,1.07347
62,1341.54,1,4.50703,2.52074,30.9894,150.552,0.627612,0.627612,0,0.316539,1.21882,0.468266,1.04629
63,1330.74,1,4.31805,2.49053,28.2387,126.22,0.61172,0.61172,0,0.308524,1.18796,0.45641,1.0198
64,1321.58,1,4.27792,2.70469,28.9135,114.454,0.596231,0.596231,0,0.300712,1.15788,0.444853,1.05279
65,1302.58,1,4.28904,3.2034,30.6678,128.845,0.581134,0.581134,0,0.293098,1.12856,0.433589,1.02614
66,1296.44,1,4.33807,3.31714,28.8213,113.976,0.56642,0.56642,0,0.285676,1.09998,0.42261,1.00015
67,1283.89,1,4.35526,3.38412,29.2892,119.824,0.552078,0.552078,0,0.294292,1.07213,0.41191,0.974829
68,1272.3,1,4.65023,3.11056,30.4737,113.159,0.538099,0.538099,0,0.28684,1.04498,0.40148,1.01121
69,1276.3,1,4.39248,3.54658,28.4442,118.908,0.524474,0.524474,0,0.289869,1.01852,0.391314,0.985602
70,1259.33,1,4.23976,3.7396,30.9723,136.731,0.511194,0.511194,0,0.282529,0.992735,0.381406,0.960646
71,1249.97,1,4.42416,3.79281,31.3596,164.852,0.49825,0.49825,0,0.275375,0.967598,0.371749,0.936322
72,1239.01,1,4.47589,2.75812,31.4934,146.604,0.485634,0.485634,0,0.268403,0.943098,0.362336,0.998541
73,1228.3,1,4.33145,3.01191,30.595,136.09,0.473338,0.473338,0,0.261607,0.935479,0.353161,0.973257
74,1222.2,1,4.38749,3.3486,28.2941,134.38,0.461352,0.461352,0,0.254982,0.911792,0.344219,0.951467
75,1220.23,1,4.54319,3.3231,28.2916,130.917,0.449671,0.449671,0,0.248526,0.888705,0.335503,0.927376
76,1188.33,1,4.48991,3.37291,28.5822,108.636,0.438285,0.438285,0,0.242233,0.866202,0.327008,0.903894
77,1180.5,1,4.64538,2.98945,28.4695,97.2749,0.427187,0.427187,0,0.2361,0.844269,0.318728,0.887381
78,1167.31,1,4.67049,2.85922,30.1058,100.602,0.416371,0.416371,-0.178987,0.230122,0.822892,0.310658,0.864912
79,1163.05,1,4.66379,3.39748,28.9261,96.0815,0.405828,0.405828,-0.114165,0.23583,0.802056,0.302792,0.843012
80,1153.27,1,4.68254,3.31371,27.9248,92.338,0.395552,0.395552,-0.134117,0.229859,0.781747,0.295125,0.821666
81,1143.13,1,4.69907,3.76811,26.872,99.5547,0.385536,0.385536,-0.394247,0.224038,0.761953,0.287652,0.800861
82,1137.47,1,4.74149,3.31264,27.3627,84.2374,0.375774,0.375774,-0.288493,0.226013,0.796997,0.280368,0.845557
83,1135.76,1,4.71921,3.33253,27.472,71.9689,0.36626,0.36626,-0.292037,0.232678,0.776816,0.273269,0.999101
84,1126.09,1,4.86798,4.30617,27.8697,66.5844,0.356986,0.356986,-0.195899,0.226787,0.757147,0.26635,1.00381
85,1108.96,1,4.81546,4.86604,27.1183,69.6534,0.347947,0.347947,-0.21459,0.221045,0.737975,0.259606,0.978395
86,1093.77,1,4.9088,4.20436,26.3971,55.1957,0.339136,0.339136,-0.210836,0.215448,0.719289,0.253033,0.953621
87,1092.5,1,4.86007,3.99926,26.0587,56.912,0.330549,0.330549,0.0372829,0.209992,0.701077,0.246626,1.00667
88,1087.41,1,4.93255,4.07165,26.4755,59.084,0.32218,0.32218,0.043723,0.204675,0.683325,0.240381,1.02048
89,1084.63,1,4.88554,4.64918,26.5424,58.2946,0.314022,0.314022,0.0935872,0.199493,0.666023,0.244081,1.04703
90,1066.72,1,4.88757,3.95068,25.3904,52.1453,0.306071,0.306071,0.0484433,0.194441,0.649159,0.237901,1.03495
91,1061.42,1,4.9257,4.18181,24.9789,47.6278,0.298321,0.298321,0.138618,0.189518,0.632722,0.231877,1.07971
92,1050.84,1,4.97173,4.26203,24.7966,43.3711,0.290767,0.290767,0.183447,0.184719,0.616701,0.226006,1.11795
93,1064.83,1,4.88721,4.04952,25.5928,43.4602,0.283405,0.283405,0.0478176,0.211445,0.601085,0.23587,1.08964
94,1048.95,1,4.86669,4.37533,24.6945,45.7775,0.276229,0.276229,-0.0232101,0.206091,0.593414,0.229898,1.11265
95,1032.98,1,4.75562,4.23552,24.2391,52.1512,0.269234,0.269234,-0.0530147,0.200873,0.578389,0.224076,1.08448
96,1026.87,1,4.87361,4.67338,24.728,44.2166,0.262417,0.262417,0.132395,0.201898,0.563744,0.218403,1.05702
97,1022.49,1,4.9233,4.9254,24.7039,53.3062,0.255773,0.255773,0.182848,0.200354,0.578907,0.224541,1.03025
98,1024.21,1,4.95163,5.00209,24.317,54.1997,0.249296,0.249296,0.142692,0.209612,0.633279,0.218855,1.00417
99,1020.17,1,4.92291,5.22724,25.7914,57.0532,0.242984,0.242984,0.150514,0.208545,0.62901,0.216615,0.978739
100,1008.01,1,4.94194,4.82931,24.8004,63.6415,0.236832,0.236832,0.169544,0.203264,0.613083,0.235248,0.953957
101,1005.95,1,4.87606,4.72759,24.1635,60.1356,0.230835,0.230835,0.215691,0.206844,0.597559,0.229292,0.929802
102,994.902,1,4.86203,4.5398,24.4005,56.5942,0.197382,0.194878,0.199409,0.197027,0.534803,0.206428,0.960605
103,978.956,1,4.80659,4.4908,24.0381,65.2741,0.203409,0.177873,0.303023,0.213084,0.515272,0.19387,0.869051
104,975.026,1,4.84127,4.61429,24.3098,63.1537,0.205984,0.172566,0.25414,0.209272,0.455693,0.207343,0.904576
105,967.584,1,4.83068,4.79333,24.459,66.1231,0.219209,0.155928,0.323929,0.206976,0.46831,0.20126,0.939838
106,959.826,1,4.76906,4.92593,23.6233,68.0937,0.238142,0.139704,0.37299,0.201506,0.430255,0.217073,0.906299
107,943.54,1,4.76056,4.843,23.5983,66.0107,0.251148,0.122639,0.399231,0.21174,0.396633,0.204397,0.953708
108,932.24,1,4.67294,4.49924,23.5578,64.798,0.268648,0.107531,0.410784,0.21551,0.392528,0.209238,0.964208
109,912.468,1,4.65544,4.75957,23.4317,68.6931,0.273365,0.0967734,0.510064,0.202766,0.380971,0.216368,0.976681
110,906.757,1,4.59062,4.78582,23.9218,71.6296,0.283608,0.0902702,0.450607,0.215514,0.362649,0.209215,0.982132
111,904.376,1,4.62576,4.58818,23.3455,66.1599,0.290155,0.0868522,0.5421,0.209499,0.381346,0.220186,0.992594
112,898.521,1,4.58581,4.48671,23.2759,65.3384,0.29428,0.0820768,0.522991,0.219588,0.372421,0.227684,1.00339
113,903.867,1,4.58538,4.57822,23.2127,64.1093,0.296038,0.08297,0.4896,0.219004,0.383486,0.227808,1.02977
114,899.305,1,4.59047,4.72976,22.8824,69.5369,0.295047,0.0815029,0.56712,0.222832,0.4059,0.240835,0.940823
115,893.796,1,4.60646,4.92409,22.9985,71.9387,0.295122,0.0799908,0.609433,0.22529,0.380961,0.256609,0.901262
116,893.673,1,4.53576,4.76593,22.9072,72.4188,0.294273,0.0792666,0.562431,0.230338,0.371598,0.260131,0.923915
117,892.413,1,4.56118,4.64057,23.0293,71.3347,0.303804,0.0755492,0.574333,0.23089,0.378847,0.265914,0.954034
118,889.032,1,4.6015,4.62909,23.2986,68.5374,0.296162,0.0760118,0.548374,0.229403,0.381685,0.266185,0.943418
119,893.335,1,4.59021,4.60825,23.4363,69.4269,0.296413,0.0762493,0.535764,0.225902,0.393978,0.283085,0.980845
120,888.585,1,4.62872,4.56499,23.0304,64.1383,0.298317,0.0748881,0.501947,0.225299,0.380543,0.268132,0.959116
121,891.931,1,4.62338,4.7245,22.8564,64.9879,0.29339,0.0776275,0.521163,0.225416,0.401339,0.255333,0.955138
122,891.57,1,4.59489,4.62387,22.7251,63.4726,0.300673,0.0751034,0.52183,0.234984,0.390592,0.250412,1.00525
123,887.65,1,4.60797,4.70558,22.875,66.4258,0.292513,0.078491,0.517473,0.22485,0.347102,0.254312,0.900287
124,890.22,1,4.71452,5.01245,22.811,58.458,0.29069,0.0782046,0.52608,0.218553,0.382826,0.255232,0.98777
125,896.889,1,4.71596,4.98445,22.742,57.5952,0.294864,0.0785996,0.533677,0.231785,0.36375,0.282141,0.991271
126,887.799,1,4.67002,4.92667,22.8264,62.6094,0.30231,0.0735027,0.495226,0.246732,0.374441,0.261415,0.916885
127,884.722,1,4.64254,4.88384,22.6974,62.892,0.302344,0.0711498,0.437501,0.264173,0.387256,0.255333,0.916506
128,872.964,1,4.62293,4.89891,23.0901,63.9901,0.305082,0.0662913,0.445174,0.260209,0.393037,0.259703,0.908084
129,882.6,1,4.62458,4.78742,22.9729,64.4794,0.303484,0.0696522,0.458972,0.258639,0.418987,0.262255,0.891178
130,881.521,1,4.57441,4.93061,22.5382,66.2139,0.301001,0.0693426,0.317309,0.264148,0.428694,0.250593,0.877607
131,879.775,1,4.53689,5.00484,22.3156,67.5149,0.304737,0.0674743,0.438212,0.262298,0.441285,0.259607,0.910336
132,884.233,1,4.54114,4.84604,22.6237,66.3866,0.308373,0.0680324,0.41319,0.265747,0.418359,0.268107,0.925447
133,878.281,1,4.5532,4.74932,23.0297,68.0692,0.304408,0.0674907,0.407004,0.266763,0.41393,0.252715,0.91979
134,880.948,1,4.55629,4.72537,22.9135,67.8069,0.30441,0.0684759,0.339799,0.260453,0.409378,0.255874,0.909931
135,883.062,1,4.55142,4.69091,23.3134,69.1835,0.30064,0.069729,0.346927,0.251588,0.425665,0.248605,0.969889
136,882.444,1,4.49632,4.81455,22.8198,70.2927,0.30403,0.0689722,0.365378,0.242162,0.417102,0.256735,0.979373
137,886.864,1,4.52405,4.48255,23.1909,69.9456,0.307823,0.0695718,0.363395,0.239812,0.410707,0.269672,0.968368
138,886.766,1,4.56181,4.54301,22.8912,66.5275,0.30289,0.0711816,0.390541,0.241142,0.428051,0.24833,0.966343
139,885.849,1,4.51238,4.61393,22.4666,66.7196,0.299249,0.0721562,0.487448,0.240105,0.412956,0.256303,0.984305
140,886.846,1,4.52608,4.67591,22.5803,65.5995,0.305356,0.0710595,0.492739,0.245565,0.4151,0.254204,0.970704
141,880.872,1,4.60725,4.70622,22.5039,61.0671,0.300981,0.0692631,0.474516,0.242564,0.427103,0.270053,0.944801
142,882.414,1,4.59875,4.5402,22.2814,60.6025,0.303498,0.0690147,0.438171,0.243632,0.437623,0.268668,0.924321
143,885.175,1,4.6367,4.65867,23.0313,59.4062,0.301209,0.0690682,0.434719,0.251996,0.466326,0.280605,0.926722
144,884.067,1,4.69846,4.63566,22.6533,56.0811,0.300962,0.0692799,0.348759,0.250942,0.459808,0.269142,0.894974
145,883.439,1,4.73202,5.00013,22.4102,54.0397,0.30929,0.0667557,0.343192,0.252213,0.466132,0.268546,0.918789
146,883.671,1,4.7413,5.00406,22.3415,52.1024,0.302443,0.0676179,0.376324,0.249484,0.457158,0.282308,0.983247
147,871.182,1,4.72851,4.99546,22.5575,53.6717,0.3017,0.0644448,0.356107,0.24863,0.46597,0.272714,0.899316
148,870.236,1,4.72536,5.08368,22.207,52.9998,0.311206,0.0623428,0.307756,0.256056,0.453212,0.268931,0.877223
149,866.461,1,4.75744,5.21567,21.9709,49.1702,0.311112,0.0603695,0.311214,0.247224,0.442601,0.291782,0.937298
150,865.298,1,4.75059,5.32994,21.844,47.9102,0.31005,0.0608097,0.396628,0.255683,0.437054,0.281289,0.920873
151,861.766,1,4.79795,5.29394,22.0013,45.8014,0.301832,0.0614005,0.354503,0.24925,0.436956,0.274007,0.944448
152,862.24,1,4.77835,5.22753,22.1167,46.2649,0.300147,0.0624097,0.415216,0.250221,0.438273,0.268922,0.928357
153,866.598,1,4.75878,5.40487,22.1463,45.324,0.306224,0.0626453,0.434137,0.247773,0.407944,0.266602,1.01821
154,873.382,1,4.76277,5.13146,21.7007,44.8182,0.307583,0.0642095,0.399288,0.251183,0.424717,0.271489,0.971551
155,874.76,1,4.74834,5.15612,22.0204,46.523,0.30573,0.0648803,0.344002,0.256058,0.417191,0.275507,0.951797
156,870.884,1,4.73969,5.25582,21.7721,45.3033,0.309313,0.0615899,0.404508,0.25937,0.439313,0.302874,0.957251
157,870.513,1,4.76943,5.24055,21.9913,46.9706,0.313443,0.0614046,0.414633,0.262545,0.451991,0.272063,0.945941
158,872.495,1,4.75238,5.40476,22.0572,47.038,0.305621,0.06341,0.406358,0.266596,0.496749,0.249826,0.941392
159,874.625,1,4.7047,5.34802,21.9824,48.286,0.301713,0.0643457,0.441183,0.275914,0.477464,0.260799,0.983872
160,865.981,1,4.7009,5.57654,21.7873,52.0698,0.305258,0.0611903,0.37228,0.27347,0.484354,0.248206,0.951343
161,866.782,1,4.69517,5.47827,21.9722,55.3282,0.302865,0.0623793,0.39817,0.268548,0.496221,0.246255,0.91783
162,870.245,1,4.70783,5.30199,22.0955,51.8735,0.306657,0.0623254,0.400285,0.266942,0.501142,0.256163,0.919662
163,871.252,1,4.70505,5.07509,22.1236,50.4151,0.310255,0.0625839,0.451123,0.26223,0.475599,0.260878,0.92514
164,873.109,1,4.71658,5.03422,22.2754,49.0441,0.308945,0.063981,0.442225,0.256255,0.469172,0.247371,0.952163
165,867.872,1,4.7413,4.95038,22.0471,48.8271,0.306136,0.0629516,0.534223,0.255821,0.460408,0.274042,0.91868
166,867.174,1,4.78988,4.87864,22.2654,48.8354,0.303639,0.063,0.413302,0.253657,0.48234,0.270782,0.852735
167,870.795,1,4.73722,4.95944,22.1425,48.629,0.30544,0.0636592,0.392621,0.256166,0.497032,0.25916,0.862598
168,867.435,1,4.74713,4.91195,22.1183,48.3819,0.307294,0.0622896,0.455286,0.263081,0.482374,0.255919,0.894151
169,860.071,1,4.71771,5.20186,22.1597,49.0368,0.305198,0.0599841,0.451681,0.264476,0.484249,0.258669,0.912796
170,858.271,1,4.74875,5.17487,22.0597,48.4392,0.304508,0.0597069,0.472017,0.265165,0.458504,0.269565,0.91803
171,866.732,1,4.74836,5.21177,21.6632,45.6185,0.307491,0.060008,0.438692,0.25661,0.49395,0.297111,0.958099
172,865.728,1,4.75454,5.23423,21.7251,47.1347,0.306667,0.0606743,0.491792,0.252955,0.476494,0.303769,0.926569
