rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
1,1,0.162495,0.148333,2.53229e-09,0.778179,-9.37663e-08,4.3792,All,#4682B4,0
2,1,0.110215,0.100049,6.88552e-09,-5.59765,-1.65175e-07,2.34994,All,#4682B4,0
3,1,0.138824,0.0940295,-2.07758e-08,2.89815,1.16943e-07,1.41036,All,#4682B4,0
4,1,0.0103268,-0.0157035,3.68707e-09,4.49051,-8.88233e-08,1.56959,All,#4682B4,0
5,1,0.157145,0.374799,-4.96194e-08,0.152259,4.93847e-08,0.817663,All,#4682B4,0
6,1,0.0947725,0.0204232,1.19901e-08,-0.191925,-4.06976e-08,-5.45048,All,#4682B4,0
7,1,0.107072,0.0232656,4.39134e-08,1.4961,7.54222e-08,2.52651,All,#4682B4,0
8,1,0.196387,-0.0372229,7.89735e-10,-1.82511,-7.21247e-08,3.71438,All,#4682B4,0
9,1,0.203404,0.27109,-3.13787e-08,3.13957,-5.12926e-08,-0.305127,All,#4682B4,0
10,1,0.14591,0.135939,2.01548e-08,-7.56655,4.7048e-08,-3.68737,All,#4682B4,0
1,2,0.185508,0.148821,9.47383e-09,4.36215,-4.8576e-08,-0.10035,All,#4682B4,0
2,2,0.323212,0.206452,-2.52705e-08,4.27215,1.29624e-07,-0.0402961,All,#4682B4,0
3,2,0.0843524,0.33676,-5.4241e-09,5.07081,1.94469e-08,-3.61531,All,#4682B4,0
4,2,0.280399,0.0974856,3.89045e-08,2.56368,-4.31305e-08,3.33586,All,#4682B4,0
5,2,0.248485,0.218217,-1.14901e-08,3.10639,-5.08168e-09,-1.31385,All,#4682B4,0
6,2,0.139051,0.163104,-1.17014e-08,4.27154,5.11622e-08,0.636491,All,#4682B4,0
7,2,0.189438,0.142633,1.35227e-08,4.25098,-6.75086e-08,1.77815,All,#4682B4,0
8,2,0.202094,0.0810018,-1.51839e-08,3.98489,1.09621e-07,-0.11688,All,#4682B4,0
9,2,-0.0173525,0.108135,-3.22461e-08,5.19903,3.76643e-08,1.55555,All,#4682B4,0
10,2,0.233655,0.141009,-1.8676e-08,-0.460521,-1.88052e-08,-0.452822,All,#4682B4,0
1,3,0.19156,-0.0685374,-6.10389e-09,4.29943,-3.04289e-08,4.0787,All,#4682B4,0
2,3,-0.282583,-0.0609599,-1.67335e-08,3.08794,-2.29629e-09,9.27444,All,#4682B4,0
3,3,0.0853663,0.328451,-3.58427e-08,5.14147,-1.02739e-07,3.03486,All,#4682B4,0
4,3,0.259801,-0.0649824,2.1417e-08,2.95741,-7.13395e-08,-1.82932,All,#4682B4,0
5,3,0.239729,0.0455349,-1.30497e-08,2.56905,1.70895e-08,2.26597,All,#4682B4,0
6,3,-0.0670146,-0.000625648,-1.39286e-09,3.27565,-9.22989e-08,5.94292,All,#4682B4,0
7,3,0.197907,-0.20302,1.02932e-08,1.08577,-1.03913e-08,2.00626,All,#4682B4,0
8,3,0.24999,-0.00656457,-8.38511e-10,-6.82711,4.26879e-09,3.99464,All,#4682B4,0
9,3,-0.0175423,0.057074,-6.52563e-09,5.15385,7.81945e-08,3.91063,All,#4682B4,0
10,3,0.157925,-0.0222397,-1.0455e-09,4.46349,-1.07522e-07,-0.61924,All,#4682B4,0
1,4,-0.168931,-0.104553,1.19966e-08,1.64088,-1.35262e-08,2.61172,All,#4682B4,0
2,4,-0.0579042,0.0182207,-1.98292e-09,3.07437,3.25531e-08,3.34281,All,#4682B4,0
3,4,-0.166329,-0.457616,-9.30935e-09,2.73752,3.81327e-09,2.56786,All,#4682B4,0
4,4,-0.164771,-0.184226,-3.96419e-08,-4.93473,-1.11924e-08,3.02776,All,#4682B4,0
5,4,-0.177138,-0.168261,-2.23751e-08,-2.00546,1.19701e-07,3.05565,All,#4682B4,0
6,4,-0.438762,0.0592344,2.0439e-08,5.2347,1.79344e-08,0.216466,All,#4682B4,0
7,4,-0.16475,-0.177057,2.48803e-08,2.65029,-1.51637e-08,3.19215,All,#4682B4,0
8,4,-0.0422058,-0.0605342,1.36139e-08,0.815088,1.25141e-07,1.96215,All,#4682B4,0
9,4,-0.21889,-0.146209,8.51364e-09,3.00923,3.14865e-08,4.49181,All,#4682B4,0
10,4,-0.0316586,0.0457808,-1.92039e-08,2.79935,-3.00586e-08,3.46135,All,#4682B4,0
1,5,-0.0121518,-0.385553,6.61221e-09,3.96969,-9.77195e-08,0.191387,All,#4682B4,0
2,5,0.105308,-0.0559588,3.92132e-09,2.81586,2.90355e-08,1.6076,All,#4682B4,0
3,5,0.120791,0.228864,-2.63303e-09,3.70505,-2.66311e-09,-1.89016,All,#4682B4,0
4,5,0.114771,0.0978668,-3.33202e-08,2.9001,4.38152e-08,-1.23393,All,#4682B4,0
5,5,0.0337614,0.0594921,4.32146e-08,3.37575,6.66041e-08,-6.91139,All,#4682B4,0
6,5,-0.19386,0.211184,-2.3002e-08,4.95795,4.22352e-08,4.31749,All,#4682B4,0
7,5,0.055575,0.0729193,-3.51689e-08,4.09786,7.41754e-08,-1.36093,All,#4682B4,0
8,5,0.103331,-0.0340373,9.71687e-09,3.56353,-4.87188e-08,0.922707,All,#4682B4,0
9,5,0.0790576,0.0164095,3.84183e-08,2.21783,1.04154e-07,-1.45303,All,#4682B4,0
10,5,0.0381806,0.0144555,-1.01298e-08,4.33238,6.55312e-09,0.22979,All,#4682B4,0
1,6,0.220361,0.188774,-1.33649e-08,2.35,-5.11203e-08,2.62955,All,#4682B4,0
2,6,-0.124786,0.305582,-6.42077e-09,5.44646,-1.12631e-08,-0.22099,All,#4682B4,0
3,6,-0.0670677,0.303621,5.28448e-09,5.38798,-6.22685e-08,-4.16492,All,#4682B4,0
4,6,0.171838,0.288425,-1.45766e-08,-0.57716,2.00449e-08,-2.66264,All,#4682B4,0
5,6,0.302126,0.248343,1.2677e-08,-4.19689,-8.06787e-08,2.90975,All,#4682B4,0
6,6,0.164447,0.319087,-2.7492e-08,-1.17493,-8.77874e-08,-2.28879,All,#4682B4,0
7,6,0.213588,0.285735,1.07791e-08,4.27784,-1.40852e-07,-2.64024,All,#4682B4,0
