Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,split
1.92047,0.000402317,4.70604e-05,7.89644,0.000187411,0.000104796,All
2.0398,0.000937261,0.000123216,8.45033,0.000417889,0.00026548,All
2.15914,0.00197456,0.000290619,9.00422,0.000839546,0.000602911,All
2.27847,0.00381326,0.000626245,9.55811,0.00154347,0.00124757,All
2.3978,0.00682666,0.00124736,10.112,0.00262956,0.00238331,All
2.51713,0.011436,0.00231898,10.6659,0.00419443,0.00424904,All
2.63646,0.0180684,0.00405724,11.2198,0.00631781,0.0071331,All
2.75579,0.0271046,0.00672698,11.7737,0.00905008,0.0113604,All
2.87512,0.0388264,0.0106331,12.3276,0.0124031,0.0172735,All
2.99445,0.0533706,0.0161059,12.8814,0.0163459,0.0252095,All
3.11378,0.0706987,0.0234816,13.4353,0.0208051,0.0354767,All
3.23312,0.0905851,0.033081,13.9892,0.0256706,0.0483321,All
3.35245,0.112626,0.0451868,14.5431,0.0308039,0.0639635,All
3.47178,0.136266,0.0600243,15.097,0.0360496,0.0824767,All
3.59111,0.160836,0.0777454,15.6509,0.041246,0.103889,All
3.71044,0.185604,0.0984177,16.2048,0.0462365,0.12813,All
3.82977,0.209822,0.12202,16.7587,0.0508783,0.155045,All
3.9491,0.232774,0.148444,17.3126,0.0550495,0.184405,All
4.06843,0.253814,0.177498,17.8664,0.0586535,0.215922,All
4.18776,0.272398,0.208922,18.4203,0.0616212,0.249262,All
4.3071,0.288103,0.242395,18.9742,0.0639115,0.28406,All
4.42643,0.300637,0.277555,19.5281,0.065509,0.319934,All
4.54576,0.309838,0.314013,20.082,0.0664221,0.356502,All
4.66509,0.315668,0.351367,20.6359,0.0666788,0.393393,All
4.78442,0.318198,0.389219,21.1898,0.0663233,0.430255,All
4.90375,0.317594,0.427184,21.7437,0.0654115,0.466762,All
5.02308,0.314094,0.464902,22.2976,0.0640076,0.502625,All
5.14241,0.307995,0.502043,22.8514,0.06218,0.53759,All
