Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,split
1.92047,0,7.89644,0,All
2.60288,0.0714286,12.2869,0.0714286,All
3.58992,0.142857,17.7235,0.142857,All
4.43859,0.214286,18.8524,0.214286,All
4.74598,0.285714,18.9294,0.285714,All
4.80241,0.357143,21.2699,0.357143,All
5.19006,0.428571,22.0984,0.428571,All
5.21532,0.5,23.2495,0.5,All
5.69764,0.571429,24.1748,0.571429,All
5.94145,0.642857,24.559,0.642857,All
6.21099,0.714286,24.79,0.714286,All
6.28596,0.785714,25.1613,0.785714,All
6.40833,0.857143,25.6022,0.857143,All
6.43159,0.928571,26.9533,0.928571,All
6.43656,1,37.4857,1,All
13.7343,1,62.7314,1,All
