iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q2_pop,V2_pop,Q3_pop,V3_pop,omega_Cl,omega_V1,omega_Q2,omega_V2,omega_Q3,omega_V3,a
1,1202.51,1,4.79,19.73,5.28,14.34,0.0032,22.43,1.5,1.5,1,1.5,1,1,3.3422
2,1192.53,1,3.27952,26.6051,4.40041,21.8815,0.00266795,21.4686,1.46202,1.46202,0.974679,1.46202,1.05589,1.11952,3.25757
3,1189.94,1,3.16445,27.488,4.59954,21.0028,0.00300623,23.0792,1.425,1.51341,1.0878,1.425,1.02915,1.09117,3.17509
4,1183.93,1,3.03354,35.0626,5.74353,30.532,0.00301735,17.6353,1.38892,1.47509,1.06025,1.50382,1.0031,1.06354,3.09469
5,1180.68,1,3.06071,38.1891,5.11684,34.5865,0.00283173,19.7188,1.35375,1.43774,1.10467,1.46574,0.977697,1.05888,3.01633
6,1166.62,1,2.87685,48.9634,5.24097,37.4048,0.00250225,14.9989,1.31947,1.40133,1.11256,1.42863,0.952941,1.19607,2.93996
7,1157.59,1,2.71373,63.2886,5.30306,39.4569,0.00204823,14.0673,1.28606,1.36585,1.08438,1.39245,0.928812,1.16578,2.86552
8,1151.75,1,2.3282,70.9184,4.88464,49.1473,0.00203567,11.7118,1.2535,1.33127,1.05693,1.44907,0.905294,1.13626,2.79296
9,1152.73,1,2.32992,65.0348,6.79645,73.1972,0.00182156,13.6457,1.22176,1.29756,1.17908,1.41238,0.882371,1.10749,2.72224
10,1140.95,1,3.05659,71.938,5.31361,61.7677,0.00155426,12.9655,1.19082,1.2647,1.14923,1.41849,0.911601,1.12554,2.65331
11,1141.48,1,3.2538,65.8603,6.7656,55.7673,0.00115723,13.5253,1.16067,1.23268,1.12013,1.51042,0.888519,1.09704,2.58613
12,1141.54,1,3.23246,70.6959,7.32106,54.312,0.00131683,15.3421,1.13128,1.20147,1.17518,1.68697,0.866021,1.12019,2.52065
13,1130.84,1,2.57856,58.7406,8.52678,89.6769,0.00129148,19.4814,1.10264,1.17946,1.18158,1.64425,0.844093,1.27004,2.45682
14,1131.13,1,2.19332,67.5629,8.23288,76.929,0.00113996,21.6686,1.07472,1.1496,1.23425,1.66084,0.82272,1.38662,2.39461
15,1115.09,1,2.61743,58.4865,7.28373,97.3465,0.00122725,22.1738,1.04751,1.12049,1.203,1.61879,0.805348,1.35151,2.33398
16,1107.13,1,2.63936,58.2968,8.49611,115.4,0.00115715,23.8304,1.02098,1.09212,1.19823,1.5778,0.784956,1.31729,2.27488
17,1116.3,1,2.44866,59.4516,8.75395,91.295,0.00118625,23.3308,0.995131,1.06446,1.27843,1.53785,0.786724,1.28837,2.21728
18,1105.2,1,3.4942,70.4733,10.7437,66.9171,0.00137427,24.5084,0.969933,1.04129,1.24918,1.75547,0.766804,1.25574,2.16114
19,1089.27,1,3.69567,66.3969,9.75475,59.0035,0.00128487,23.4971,0.945374,1.01493,1.21755,1.71102,0.779596,1.22395,2.10642
20,1093.15,1,3.24593,73.4309,10.0643,56.9925,0.00131696,18.7906,0.921437,0.98923,1.4014,1.6677,0.759856,1.30373,2.05308
21,1086.62,1,3.26637,59.3746,9.08773,115.958,0.00136217,16.0565,0.898105,0.964182,1.36592,1.62547,0.792474,1.46763,2.0011
22,1089.13,1,3.19873,52.3573,10.0472,95.904,0.00116351,18.533,0.875365,0.974279,1.33133,1.58432,0.772408,1.63052,1.95043
23,1080.22,1,3.40381,51.0127,11.2416,149.71,0.00118456,22.7106,0.8532,0.94961,1.33822,1.5442,0.75285,1.58924,1.90104
24,1071.97,1,3.14764,47.5821,9.35109,128.539,0.00101237,30.5137,0.831597,0.925565,1.30434,1.51489,0.735084,1.549,1.85291
25,1066.52,1,3.3072,64.9512,10.5019,108.883,0.00100016,26.1362,0.81054,0.902129,1.27131,1.47653,0.847869,1.58227,1.80599
26,1071.99,1,2.87932,55.8603,9.26893,87.4991,0.00118191,28.7704,0.819753,0.879287,1.24147,1.43914,0.99817,1.70375,1.76026
27,1064.58,1,3.41224,48.9848,7.52586,114.737,0.000966685,35.0082,0.798996,0.941659,1.21003,1.47222,1.0722,1.66061,1.71569
28,1048.94,1,3.93306,46.4744,7.30963,100.121,0.00096272,22.4388,0.778765,0.917815,1.26499,1.43495,1.1043,1.61856,1.67225
29,1045.65,1,3.74158,44.8244,8.27992,153.517,0.00116007,22.541,0.759046,0.894576,1.23296,1.39861,1.16531,1.67825,1.62991
30,1053.04,1,3.37817,44.1175,8.04348,130.714,0.000942865,17.8493,0.739827,0.893985,1.32858,1.39032,1.1358,1.72418,1.58864
31,1040.76,1,3.55948,50.8949,8.96262,135.531,0.000881535,15.5371,0.721094,0.871349,1.29933,1.35512,1.12934,1.75137,1.54841
32,1049.1,1,3.52415,53.488,8.22393,138.933,0.000739829,20.7676,0.702835,0.849286,1.45269,1.32081,1.17322,1.93453,1.5092
33,1037.06,1,3.86784,50.0209,9.52197,132.25,0.000625098,15.7464,0.685039,0.866755,1.41591,1.28736,1.20207,1.88555,1.47099
34,1036.07,1,3.38783,49.2224,10.8583,147.298,0.00068492,14.8633,0.667694,0.86512,1.38006,1.25476,1.17163,2.34202,1.43374
35,1034.69,1,3.51093,56.0312,8.81351,148.436,0.000850409,15.4678,0.650787,0.843215,1.40605,1.22299,1.26533,2.28272,1.39744
36,1019.84,1,3.89445,58.1984,10.3729,139.279,0.000750732,14.6482,0.634309,0.821864,1.37045,1.22208,1.24198,2.22492,1.36206
37,1018.89,1,3.50013,48.4337,10.8421,140.337,0.000552003,19.8324,0.618248,0.801054,1.33574,1.32264,1.2798,2.18026,1.32757
38,1006.08,1,3.46064,53.1459,11.6126,161.895,0.000750465,15.578,0.602594,0.780771,1.30192,1.28915,1.45338,2.12506,1.29395
39,1024.03,1,3.91173,52.4545,10.2305,143.973,0.000685949,12.7021,0.591323,0.761001,1.33735,1.3394,1.55906,2.2249,1.26119
40,998.313,1,4.05554,50.3066,11.7742,105.612,0.000637131,12.3013,0.57635,0.795428,1.30349,1.30549,1.51959,2.16857,1.22926
41,998.987,1,4.09145,44.0338,7.96253,117.429,0.000564695,12.1585,0.561757,0.775288,1.27048,1.27243,1.55889,2.1466,1.19813
42,986.166,1,4.31747,39.7993,7.99017,134.546,0.000465068,20.9823,0.547533,0.755657,1.23831,1.24021,1.71292,2.09225,1.16779
43,978.173,1,4.23227,36.364,6.543,181.558,0.00034249,23.6956,0.533669,0.736523,1.21076,1.20881,1.66955,2.42756,1.13822
44,987.063,1,4.11908,31.5447,7.34416,185.268,0.000434066,20.698,0.520156,0.717874,1.41059,1.1782,1.65097,2.38034,1.1094
