time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
1.284,0.0104167,0,0,0.011236,All
1.69113,0.0104167,0,0,0.021978,All
2.09826,0.0104167,0,0,0.023953,All
2.50539,0.0104167,0.010989,0,0.0357143,All
2.91253,0.0208333,0.021391,0,0.0549451,All
3.31966,0.0208333,0.0227273,0,0.0681818,All
3.72679,0.03125,0.0352941,0,0.0874343,All
4.13392,0.03125,0.0537634,0.010989,0.108696,All
4.54105,0.0520833,0.0659341,0.0217391,0.125,All
4.94818,0.0625,0.0795455,0.0324334,0.146067,All
5.35531,0.0729167,0.1,0.0432445,0.166667,All
5.76244,0.0833333,0.117647,0.0574789,0.186813,All
6.16958,0.09375,0.136364,0.0697674,0.206522,All
6.57671,0.104167,0.157303,0.0879121,0.22822,All
6.98384,0.114583,0.177778,0.104651,0.255556,All
7.39097,0.145833,0.195652,0.119565,0.272727,All
7.7981,0.177083,0.215909,0.138114,0.295455,All
8.20523,0.177083,0.236559,0.157303,0.313953,All
8.61236,0.1875,0.255556,0.172414,0.333333,All
9.01949,0.229167,0.275862,0.191011,0.355556,All
9.42663,0.229167,0.295455,0.211111,0.375,All
9.83376,0.239583,0.314607,0.229515,0.394304,All
10.2409,0.291667,0.333333,0.247191,0.414762,All
10.648,0.322917,0.352273,0.265517,0.432576,All
11.0552,0.322917,0.370787,0.286474,0.449438,All
11.4623,0.333333,0.387097,0.306818,0.466667,All
11.8694,0.354167,0.404628,0.322222,0.483146,All
12.2765,0.385417,0.422222,0.337144,0.502688,All
12.6837,0.395833,0.44086,0.351961,0.521981,All
13.0908,0.427083,0.456522,0.368432,0.538462,All
13.4979,0.427083,0.472527,0.387993,0.550006,All
13.9051,0.4375,0.488889,0.402236,0.565217,All
14.3122,0.447917,0.5,0.419355,0.581395,All
14.7193,0.46875,0.516854,0.43617,0.595372,All
15.1265,0.479167,0.533333,0.454017,0.611111,All
15.5336,0.5,0.547449,0.468085,0.62069,All
15.9407,0.510417,0.56044,0.478723,0.634314,All
16.3479,0.520833,0.576087,0.494565,0.648352,All
16.755,0.572917,0.588889,0.505495,0.659091,All
17.1621,0.59375,0.601075,0.522222,0.674035,All
17.5693,0.625,0.613636,0.533712,0.684783,All
17.9764,0.625,0.626374,0.549451,0.696141,All
18.3835,0.635417,0.640449,0.56044,0.707865,All
18.7906,0.666667,0.652174,0.577778,0.719101,All
19.1978,0.6875,0.662921,0.588889,0.73187,All
19.6049,0.708333,0.674157,0.601075,0.738636,All
20.012,0.71875,0.685393,0.609861,0.75,All
20.4192,0.71875,0.696629,0.624328,0.761905,All
20.8263,0.71875,0.707865,0.633333,0.772727,All
21.2334,0.71875,0.719101,0.648936,0.781609,All
21.6406,0.729167,0.728261,0.659574,0.789793,All
22.0477,0.739583,0.738636,0.67033,0.802198,All
22.4548,0.739583,0.747253,0.681319,0.811111,All
22.862,0.760417,0.755556,0.688889,0.820225,All
23.2691,0.770833,0.766667,0.702712,0.830435,All
23.6762,0.78125,0.775281,0.711111,0.839753,All
24.0834,0.78125,0.784091,0.719101,0.844444,All
24.4905,0.78125,0.793103,0.728261,0.853103,All
24.8976,0.791667,0.802198,0.736264,0.860215,All
25.3047,0.802083,0.811111,0.74719,0.866667,All
25.7119,0.802083,0.818665,0.752688,0.875,All
26.119,0.8125,0.825581,0.762402,0.882979,All
26.5261,0.822917,0.833333,0.772233,0.888889,All
26.9333,0.822917,0.840426,0.78022,0.895349,All
27.3404,0.84375,0.847059,0.789181,0.9,All
27.7475,0.854167,0.855556,0.796726,0.906977,All
28.1547,0.864583,0.862069,0.804348,0.912088,All
28.5618,0.875,0.868132,0.81005,0.920455,All
28.9689,0.875,0.875,0.817204,0.923077,All
29.3761,0.875,0.880435,0.823853,0.931426,All
29.7832,0.885417,0.88764,0.831461,0.933333,All
30.1903,0.916667,0.891304,0.83871,0.94186,All
30.5975,0.916667,0.898876,0.844444,0.94382,All
31.0046,0.916667,0.902174,0.853933,0.945055,All
31.4117,0.9375,0.910112,0.858696,0.954545,All
31.8188,0.9375,0.912088,0.868132,0.955556,All
32.226,0.9375,0.920455,0.871654,0.956522,All
32.6331,0.9375,0.922222,0.879121,0.965909,All
33.0402,0.947917,0.930634,0.886364,0.966667,All
33.4474,0.947917,0.933333,0.888889,0.967212,All
33.8545,0.958333,0.93617,0.894733,0.976744,All
34.2616,0.958333,0.94382,0.901099,0.977653,All
34.6688,0.958333,0.945055,0.908034,0.977778,All
35.0759,0.96875,0.953756,0.913043,0.978261,All
35.483,0.96875,0.955556,0.918605,0.978495,All
35.8902,0.96875,0.956522,0.922222,0.988764,All
36.2973,0.96875,0.965909,0.925532,0.989011,All
36.7044,0.96875,0.966667,0.932959,0.98913,All
37.1116,0.96875,0.967391,0.934066,0.989247,All
37.5187,0.96875,0.977011,0.94382,1,All
37.9258,0.979167,0.977528,0.945055,1,All
38.3329,0.979167,0.978022,0.952381,1,All
38.7401,0.979167,0.978495,0.955056,1,All
39.1472,0.979167,0.988636,0.956522,1,All
39.5543,0.979167,0.988889,0.966292,1,All
39.9615,0.979167,0.989011,0.967742,1,All
40.3686,0.989583,0.994737,0.977528,1,All
40.7757,0.989583,1,0.978261,1,All
41.1829,0.989583,1,0.988636,1,All
41.59,1,1,1,1,All
