simulations,OFV
500,939.173
1000,940.119
1500,939.328
2000,938.13
2500,939.456
3000,939.989
3500,939.809
4000,940.019
4500,940.377
5000,939.679
5500,939.828
6000,940.058
6500,939.481
7000,939.209
7500,939.499
8000,939.641
8500,939.958
9000,939.873
9500,939.743
10000,939.123
10500,938.924
11000,939.135
11500,939.138
12000,938.609
12500,938.215
13000,938.282
13500,938.296
14000,938.387
14500,938.306
15000,938.354
15500,938.445
16000,938.437
16500,938.275
17000,938.412
17500,938.468
18000,938.478
18500,938.512
19000,938.543
19500,938.556
20000,938.531
20500,938.378
21000,938.308
21500,938.358
22000,938.468
22500,938.5
23000,938.427
23500,938.464
24000,938.508
24500,938.569
25000,938.634
25500,938.637
26000,938.539
26500,938.527
27000,938.557
27500,938.594
28000,938.681
28500,938.607
29000,938.697
29500,938.75
30000,938.825
