Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-0.222806,-0.0721392,-0.05705,-0.481289,-0.0521994,-0.0268181
-0.217972,-0.052864,-0.0557536,-0.4726,-0.0500878,-0.0264055
-0.213138,-0.0335888,-0.0544573,-0.463911,-0.0479762,-0.0259928
-0.208303,-0.0179045,-0.0531609,-0.455223,-0.0458647,-0.0255802
-0.203469,-0.00735272,-0.0518646,-0.446534,-0.0442088,-0.0251675
-0.198634,-0.00490862,-0.0505682,-0.437845,-0.042963,-0.0247549
-0.1938,-0.00246452,-0.0492718,-0.429156,-0.0419919,-0.0243422
-0.188966,-2.04162e-05,-0.0479755,-0.420467,-0.0412791,-0.0239296
-0.184131,0.00242369,-0.0466791,-0.411778,-0.0407255,-0.0235169
-0.179297,0.00486779,-0.0453828,-0.403089,-0.040378,-0.0231043
-0.174462,0.00731189,-0.0440864,-0.394401,-0.0403221,-0.0226916
-0.169628,0.00370311,-0.04279,-0.385712,-0.0403101,-0.022279
-0.164793,-0.00176532,-0.0414937,-0.377023,-0.0402982,-0.0218663
-0.159959,-0.00763654,-0.0401973,-0.368334,-0.0404578,-0.0214537
-0.155125,-0.0145548,-0.038901,-0.359645,-0.0407135,-0.021041
-0.15029,-0.0216781,-0.0376046,-0.350956,-0.0409773,-0.0206284
-0.145456,-0.0288603,-0.0363083,-0.342267,-0.0412411,-0.0202157
-0.140621,-0.0359342,-0.0350119,-0.333579,-0.0414933,-0.0198031
-0.135787,-0.0423601,-0.0337155,-0.32489,-0.0416278,-0.0193904
-0.130952,-0.0476701,-0.0324192,-0.316201,-0.0417623,-0.0189778
-0.126118,-0.0529802,-0.0311228,-0.307512,-0.0418968,-0.0185651
-0.121284,-0.0568966,-0.0298265,-0.298823,-0.0417175,-0.0181525
-0.116449,-0.0589487,-0.0285301,-0.290134,-0.0415152,-0.0177398
-0.111615,-0.0592282,-0.0272337,-0.281445,-0.0411192,-0.0173272
-0.10678,-0.0573705,-0.0259374,-0.272757,-0.0404045,-0.0169145
-0.101946,-0.0533571,-0.024641,-0.264068,-0.0396898,-0.0165019
-0.0971115,-0.0469899,-0.0233447,-0.255379,-0.0385013,-0.0160892
-0.0922771,-0.0379649,-0.0220483,-0.24669,-0.0369474,-0.0156766
-0.0874427,-0.0274898,-0.0207519,-0.238001,-0.0353935,-0.0152639
-0.0826083,-0.0167296,-0.0194556,-0.229312,-0.0337461,-0.0148513
-0.0777738,-0.00684455,-0.0181592,-0.220623,-0.0313702,-0.0144386
-0.0729394,-0.000241143,-0.0168629,-0.211935,-0.0287547,-0.014026
-0.068105,0.00636226,-0.0155665,-0.203246,-0.0258889,-0.0136133
-0.0632706,0.0129657,-0.0142701,-0.194557,-0.0228703,-0.0132007
-0.0584362,0.0151927,-0.0129738,-0.185868,-0.0198195,-0.012788
-0.0536017,0.0112056,-0.0116774,-0.177179,-0.0168162,-0.0123754
-0.0487673,0.00266606,-0.0103811,-0.16849,-0.0139581,-0.0119627
-0.0439329,-0.00827269,-0.00908471,-0.159801,-0.0114482,-0.0115501
-0.0390985,-0.0193838,-0.00778835,-0.151113,-0.00908618,-0.0111374
-0.0342641,-0.0290536,-0.006492,-0.142424,-0.00719449,-0.0107248
-0.0294296,-0.0352048,-0.00519564,-0.133735,-0.00587046,-0.0103121
-0.0245952,-0.0358208,-0.00389928,-0.125046,-0.00500225,-0.00989946
-0.0197608,-0.0321041,-0.00260292,-0.116357,-0.00444126,-0.00948681
-0.0149264,-0.0258979,-0.00130656,-0.107668,-0.00398707,-0.00907416
-0.010092,-0.0182729,-1.01999e-05,-0.0989794,-0.00346735,-0.0086615
-0.00525754,-0.0110313,0.00128616,-0.0902905,-0.00267625,-0.00824885
-0.000423123,-0.00549298,0.00258252,-0.0816017,-0.00143824,-0.0078362
0.0044113,-0.00167678,0.00387888,-0.0729128,0.000472817,-0.00742355
0.00924572,0.00100805,0.00517524,-0.0642239,0.00312967,-0.0070109
0.0140801,0.00326949,0.0064716,-0.0555351,0.00643179,-0.00659825
0.0189146,0.00571327,0.00776795,-0.0468462,0.0100939,-0.0061856
0.023749,0.00892731,0.00906431,-0.0381574,0.0138253,-0.00577295
0.0285834,0.0127017,0.0103607,-0.0294685,0.0173432,-0.0053603
0.0334178,0.0168347,0.011657,-0.0207797,0.0201828,-0.00494765
0.0382522,0.0210687,0.0129534,-0.0120908,0.0226759,-0.004535
0.0430867,0.0251342,0.0142497,-0.00340194,0.0239859,-0.00412235
0.0479211,0.0285365,0.0155461,0.00528692,0.0243466,-0.0037097
0.0527555,0.0315973,0.0168425,0.0139758,0.0239258,-0.00329705
0.0575899,0.0334776,0.0181388,0.0226646,0.0231155,-0.0028844
0.0624243,0.0346427,0.0194352,0.0313535,0.0217674,-0.00247175
0.0672588,0.0350304,0.0207315,0.0400424,0.0203867,-0.0020591
0.0720932,0.034987,0.0220279,0.0487312,0.01891,-0.00164645
0.0769276,0.0345486,0.0233243,0.0574201,0.0176024,-0.0012338
0.081762,0.0338473,0.0246206,0.0661089,0.0166979,-0.00082115
0.0865964,0.0331037,0.025917,0.0747978,0.0162133,-0.000408499
0.0914309,0.0325084,0.0272133,0.0834866,0.0164564,4.15085e-06
0.0962653,0.0319693,0.0285097,0.0921755,0.0173116,0.000416801
0.1011,0.0318837,0.0298061,0.100864,0.0184947,0.000829451
0.105934,0.0321947,0.0311024,0.109553,0.0199116,0.0012421
0.110769,0.0329952,0.0323988,0.118242,0.021304,0.00165475
0.115603,0.0340544,0.0336951,0.126931,0.0226038,0.0020674
0.120437,0.0351137,0.0349915,0.13562,0.0235005,0.00248005
0.125272,0.0364734,0.0362879,0.144309,0.0237193,0.0028927
0.130106,0.0381883,0.0375842,0.152997,0.0234269,0.00330535
0.134941,0.0400995,0.0388806,0.161686,0.0220813,0.003718
0.139775,0.042197,0.0401769,0.170375,0.0194811,0.00413065
0.144609,0.0442946,0.0414733,0.179064,0.0157292,0.0045433
0.149444,0.0464415,0.0427696,0.187753,0.0106955,0.00495595
0.154278,0.0487455,0.044066,0.196442,0.00451925,0.0053686
0.159113,0.0510664,0.0453624,0.205131,-0.00193901,0.00578125
0.163947,0.0533874,0.0466587,0.213819,-0.00875622,0.0061939
0.168782,0.0556393,0.0479551,0.222508,-0.0154086,0.00660656
0.173616,0.0572461,0.0492514,0.231197,-0.0213283,0.00701921
0.17845,0.0588529,0.0505478,0.239886,-0.0265561,0.00743186
0.183285,0.0604598,0.0518442,0.248575,-0.0306301,0.00784451
0.188119,0.0620666,0.0531405,0.257264,-0.0322797,0.00825716
0.192954,0.0636734,0.0544369,0.265953,-0.0330801,0.00866981
0.197788,0.0652802,0.0557332,0.274642,-0.031212,0.00908246
0.202623,0.066887,0.0570296,0.28333,-0.0274995,0.00949511
0.207457,0.0684939,0.058326,0.292019,-0.0224265,0.00990776
0.212291,0.0695338,0.0596223,0.300708,-0.0163048,0.0103204
0.217126,0.0685532,0.0609187,0.309397,-0.00988579,0.0107331
0.22196,0.0668565,0.062215,0.318086,-0.00304359,0.0111457
0.226795,0.0651598,0.0635114,0.326775,0.00369614,0.0115584
0.231629,0.0634631,0.0648078,0.335464,0.00910392,0.011971
0.236463,0.0617664,0.0661041,0.344152,0.0142854,0.0123837
0.241298,0.0600698,0.0674005,0.352841,0.0187954,0.0127963
0.246132,0.0583731,0.0686968,0.36153,0.0203773,0.013209
0.250967,0.0566764,0.0699932,0.370219,0.0216051,0.0136216
0.255801,0.0549797,0.0712895,0.378908,0.0194252,0.0140343
