iteration,E_fi,sd_fi,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,0.926471,0.076955,10.2969,0.0659352,47.4898,0.0994795,14.1369,7.40475e-08,71.1777,0.761268
2,0.92738,0.0649212,10.2935,0.0606546,47.3283,0.0855657,14.1369,6.07885e-08,71.6043,0.652879
3,0.929555,0.0647083,10.3008,0.0589278,47.4367,0.0883716,14.1369,5.46086e-08,71.0453,0.636712
4,0.928848,0.0625744,10.3139,0.0609965,47.4869,0.087147,14.1369,5.8212e-08,70.3897,0.642395
5,0.929344,0.0622984,10.3052,0.0627542,47.5145,0.0868166,14.1369,5.45215e-08,70.1029,0.645967
6,0.929081,0.0606419,10.2942,0.0638784,47.4937,0.085282,14.1369,5.09122e-08,69.8589,0.646988
7,0.928119,0.0601969,10.2849,0.0622489,47.4896,0.0854537,14.1369,4.78067e-08,70.5216,0.643086
8,0.927785,0.0604947,10.2854,0.0621214,47.4898,0.0865333,14.1369,5.10201e-08,70.4364,0.633049
9,0.927209,0.0597732,10.2907,0.062823,47.4164,0.0869049,14.1369,4.96524e-08,70.0161,0.626305
10,0.927785,0.0602615,10.2935,0.0628237,47.3624,0.0883523,14.1369,4.79663e-08,69.7224,0.623903
11,0.929259,0.0605227,10.3,0.0623057,47.409,0.0879281,14.1369,4.76968e-08,69.2405,0.618641
12,0.928992,0.060684,10.2978,0.0625666,47.4123,0.0878162,14.1369,4.868e-08,69.4504,0.620965
13,0.928609,0.0602667,10.2942,0.0625739,47.3376,0.0872097,14.1369,5.02189e-08,69.2674,0.62113
14,0.928515,0.0606711,10.2929,0.0624606,47.3166,0.0873019,14.1369,4.58317e-08,69.2426,0.623686
15,0.928805,0.0607685,10.2856,0.0626719,47.3263,0.0868947,14.1369,4.51904e-08,69.7816,0.626282
16,0.928881,0.0616305,10.2788,0.0641177,47.328,0.0867418,14.1369,5.12266e-08,70.0031,0.633766
17,0.92917,0.0627145,10.2721,0.0648741,47.3139,0.0862842,14.1369,5.23255e-08,69.7038,0.635004
18,0.928636,0.0624067,10.2748,0.0650685,47.2869,0.0857365,14.1369,5.58722e-08,69.3619,0.636007
19,0.928563,0.0626276,10.2771,0.0655189,47.2661,0.0863175,14.1369,5.37938e-08,68.8988,0.636011
20,0.928828,0.0623903,10.2767,0.0661302,47.2391,0.0865317,14.1369,5.46651e-08,68.5232,0.639293
21,0.928427,0.0620561,10.2717,0.0666038,47.2071,0.0876307,14.1369,4.94047e-08,68.466,0.640365
22,0.928017,0.0617004,10.2697,0.067306,47.1927,0.0879362,14.1369,5.00531e-08,68.264,0.637096
23,0.927935,0.0620777,10.2718,0.0673478,47.1724,0.0874183,14.1369,4.75275e-08,68.234,0.635598
24,0.927415,0.0625057,10.2689,0.0672417,47.1636,0.087578,14.1369,4.62132e-08,68.4842,0.637165
25,0.927573,0.0621155,10.2653,0.0679885,47.183,0.0879186,14.1369,4.70065e-08,69.1899,0.64256
26,0.927555,0.0620447,10.2623,0.0689121,47.1848,0.0880763,14.1369,5.06108e-08,69.5931,0.646851
27,0.927692,0.0624428,10.2593,0.0694641,47.1782,0.0883061,14.1369,4.51218e-08,69.6075,0.650109
28,0.927396,0.0627008,10.2547,0.0705294,47.2112,0.0888932,14.1369,4.81251e-08,69.7301,0.650322
29,0.927038,0.0631427,10.2534,0.0707624,47.2116,0.0889168,14.1369,5.41416e-08,69.5973,0.651892
30,0.926902,0.0634307,10.2577,0.0707087,47.2111,0.0888182,14.1369,5.06758e-08,69.4131,0.651572
31,0.926981,0.0635462,10.257,0.0709835,47.2275,0.0888909,14.1369,5.31875e-08,69.3825,0.651197
32,0.927187,0.0635607,10.2568,0.0712574,47.2307,0.0890078,14.1369,5.6992e-08,69.6395,0.653844
33,0.9273,0.0637253,10.2566,0.0709524,47.2421,0.0889578,14.1369,5.65318e-08,69.3972,0.651465
34,0.927317,0.0634875,10.2581,0.0706396,47.2527,0.0887351,14.1369,5.86518e-08,69.2581,0.652511
35,0.927637,0.0634678,10.2594,0.0704205,47.2608,0.0885493,14.1369,6.10166e-08,69.0166,0.652125
36,0.927702,0.0631813,10.2599,0.070261,47.2837,0.0885408,14.1369,5.79955e-08,68.8054,0.650652
37,0.928011,0.0629169,10.2599,0.0701386,47.3047,0.0887053,14.1369,6.08412e-08,68.8012,0.649754
38,0.928021,0.0628275,10.2617,0.0699669,47.3299,0.0887178,14.1369,5.93468e-08,68.5713,0.648799
39,0.928089,0.0627278,10.2606,0.0694627,47.3713,0.0894133,14.1369,5.92219e-08,68.405,0.646239
40,0.928072,0.06267,10.2614,0.0693762,47.3839,0.089486,14.1369,5.89469e-08,68.4152,0.645907
41,0.928057,0.0624404,10.2595,0.0694789,47.3825,0.0897229,14.1369,5.88094e-08,68.6085,0.647586
42,0.928095,0.0623692,10.2579,0.0695977,47.3859,0.0898016,14.1369,6.00249e-08,68.7461,0.64827
43,0.928184,0.062113,10.2561,0.0695515,47.3979,0.0896695,14.1369,6.40144e-08,68.7625,0.647837
