fi_abscissa,fi_pdf,Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
0.483819,0.480836,4.9841,0.0886946,36.7386,0.00686913,4.39261,0.0351897,24.4911,0.00774106,All
0.564284,0.480836,5.76929,0.0197099,38.9916,0.0274765,11.6492,0.0703795,65.4754,0.00944032,All
0.644749,0,6.55449,0.0295649,41.2446,0.0652567,18.9058,0.0255925,106.46,0.00434254,All
0.725214,1.15401,7.33969,0.0689847,43.4976,0.106472,26.1623,0.00853085,147.444,0.00226568,All
0.805679,2.11568,8.12489,0.00985496,45.7506,0.0652567,33.4189,0.00106636,188.428,0.000755225,All
0.886144,1.63484,8.91009,0.157679,48.0037,0.0892987,40.6755,0.00213271,229.413,0.000377613,All
0.966609,1.44251,9.69529,0.216809,50.2567,0.0480839,47.9321,0.00319907,270.397,0.000566419,All
1.04707,1.63484,10.4805,0.206954,52.5097,0.0515185,55.1887,0.00106636,311.381,0.000377613,All
1.12754,1.73101,11.2657,0.118259,54.7627,0.00343457,62.4452,0.00106636,352.366,0.000188806,All
1.208,1.63484,12.0509,0.236519,57.0157,0.00343457,69.7018,0,393.35,0,All
1.28847,0.769338,12.8361,0.167534,59.2687,0.00686913,76.9584,0,434.334,0,All
1.36893,0.384669,13.6213,0.0591297,61.5217,0.00686913,84.215,0.00106636,475.318,0.000377613,All
