Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
1.83485,0.00053432,6.29761e-05,8.28517,8.20237e-05,4.02586e-05,1.2008,0.0171826,0.003701,6.62602,0.00544163,0.00929533,All
1.95378,0.00122521,0.000162888,8.78886,0.000192709,0.000106107,1.40232,0.030649,0.00845807,8.86705,0.0100073,0.0265866,All
2.07271,0.00253753,0.000378925,9.29255,0.000409681,0.000252126,1.60383,0.0472629,0.0162658,11.1081,0.0142032,0.0538551,All
2.19164,0.00481479,0.000804627,9.79624,0.000798593,0.000547576,1.80535,0.0657195,0.0276303,13.3491,0.0174768,0.0895465,All
2.31057,0.00846804,0.00157868,10.2999,0.00144316,0.00109946,2.00686,0.0846727,0.0427857,15.5901,0.0197138,0.131408,All
2.4295,0.013939,0.00289092,10.8036,0.00244012,0.00206053,2.20838,0.102957,0.0617104,17.8312,0.0210128,0.177203,All
2.54843,0.0216491,0.00498308,11.3073,0.00389037,0.00363374,2.40989,0.119688,0.0841756,20.0722,0.0215478,0.225018,All
2.66736,0.031943,0.00814299,11.811,0.00588739,0.00607152,2.61141,0.134276,0.109804,22.3132,0.0215004,0.273347,All
2.78629,0.0450361,0.0126922,12.3147,0.00850479,0.00966891,2.81292,0.146395,0.138127,24.5543,0.0210316,0.32107,All
2.90522,0.0609754,0.0189684,12.8184,0.011785,0.0147506,3.01444,0.155934,0.168632,26.7953,0.0202729,0.367396,All
3.02415,0.0796187,0.0273033,13.3221,0.0157312,0.021653,3.21595,0.162938,0.200802,29.0363,0.0193268,0.411795,All
3.14308,0.100636,0.0380008,13.8258,0.0203025,0.0307031,3.41747,0.167559,0.234141,31.2774,0.0182707,0.453938,All
3.26201,0.123528,0.0513151,14.3295,0.0254154,0.0421965,3.61899,0.170019,0.268189,33.5184,0.0171615,0.493646,All
3.38094,0.147667,0.0674329,14.8331,0.0309481,0.0563767,3.8205,0.170573,0.302536,35.7594,0.0160399,0.530848,All
3.49987,0.172339,0.0864605,15.3368,0.036749,0.0734181,4.02202,0.169489,0.336825,38.0005,0.0149344,0.56555,All
3.6188,0.196795,0.108417,15.8405,0.0426476,0.0934134,4.22353,0.16703,0.370753,40.2415,0.0138643,0.597812,All
3.73773,0.220303,0.133233,16.3442,0.0484661,0.116367,4.42505,0.163447,0.404068,42.4825,0.0128419,0.627727,All
3.85666,0.242185,0.160754,16.8479,0.0540306,0.142194,4.62656,0.158966,0.436566,44.7236,0.0118746,0.655411,All
3.97559,0.261859,0.190751,17.3516,0.0591814,0.170727,4.82808,0.153791,0.468089,46.9646,0.0109662,0.680993,All
4.09452,0.278854,0.222933,17.8553,0.0637807,0.20172,5.02959,0.148103,0.498515,49.2056,0.0101181,0.704607,All
4.21345,0.292828,0.25696,18.359,0.0677182,0.234867,5.23111,0.142053,0.527755,51.4467,0.00932956,0.726388,All
4.33238,0.30357,0.292457,18.8627,0.0709144,0.269813,5.43263,0.135775,0.555751,53.6877,0.00859902,0.746466,All
4.45131,0.310993,0.329035,19.3664,0.0733212,0.306172,5.63414,0.129377,0.582468,55.9287,0.00792397,0.764971,All
4.57024,0.315126,0.366299,19.87,0.0749206,0.34354,5.83566,0.122949,0.607892,58.1698,0.00730146,0.782021,All
4.68917,0.316094,0.403865,20.3737,0.0757223,0.381511,6.03717,0.116566,0.632024,60.4108,0.00672827,0.797733,All
4.8081,0.314105,0.441368,20.8774,0.0757597,0.419693,6.23869,0.110285,0.654879,62.6518,0.00620112,0.812212,All
4.92703,0.309424,0.478472,21.3811,0.0750855,0.457711,6.4402,0.104153,0.676482,64.8929,0.00571671,0.825559,All
5.04596,0.302362,0.514874,21.8848,0.0737669,0.495224,6.64172,0.0982047,0.696868,67.1339,0.00527184,0.837865,All
5.16489,0.293251,0.550311,22.3885,0.0718815,0.531927,6.84323,0.0924661,0.716076,69.3749,0.00486344,0.849215,All
5.28383,0.282436,0.584559,22.8922,0.0695123,0.567555,7.04475,0.0869556,0.73415,71.616,0.0044886,0.859688,All
