iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1255.08,1,5.345,0.637,20.799,5.977,23.407,0.268,1.5,1.5,1.5,1.5,0.999,1.5,1.5
2,1245.16,1,3.57148,0,44.7168,4.87464,49.7722,0.268,1.46202,1.46202,1.75936,1.46202,0.999,1.46202,1.46202
3,1227.17,1,4.00012,0,52.2379,4.45497,58.8752,0.268,1.425,1.425,1.76449,1.425,0.999,1.425,1.425
4,1215.35,1,3.56373,0,70.3555,4.02034,78.477,0.268,1.38892,1.38892,1.71981,1.38892,0.999,1.38892,1.38892
5,1196.59,1,4.06157,0,76.157,3.75997,85.5661,0.268,1.35375,1.35375,1.67626,1.35375,0.999,1.35375,1.35375
6,1194.77,1,3.26457,0,83.4778,3.32092,94.9223,0.268,1.31947,1.31947,1.63382,1.31947,0.999,1.31947,1.31947
7,1184.71,1,3.4507,0,70.6199,2.82539,80.3899,0.268,1.28606,1.28606,1.63466,1.28606,0.999,1.28606,1.28606
8,1164.25,1,3.54289,0,71.7948,3.10313,82.362,0.268,1.2535,1.2535,1.59327,1.2535,0.999,1.2535,1.2535
9,1160.2,1,3.58518,0,54.24,2.81976,62.2395,0.268,1.22176,1.22176,1.57985,1.22176,0.999,1.22176,1.22176
10,1138.01,1,3.82736,0,50.7689,2.23272,58.1571,0.268,1.19082,1.19082,1.53985,1.19082,0.999,1.19082,1.19082
11,1126.79,1,4.41812,0,57.723,2.2074,66.7363,0.268,1.16067,1.16067,1.50086,1.16067,0.999,1.16067,1.16067
12,1119.8,1,3.85319,0,59.6752,2.51051,69.863,0.268,1.13128,1.13128,1.46285,1.13128,0.999,1.13128,1.13128
13,1116.35,1,4.41409,0,61.4124,2.71631,72.8735,0.268,1.10264,1.10264,1.42581,1.10264,0.999,1.10264,1.10264
14,1102.26,1,4.01254,0,54.592,1.90019,64.7994,0.268,1.07472,1.07472,1.42211,1.07472,0.999,1.07472,1.07472
15,1081.19,1,4.4304,0,52.5451,2.15803,62.3244,0.268,1.04751,1.04751,1.3861,1.04751,0.999,1.04751,1.04751
16,1074.49,1,4.70725,0,63.5408,1.83795,75.8257,0.268,1.02098,1.02098,1.351,1.02098,0.999,1.02098,1.02098
17,1065.96,1,4.30353,0,55.0368,2.44169,66.1837,0.268,0.995131,0.995131,1.33137,0.995131,0.999,0.995131,0.995131
18,1052.58,1,4.72892,0,51.981,3.15825,63.1496,0.268,0.969933,0.969933,1.35394,0.969933,0.999,0.969933,0.969933
19,1045.97,1,4.96865,0,45.6822,2.53771,55.1962,0.268,0.945374,0.945374,1.31965,0.945374,0.999,0.945374,0.945374
20,1032.53,1,5.26281,0,42.0522,2.74519,51.0821,0.268,0.921437,0.921437,1.43727,0.921437,0.999,0.921437,0.921437
21,1019.94,1,5.08621,0,45.4076,2.89534,54.6457,0.268,0.898105,0.898105,1.43581,0.898105,0.999,0.898105,0.898105
22,995.593,1,4.69994,0,44.6191,3.53678,54.163,0.268,0.875365,0.875365,1.39946,0.875365,0.999,0.875365,0.875365
23,999.916,1,4.43827,0,36.0677,3.33498,43.7624,0.268,0.8532,0.8532,1.39797,0.8532,0.999,0.8532,0.8532
24,969.359,1,5.08987,0,34.6416,2.43202,42.1231,0.268,0.831597,0.831597,1.39566,0.831597,0.999,0.831597,0.831597
25,959.006,1,5.43573,0,33.0831,2.66842,40.123,0.268,0.81054,0.81054,1.42616,0.81054,0.999,0.81054,0.81054
26,953.986,1,5.41955,0,35.708,3.65837,43.3165,0.268,0.790017,0.790017,1.43908,0.790017,0.999,0.790017,0.790017
27,942.806,1,5.17429,0,33.0932,3.72646,39.9628,0.268,0.770013,0.770013,1.40264,0.770013,0.999,0.770013,0.770013
28,928.174,1,5.23483,-0.047378,30.2864,4.95597,36.6785,0.268,0.750516,0.750516,1.40951,0.750516,0.999,0.750516,0.750516
29,917.874,1,5.16522,-0.0469948,32.6496,4.38043,39.4192,0.268,0.731512,0.731512,1.37382,0.731512,0.999,0.731512,0.731512
30,900.355,1,5.20039,-0.047189,29.4476,3.53614,35.5406,0.268,0.71299,0.71299,1.33904,0.71299,0.999,0.71299,0.71299
31,895.113,1,5.16906,-0.047016,26.7448,3.23182,32.4692,0.268,0.694937,0.694937,1.30513,0.694937,0.999,0.694937,0.694937
