time,..2.5.,..50....3,..50....4,..97.5.
72,2,10.2,10.2,27.9
72.121212,3.3,10.9,10.9,28.7
72.242424,4.4,11.7,11.7,29.5
72.363636,5.4,12.5,12.5,30.3
72.484848,6.3,13.5,13.5,31.2
72.606061,7.2,14.4,14.4,32.1
72.727273,8.2,15.6,15.6,33
72.848485,9.3,16.8,16.8,33.8
72.969697,10.2,17.7,17.7,34.7
73.090909,11.1,18.6,18.6,35.6
73.212121,11.7,19.6,19.6,36.4
73.333333,12.3,20.4,20.4,37.3
73.454545,12.9,21.3,21.3,38.1
73.575758,13.5,22.3,22.3,39
73.69697,14.1,23.3,23.3,39.9
73.818182,14.7,24.2,24.2,40.7
73.939394,15.2,25.1,25.1,41.6
74.060606,15.4,25.4,25.4,41.9
74.181818,15.2,25,25,41.7
74.30303,15,24.6,24.6,41.5
74.424242,14.8,24.3,24.3,41.3
74.545455,14.6,24,24,41.1
74.666667,14.4,23.6,23.6,40.9
74.787879,14,23.4,23.4,40.7
74.909091,13.6,23.1,23.1,40.5
75.030303,13.2,22.8,22.8,40.3
75.151515,12.7,22.6,22.6,40.1
75.272727,12.3,22.3,22.3,39.9
75.393939,12.1,22.1,22.1,39.7
75.515152,11.8,21.8,21.8,39.5
75.636364,11.6,21.6,21.6,39.3
75.757576,11.4,21.4,21.4,39.1
75.878788,11.2,21.2,21.2,38.9
76,11,20.9,20.9,38.7
76.121212,10.7,20.7,20.7,38.6
76.242424,10.5,20.5,20.5,38.4
76.363636,10.3,20.2,20.2,38.2
76.484848,10.1,20,20,38
76.606061,9.9,19.8,19.8,37.8
76.727273,9.6,19.5,19.5,37.7
76.848485,9.4,19.3,19.3,37.5
76.969697,9.2,19,19,37.3
77.090909,8.9,18.7,18.7,37.1
77.212121,8.7,18.4,18.4,36.9
77.333333,8.5,18.2,18.2,36.8
77.454545,8.3,17.9,17.9,36.6
77.575758,8.1,17.6,17.6,36.4
77.69697,7.9,17.4,17.4,36.3
77.818182,7.7,17.2,17.2,36.1
77.939394,7.6,17,17,35.9
78.060606,7.4,16.7,16.7,35.7
78.181818,7.2,16.5,16.5,35.6
78.30303,7,16.3,16.3,35.4
78.424242,6.9,16.2,16.2,35.2
78.545455,6.7,16,16,35.1
78.666667,6.5,15.8,15.8,34.9
78.787879,6.4,15.6,15.6,34.7
78.909091,6.2,15.5,15.5,34.6
79.030303,6.1,15.3,15.3,34.4
79.151515,5.9,15.1,15.1,34.3
79.272727,5.8,14.9,14.9,34.1
79.393939,5.6,14.8,14.8,33.9
79.515152,5.5,14.6,14.6,33.8
79.636364,5.3,14.4,14.4,33.6
79.757576,5.2,14.3,14.3,33.5
79.878788,5,14.1,14.1,33.3
80,4.9,14,14,33.1
80.121212,4.8,13.8,13.8,33
80.242424,4.6,13.7,13.7,32.8
80.363636,4.5,13.5,13.5,32.7
80.484848,4.4,13.4,13.4,32.5
80.606061,4.3,13.2,13.2,32.4
80.727273,4.1,13.1,13.1,32.2
80.848485,4,12.9,12.9,32.1
80.969697,3.9,12.8,12.8,31.9
81.090909,3.8,12.7,12.7,31.8
81.212121,3.7,12.6,12.6,31.6
81.333333,3.6,12.5,12.5,31.5
81.454545,3.5,12.4,12.4,31.4
81.575758,3.4,12.2,12.2,31.3
81.69697,3.3,12.1,12.1,31.1
81.818182,3.2,12,12,31
81.939394,3.1,11.9,11.9,30.9
82.060606,3.1,11.8,11.8,30.7
82.181818,3,11.7,11.7,30.6
82.30303,2.9,11.6,11.6,30.5
82.424242,2.8,11.5,11.5,30.4
82.545455,2.7,11.4,11.4,30.2
82.666667,2.7,11.3,11.3,30.1
82.787879,2.6,11.2,11.2,30
82.909091,2.5,11.1,11.1,29.8
83.030303,2.5,11,11,29.7
83.151515,2.4,10.9,10.9,29.6
83.272727,2.3,10.8,10.8,29.5
83.393939,2.3,10.7,10.7,29.4
83.515152,2.2,10.6,10.6,29.2
83.636364,2.1,10.5,10.5,29.1
83.757576,2.1,10.4,10.4,29
83.878788,2,10.3,10.3,28.9
84,2,10.2,10.2,28.7
