simulations,OFV
500,959.083
1000,960.863
1500,958.833
2000,959.41
2500,960.583
3000,960.177
3500,958.98
4000,958.483
4500,958.921
5000,958.922
5500,959.021
6000,959.161
6500,959.018
7000,958.962
7500,959.084
8000,959.086
8500,959.377
9000,959.057
9500,958.824
10000,958.792
10500,958.734
11000,958.879
11500,959.002
12000,958.825
12500,958.931
13000,959
13500,959.103
14000,959.112
14500,959.051
15000,959.048
15500,958.935
16000,958.884
16500,958.746
17000,958.733
17500,958.797
18000,958.811
18500,958.917
19000,958.949
19500,958.897
20000,958.834
20500,958.586
21000,958.398
21500,958.38
22000,958.455
22500,958.408
23000,958.317
23500,958.294
24000,958.326
24500,958.298
25000,958.334
25500,958.34
26000,958.281
26500,958.258
27000,958.193
27500,958.186
28000,958.254
28500,958.207
29000,958.278
29500,958.343
30000,958.405
