trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_WTKG_abscissa,trans_bias_vs_WTKG_spline,trans_bias_vs_WTKG_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
97.5,1.53854,1.68234,52,1.73561,1.76676,-0.389961,1.49581,1.64607,97.5,2.21474,2.05724,52,1.97141,1.96773,-0.389961,2.29637,2.07108,97.5,3.15731,3.26091,52,3.2268,3.22221,-0.389961,3.15695,3.24791,97.5,3.36753,3.42485,52,3.33744,3.37427,-0.389961,3.37047,3.41824,97.5,-1.31677,-1.31677,52,-1.31677,-1.31677,-0.389961,-1.31677,-1.31677,All
98.5172,1.55862,1.68651,52.3232,1.74568,1.77016,-0.382795,1.51653,1.65055,98.5172,2.18925,2.05595,52.3232,1.95893,1.96871,-0.382795,2.26261,2.06964,98.5172,3.16597,3.26085,52.3232,3.22636,3.22337,-0.382795,3.16271,3.24811,98.5172,3.37006,3.42429,52.3232,3.34107,3.37508,-0.382795,3.37106,3.41787,98.5172,-1.31677,-1.31677,52.3232,-1.31677,-1.31677,-0.382795,-1.31677,-1.31677,All
99.5343,1.57869,1.69068,52.6465,1.75575,1.77356,-0.375629,1.53725,1.65502,99.5343,2.16376,2.05465,52.6465,1.94645,1.96969,-0.375629,2.22885,2.0682,99.5343,3.17464,3.26079,52.6465,3.22591,3.22453,-0.375629,3.16847,3.24831,99.5343,3.3726,3.42374,52.6465,3.3447,3.37589,-0.375629,3.37166,3.41751,99.5343,-1.31677,-1.31677,52.6465,-1.31677,-1.31677,-0.375629,-1.31677,-1.31677,All
100.552,1.59876,1.69485,52.9697,1.76583,1.77696,-0.368463,1.55797,1.6595,100.552,2.13827,2.05336,52.9697,1.93397,1.97067,-0.368463,2.1951,2.06677,100.552,3.1833,3.26073,52.9697,3.22546,3.22568,-0.368463,3.17423,3.24852,100.552,3.37513,3.42318,52.9697,3.34834,3.3767,-0.368463,3.37225,3.41714,100.552,-1.31677,-1.31677,52.9697,-1.31677,-1.31677,-0.368463,-1.31677,-1.31677,All
101.569,1.61567,1.69903,53.2929,1.77394,1.78036,-0.361297,1.57868,1.66397,101.569,2.11876,2.05207,53.2929,1.92699,1.97164,-0.361297,2.16134,2.06533,101.569,3.1907,3.26067,53.2929,3.22556,3.22684,-0.361297,3.17999,3.24872,101.569,3.3776,3.42263,53.2929,3.35177,3.37752,-0.361297,3.37284,3.41677,101.569,-1.31677,-1.31677,53.2929,-1.31677,-1.31677,-0.361297,-1.31677,-1.31677,All
102.586,1.63204,1.7032,53.6162,1.78186,1.78376,-0.354131,1.59686,1.66845,102.586,2.10027,2.05077,53.6162,1.92058,1.97262,-0.354131,2.13354,2.06389,102.586,3.19787,3.26061,53.6162,3.22572,3.22799,-0.354131,3.18536,3.24893,102.586,3.38007,3.42208,53.6162,3.35518,3.37833,-0.354131,3.37376,3.4164,102.586,-1.31677,-1.31677,53.6162,-1.31677,-1.31677,-0.354131,-1.31677,-1.31677,All
103.603,1.6484,1.70737,53.9394,1.78978,1.78716,-0.346966,1.61243,1.67292,103.603,2.08178,2.04948,53.9394,1.91417,1.9736,-0.346966,2.11185,2.06245,103.603,3.20505,3.26055,53.9394,3.22587,3.22915,-0.346966,3.19034,3.24913,103.603,3.38253,3.42152,53.9394,3.35858,3.37914,-0.346966,3.37501,3.41603,103.603,-1.31677,-1.31677,53.9394,-1.31677,-1.31677,-0.346966,-1.31677,-1.31677,All
104.62,1.66477,1.71154,54.2626,1.79769,1.79056,-0.3398,1.628,1.6774,104.62,2.06329,2.04819,54.2626,1.90777,1.97458,-0.3398,2.09016,2.06101,104.62,3.21223,3.26049,54.2626,3.22603,3.23031,-0.3398,3.19532,3.24933,104.62,3.385,3.42097,54.2626,3.36199,3.37995,-0.3398,3.37626,3.41566,104.62,-1.31677,-1.31677,54.2626,-1.31677,-1.31677,-0.3398,-1.31677,-1.31677,All
105.637,1.68114,1.71571,54.5859,1.80561,1.79396,-0.332634,1.64357,1.68188,105.637,2.04479,2.04689,54.5859,1.90136,1.97556,-0.332634,2.06848,2.05957,105.637,3.21941,3.26044,54.5859,3.22618,3.23146,-0.332634,3.2003,3.24954,105.637,3.38746,3.42041,54.5859,3.3654,3.38076,-0.332634,3.37751,3.41529,105.637,-1.31677,-1.31677,54.5859,-1.31677,-1.31677,-0.332634,-1.31677,-1.31677,All
106.655,1.6975,1.71989,54.9091,1.81352,1.79736,-0.325468,1.65914,1.68635,106.655,2.0263,2.0456,54.9091,1.89495,1.97654,-0.325468,2.04679,2.05813,106.655,3.22658,3.26038,54.9091,3.22634,3.23262,-0.325468,3.20528,3.24974,106.655,3.38993,3.41986,54.9091,3.36881,3.38157,-0.325468,3.37876,3.41492,106.655,-1.31677,-1.31677,54.9091,-1.31677,-1.31677,-0.325468,-1.31677,-1.31677,All
