iteration,E_V,sd_V,E_Cl,sd_Cl
1,71.1434,0.161357,11.2039,0.0739487
2,69.9045,0.146168,11.1629,0.0651034
3,69.4313,0.137168,11.1727,0.0610394
4,69.2158,0.13111,11.1549,0.0600368
5,69.0238,0.128945,11.1462,0.0588602
6,69.1193,0.127065,11.1365,0.0590679
7,69.1954,0.126571,11.1561,0.0593933
8,69.1791,0.128641,11.1606,0.0601647
9,69.3661,0.128715,11.1806,0.0612852
10,69.5752,0.13316,11.188,0.0620381
11,69.596,0.13435,11.1904,0.0626987
12,69.6322,0.137128,11.1894,0.0629363
13,69.7994,0.137775,11.1964,0.0629274
14,69.7661,0.137149,11.1802,0.0627796
15,69.8446,0.136825,11.1737,0.0624982
16,69.7966,0.137403,11.1727,0.0630871
17,69.7242,0.138335,11.1785,0.063764
18,69.6837,0.139111,11.1779,0.0642265
19,69.6833,0.138954,11.1793,0.0640853
20,69.6927,0.139185,11.1895,0.0642103
21,69.7047,0.139243,11.1958,0.0638701
22,69.7037,0.140704,11.1937,0.0635965
23,69.6508,0.140377,11.1891,0.0638133
24,69.5993,0.139916,11.1864,0.0635192
25,69.5731,0.139822,11.1843,0.0635658
26,69.5226,0.138923,11.1862,0.0633407
27,69.6639,0.138768,11.1911,0.0631011
28,69.7768,0.13924,11.1944,0.0628032
29,69.8036,0.139016,11.1915,0.0624377
30,69.8504,0.13916,11.1856,0.0624908
31,69.8589,0.139055,11.1858,0.0625213
32,69.8016,0.138807,11.1829,0.0622841
33,69.7481,0.138276,11.1802,0.0624956
34,69.7702,0.137863,11.1814,0.062641
35,69.8116,0.137908,11.1836,0.0626661
36,69.7683,0.138152,11.1848,0.0626276
37,69.8043,0.137438,11.1847,0.0624792
38,69.7695,0.137135,11.1867,0.0624302
39,69.7684,0.137007,11.1848,0.0625745
40,69.7638,0.136587,11.1843,0.0625327
41,69.7518,0.136609,11.1823,0.0625568
42,69.773,0.137059,11.1811,0.062489
43,69.7887,0.137449,11.1827,0.0627641
44,69.7618,0.137501,11.1805,0.0627828
45,69.7355,0.137221,11.1795,0.0628578
46,69.7608,0.137411,11.1797,0.0629823
47,69.787,0.137621,11.1793,0.0630329
48,69.7657,0.137808,11.1753,0.063029
49,69.7343,0.13797,11.1699,0.0629254
50,69.7538,0.138187,11.1682,0.0628746
51,69.7928,0.138063,11.1661,0.062869
52,69.8091,0.138393,11.1624,0.0629527
53,69.8019,0.138591,11.1608,0.0629494
54,69.8123,0.138862,11.1633,0.0629743
55,69.8397,0.139075,11.1632,0.0630587
56,69.861,0.139023,11.1631,0.0629807
57,69.8718,0.139029,11.1635,0.0631184
58,69.8713,0.138896,11.1636,0.0630524
59,69.8717,0.138974,11.1647,0.0629297
60,69.8467,0.138773,11.1646,0.0627902
61,69.8281,0.138672,11.1635,0.0627819
