iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,629.297,1,10.2275,11.1604,43.2233,60.344,0.3,1,1,1,1
2,598.221,1,11.1976,17.2502,42.7179,67.4855,0.24,0.894427,0.894427,0.894427,0.95965
3,559.434,1,11.0207,17.994,39.5922,78.4281,0.192,0.8,0.8,0.8,0.941493
4,514.38,1,10.989,17.8338,42.4999,77.7847,0.1536,0.715542,0.715542,0.715542,0.914897
5,471.752,1,10.8212,16.0974,44.6049,85.5684,0.124656,0.64,0.64,0.64,0.818309
6,437.889,1,10.9829,17.8513,41.4913,75.441,0.108082,0.572433,0.602901,0.572433,0.820464
7,426.662,1,10.9126,17.8584,42.5663,74.0937,0.101047,0.512,0.671969,0.512,0.854131
8,396.681,1,10.8976,16.9692,43.0678,71.3234,0.0906045,0.457947,0.629369,0.457947,0.860106
9,369.171,1,10.8349,15.5222,43.8702,73.6173,0.0811463,0.4096,0.594784,0.4096,0.791392
10,367.584,1,10.9126,15.4674,42.3145,72.8896,0.0827545,0.366357,0.596643,0.366357,0.715537
11,357.081,1,10.9827,14.9874,43.0243,72.1545,0.0804681,0.32768,0.589182,0.32768,0.664825
12,333.615,1,11.0283,14.4261,43.1955,68.1353,0.0755495,0.293086,0.543553,0.293086,0.655377
13,323.978,1,11.0134,14.7497,44.2042,66.5398,0.072668,0.262144,0.514851,0.262144,0.701168
14,303.386,1,11.1018,15.3468,44.157,65.5314,0.0680103,0.234469,0.537121,0.234469,0.639638
15,295.574,1,11.111,15.0021,43.4623,68.4648,0.0660816,0.209715,0.5833,0.223287,0.637692
16,287.096,1,11.1536,14.0984,44.2438,66.843,0.0671464,0.187575,0.521719,0.199714,0.601986
17,280.933,1,11.1859,14.4358,44.17,69.3144,0.0650927,0.167772,0.530009,0.208277,0.573877
18,278.979,1,11.1953,15.1352,43.8732,65.3015,0.0657376,0.15006,0.562735,0.186289,0.586806
19,266.953,1,11.2039,14.8396,44.0077,58.3091,0.0645556,0.134218,0.506851,0.166622,0.524856
20,260.284,1,11.2547,14.7821,43.9214,55.9776,0.062597,0.124856,0.500994,0.174179,0.513448
21,245.558,1,11.3078,14.5186,44.255,56.4134,0.0590954,0.117289,0.495448,0.162928,0.528797
22,228.753,1,11.3062,14.3109,44.3988,54.471,0.0559258,0.115167,0.464768,0.14937,0.498675
23,229.101,1,11.3214,14.0035,44.4309,53.9052,0.055644,0.113964,0.484941,0.151021,0.510019
