simulations,OFV
500,952.448
1000,953.037
1500,952.096
2000,952.353
2500,953.361
3000,952.767
3500,951.861
4000,951.746
4500,952.251
5000,952.203
5500,952.111
6000,952.145
6500,951.714
7000,951.777
7500,951.834
8000,951.832
8500,952.101
9000,951.752
9500,951.53
10000,951.419
10500,951.36
11000,951.486
11500,951.473
12000,951.323
12500,951.394
13000,951.48
13500,951.49
14000,951.537
14500,951.486
15000,951.498
15500,951.49
16000,951.515
16500,951.244
17000,951.263
17500,951.326
18000,951.344
18500,951.454
19000,951.475
19500,951.452
20000,951.419
20500,951.412
21000,951.287
21500,951.33
22000,951.419
22500,951.386
23000,951.15
23500,950.904
24000,950.949
24500,950.972
25000,951.022
25500,950.945
26000,950.857
26500,950.843
27000,950.806
27500,950.813
28000,950.798
28500,950.76
29000,950.828
29500,950.879
30000,950.94
