standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4.18265,0.00714286,-4,0,All
-3.04804,0.00714286,-2.93427,0.00714286,-2.58797,0.00714286,-3.29689,0.0142857,-2.98487,0.00714286,All
-2.88355,0.0142857,-2.89559,0.0142857,-2.02139,0.0142857,-2.75679,0.0214286,-2.82743,0.0142857,All
-2.54096,0.0214286,-2.84055,0.0214286,-1.94011,0.0214286,-2.34811,0.0285714,-2.75086,0.0214286,All
-2.47136,0.0285714,-2.77731,0.0285714,-1.92192,0.0285714,-2.32097,0.0357143,-2.39972,0.0285714,All
-2.45592,0.0357143,-2.72779,0.0357143,-1.82903,0.0357143,-2.20404,0.0428571,-1.83357,0.0357143,All
-2.25611,0.0428571,-2.60007,0.0428571,-1.72427,0.0428571,-2.19427,0.05,-1.65279,0.0428571,All
-2.22046,0.05,-2.5319,0.05,-1.55933,0.05,-1.75932,0.0571429,-1.61497,0.05,All
-2.07921,0.0571429,-2.50707,0.0571429,-1.52467,0.0571429,-1.62713,0.0642857,-1.47559,0.0571429,All
-2.07769,0.0642857,-2.35698,0.0642857,-1.50339,0.0642857,-1.57619,0.0714286,-1.43298,0.0642857,All
-1.82498,0.0714286,-2.2336,0.0714286,-1.4892,0.0714286,-1.3383,0.0785714,-1.41398,0.0714286,All
-1.27874,0.0785714,-2.05349,0.0785714,-1.36933,0.0785714,-1.23341,0.0857143,-1.2772,0.0785714,All
-1.14371,0.0857143,-1.60949,0.0857143,-1.31983,0.0857143,-1.15551,0.0928571,-1.12563,0.0857143,All
-1.12713,0.0928571,-1.4533,0.0928571,-1.27392,0.0928571,-1.06877,0.1,-0.970513,0.0928571,All
-0.998583,0.1,-1.39972,0.1,-1.25229,0.1,-1.06,0.107143,-0.969519,0.1,All
-0.983112,0.107143,-1.34742,0.107143,-1.22448,0.107143,-1.05096,0.114286,-0.965375,0.107143,All
-0.965086,0.114286,-1.33079,0.114286,-1.17016,0.114286,-1.00201,0.121429,-0.941813,0.114286,All
-0.949346,0.121429,-1.30687,0.121429,-1.08329,0.121429,-0.989056,0.128571,-0.940086,0.121429,All
-0.888998,0.128571,-1.27716,0.128571,-1.07465,0.128571,-0.979432,0.135714,-0.879315,0.128571,All
-0.881181,0.135714,-1.26032,0.135714,-1.07146,0.135714,-0.94971,0.142857,-0.78744,0.135714,All
-0.87549,0.142857,-1.1839,0.142857,-1.01766,0.142857,-0.915222,0.15,-0.771099,0.142857,All
-0.872018,0.15,-1.09147,0.15,-1.01548,0.15,-0.86395,0.157143,-0.741548,0.15,All
-0.868845,0.157143,-0.601087,0.157143,-1.00046,0.157143,-0.863016,0.164286,-0.722973,0.157143,All
-0.857466,0.164286,-0.588775,0.164286,-0.997534,0.164286,-0.857525,0.171429,-0.713318,0.164286,All
-0.848411,0.171429,-0.547884,0.171429,-0.989776,0.171429,-0.842662,0.178571,-0.705025,0.171429,All
-0.830853,0.178571,-0.47668,0.178571,-0.971104,0.178571,-0.824821,0.185714,-0.681717,0.178571,All
-0.826709,0.185714,-0.424138,0.185714,-0.951603,0.185714,-0.813664,0.192857,-0.678282,0.185714,All
-0.817183,0.192857,-0.394804,0.192857,-0.934072,0.192857,-0.744156,0.2,-0.657481,0.192857,All
-0.794792,0.2,-0.39008,0.2,-0.925274,0.2,-0.715532,0.207143,-0.620635,0.2,All
-0.778599,0.207143,-0.369923,0.207143,-0.895469,0.207143,-0.707954,0.214286,-0.57893,0.207143,All
-0.737457,0.214286,-0.368578,0.214286,-0.84968,0.214286,-0.694071,0.221429,-0.539031,0.214286,All
-0.684208,0.221429,-0.344411,0.221429,-0.84614,0.221429,-0.665842,0.228571,-0.492039,0.221429,All
-0.670911,0.228571,-0.344188,0.228571,-0.828071,0.228571,-0.592443,0.235714,-0.47703,0.228571,All
-0.654453,0.235714,-0.330172,0.235714,-0.82517,0.235714,-0.548132,0.242857,-0.459168,0.235714,All
-0.648369,0.242857,-0.319168,0.242857,-0.815083,0.242857,-0.540295,0.25,-0.458132,0.242857,All
-0.578956,0.25,-0.301573,0.25,-0.797056,0.25,-0.538428,0.257143,-0.430597,0.25,All
-0.577217,0.257143,-0.298637,0.257143,-0.793504,0.257143,-0.536478,0.264286,-0.422917,0.257143,All
-0.575576,0.264286,-0.29376,0.264286,-0.769436,0.264286,-0.514613,0.271429,-0.419381,0.264286,All
-0.568332,0.271429,-0.274096,0.271429,-0.742822,0.271429,-0.508396,0.278571,-0.410919,0.271429,All
-0.56547,0.278571,-0.207788,0.278571,-0.735235,0.278571,-0.478513,0.285714,-0.410632,0.278571,All
-0.563737,0.285714,-0.206766,0.285714,-0.696928,0.285714,-0.461312,0.292857,-0.383006,0.285714,All
-0.552831,0.292857,-0.128022,0.292857,-0.661635,0.292857,-0.454507,0.3,-0.372973,0.292857,All
-0.522934,0.3,-0.116775,0.3,-0.659993,0.3,-0.453386,0.307143,-0.361761,0.3,All
