Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
5.43122,0.106769,20.4018,0.00343537,4.38855,0.0574384,32.6141,0.00609768,All
6.15596,0.0213539,24.9068,0.0171769,9.10375,0.0377452,36.4212,0.0121954,All
6.88071,0.0854156,29.4117,0.0137415,13.8189,0.0426685,40.2283,0.018293,All
7.60546,0,33.9167,0.0326361,18.5341,0.034463,44.0353,0.0304884,All
8.33021,0,38.4216,0.0395068,23.2493,0.0147699,47.8424,0.0670745,All
9.05496,0.106769,42.9266,0.0480952,27.9645,0.0180521,51.6495,0.032521,All
9.7797,0.266924,47.4315,0.0343537,32.6797,0.00492329,55.4565,0.0406512,All
10.5045,0.1388,51.9365,0.0292007,37.3949,0.00656439,59.2636,0.0365861,All
11.2292,0.128123,56.4414,0.0137415,42.1101,0.00328219,63.0707,0.0243907,All
11.9539,0.202862,60.9464,0.00343537,46.8253,0.00328219,66.8777,0.00609768,All
12.6787,0.320308,65.4514,0.00171769,51.5405,0.00328219,70.6848,0.00609768,All
13.4034,0.117446,69.9563,0.00343537,56.2557,0.00328219,74.4919,0.00406512,All
