Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-1.21791e-07,0.00804036,0.00804036,-0.526507,7.72005e-09,-6.10475e-10
-1.18995e-07,0.00759782,0.00759782,-0.516726,4.24673e-09,-6.89839e-10
-1.16199e-07,0.00715528,0.00715528,-0.506946,1.82124e-09,-7.69204e-10
-1.13402e-07,0.00671275,0.00671275,-0.497166,-6.04248e-10,-8.48568e-10
-1.10606e-07,0.00627021,0.00627021,-0.487385,-3.02974e-09,-9.27933e-10
-1.0781e-07,0.00582767,0.00582767,-0.477605,-5.45523e-09,-1.0073e-09
-1.05014e-07,0.00538513,0.00538513,-0.467824,-6.97146e-09,-1.08666e-09
-1.02218e-07,0.0049426,0.0049426,-0.458044,-8.01515e-09,-1.16603e-09
-9.94216e-08,0.00450006,0.00450006,-0.448263,-8.72249e-09,-1.24539e-09
-9.66254e-08,0.00405752,0.00405752,-0.438483,-9.01561e-09,-1.32476e-09
-9.38293e-08,0.00361498,0.00361498,-0.428703,-9.13409e-09,-1.40412e-09
-9.10331e-08,0.00317245,0.00317245,-0.418922,-9.25258e-09,-1.48348e-09
-8.82369e-08,0.00272991,0.00272991,-0.409142,-8.96173e-09,-1.56285e-09
-8.54407e-08,0.00228737,0.00228737,-0.399361,-8.59857e-09,-1.64221e-09
-8.26446e-08,0.00184483,0.00184483,-0.389581,-7.88849e-09,-1.72158e-09
-7.98484e-08,0.0014023,0.0014023,-0.379801,-7.17842e-09,-1.80094e-09
-7.70522e-08,0.000959758,0.000959758,-0.37002,-6.46834e-09,-1.88031e-09
-7.4256e-08,0.000517221,0.000517221,-0.36024,-5.75826e-09,-1.95967e-09
-7.14599e-08,7.4683e-05,7.4683e-05,-0.350459,-5.04819e-09,-2.03904e-09
-6.86637e-08,-0.000367855,-0.000367855,-0.340679,-4.33811e-09,-2.1184e-09
-6.58675e-08,-0.000810392,-0.000810392,-0.330898,-3.62804e-09,-2.19776e-09
-6.30714e-08,-0.00125293,-0.00125293,-0.321118,-2.96381e-09,-2.27713e-09
-6.02752e-08,-0.00169547,-0.00169547,-0.311338,-2.4546e-09,-2.35649e-09
-5.7479e-08,-0.00213801,-0.00213801,-0.301557,-2.09411e-09,-2.43586e-09
-5.46828e-08,-0.00258054,-0.00258054,-0.291777,-1.94595e-09,-2.51522e-09
-5.18867e-08,-0.00302308,-0.00302308,-0.281996,-1.94467e-09,-2.59459e-09
-4.90905e-08,-0.00346562,-0.00346562,-0.272216,-2.24003e-09,-2.67395e-09
-4.62943e-08,-0.00390816,-0.00390816,-0.262436,-2.65561e-09,-2.75332e-09
-4.34981e-08,-0.00435069,-0.00435069,-0.252655,-3.26317e-09,-2.83268e-09
-4.0702e-08,-0.00479323,-0.00479323,-0.242875,-3.98618e-09,-2.91204e-09
-3.79058e-08,-0.00523577,-0.00523577,-0.233094,-4.77884e-09,-2.99141e-09
-3.51096e-08,-0.00567831,-0.00567831,-0.223314,-5.59988e-09,-3.07077e-09
-3.23135e-08,-0.00612084,-0.00612084,-0.213533,-6.407e-09,-3.15014e-09
-2.95173e-08,-0.00656338,-0.00656338,-0.203753,-7.16045e-09,-3.2295e-09
-2.67211e-08,-0.00700592,-0.00700592,-0.193973,-7.82255e-09,-3.30887e-09
-2.39249e-08,-0.00744846,-0.00744846,-0.184192,-8.28797e-09,-3.38823e-09
-2.11288e-08,-0.00789099,-0.00789099,-0.174412,-8.62656e-09,-3.4676e-09
-1.83326e-08,-0.00833353,-0.00833353,-0.164631,-8.96516e-09,-3.54696e-09
-1.55364e-08,-0.00877607,-0.00877607,-0.154851,-9.04447e-09,-3.62632e-09
-1.27402e-08,-0.00921861,-0.00921861,-0.145071,-8.97183e-09,-3.70569e-09
-9.94407e-09,-0.00966114,-0.00966114,-0.13529,-8.70475e-09,-3.78505e-09
-7.1479e-09,-0.0101037,-0.0101037,-0.12551,-8.30432e-09,-3.86442e-09
-4.35173e-09,-0.0105462,-0.0105462,-0.115729,-7.7578e-09,-3.94378e-09
-1.55555e-09,-0.0109888,-0.0109888,-0.105949,-7.01361e-09,-4.02315e-09
1.24062e-09,-0.0114313,-0.0114313,-0.0961685,-6.0952e-09,-4.10251e-09
4.03679e-09,-0.0118738,-0.0118738,-0.0863881,-5.02066e-09,-4.18188e-09
6.83296e-09,-0.0123164,-0.0123164,-0.0766076,-3.87536e-09,-4.26124e-09
9.62914e-09,-0.0127589,-0.0127589,-0.0668272,-2.66721e-09,-4.3406e-09
1.24253e-08,-0.0132014,-0.0132014,-0.0570468,-1.44738e-09,-4.41997e-09
1.52215e-08,-0.013644,-0.013644,-0.0472664,-2.73973e-10,-4.49933e-09
1.80177e-08,-0.0140865,-0.0140865,-0.037486,7.81412e-10,-4.5787e-09
2.08138e-08,-0.0145291,-0.0145291,-0.0277056,1.8368e-09,-4.65806e-09
2.361e-08,-0.0149716,-0.0149716,-0.0179251,2.75841e-09,-4.73743e-09
2.64062e-08,-0.0154141,-0.0154141,-0.00814473,3.46632e-09,-4.81679e-09
2.92023e-08,-0.0158567,-0.0158567,0.00163569,3.89955e-09,-4.89616e-09
3.19985e-08,-0.0162992,-0.0162992,0.0114161,4.0331e-09,-4.97552e-09
3.47947e-08,-0.0167417,-0.0167417,0.0211965,3.92956e-09,-5.05489e-09
3.75909e-08,-0.0171843,-0.0171843,0.0309769,3.3547e-09,-5.13425e-09
4.0387e-08,-0.0176268,-0.0176268,0.0407574,2.46462e-09,-5.21361e-09
4.31832e-08,-0.0180694,-0.0180694,0.0505378,1.23846e-09,-5.29298e-09
4.59794e-08,-0.0185119,-0.0185119,0.0603182,-2.57098e-10,-5.37234e-09
4.87756e-08,-0.0189544,-0.0189544,0.0700986,-1.83582e-09,-5.45171e-09
5.15717e-08,-0.019397,-0.019397,0.079879,-3.30845e-09,-5.53107e-09
5.43679e-08,-0.0198395,-0.0198395,0.0896594,-4.48738e-09,-5.61044e-09
5.71641e-08,-0.020282,-0.020282,0.0994398,-5.66632e-09,-5.6898e-09
5.99602e-08,-0.0207246,-0.0207246,0.10922,-6.22228e-09,-5.76917e-09
6.27564e-08,-0.0211671,-0.0211671,0.119001,-6.21312e-09,-5.84853e-09
6.55526e-08,-0.0216097,-0.0216097,0.128781,-5.83868e-09,-5.92789e-09
6.83488e-08,-0.0220522,-0.0220522,0.138562,-5.04748e-09,-6.00726e-09
7.11449e-08,-0.0224947,-0.0224947,0.148342,-4.10119e-09,-6.08662e-09
7.39411e-08,-0.0229373,-0.0229373,0.158122,-2.96571e-09,-6.16599e-09
7.67373e-08,-0.0233798,-0.0233798,0.167903,-1.78764e-09,-6.24535e-09
7.95335e-08,-0.0238223,-0.0238223,0.177683,-6.54025e-10,-6.32472e-09
8.23296e-08,-0.0242649,-0.0242649,0.187464,3.50915e-10,-6.40408e-09
8.51258e-08,-0.0247074,-0.0247074,0.197244,1.17066e-09,-6.48345e-09
8.7922e-08,-0.02515,-0.02515,0.207024,1.75106e-09,-6.56281e-09
9.07181e-08,-0.0255925,-0.0255925,0.216805,2.01474e-09,-6.64217e-09
9.35143e-08,-0.026035,-0.026035,0.226585,1.65358e-09,-6.72154e-09
9.63105e-08,-0.0264776,-0.0264776,0.236366,1.25383e-09,-6.8009e-09
9.91067e-08,-0.0269201,-0.0269201,0.246146,1.663e-10,-6.88027e-09
1.01903e-07,-0.0273626,-0.0273626,0.255926,-1.60934e-09,-6.95963e-09
1.04699e-07,-0.0278052,-0.0278052,0.265707,-3.78831e-09,-7.039e-09
1.07495e-07,-0.0282477,-0.0282477,0.275487,-6.49994e-09,-7.11836e-09
1.10291e-07,-0.0286903,-0.0286903,0.285268,-9.55752e-09,-7.19773e-09
1.13088e-07,-0.0291328,-0.0291328,0.295048,-1.28167e-08,-7.27709e-09
1.15884e-07,-0.0295753,-0.0295753,0.304829,-1.61154e-08,-7.35645e-09
1.1868e-07,-0.0300179,-0.0300179,0.314609,-1.94493e-08,-7.43582e-09
1.21476e-07,-0.0304604,-0.0304604,0.324389,-2.25419e-08,-7.51518e-09
1.24272e-07,-0.0309029,-0.0309029,0.33417,-2.49496e-08,-7.59455e-09
1.27068e-07,-0.0313455,-0.0313455,0.34395,-2.73573e-08,-7.67391e-09
1.29865e-07,-0.031788,-0.031788,0.353731,-2.97649e-08,-7.75328e-09
1.32661e-07,-0.0322306,-0.0322306,0.363511,-3.21034e-08,-7.83264e-09
1.35457e-07,-0.0326731,-0.0326731,0.373291,-3.26529e-08,-7.91201e-09
1.38253e-07,-0.0331156,-0.0331156,0.383072,-3.31158e-08,-7.99137e-09
1.41049e-07,-0.0335582,-0.0335582,0.392852,-3.17232e-08,-8.07073e-09
1.43845e-07,-0.0340007,-0.0340007,0.402633,-2.75099e-08,-8.1501e-09
1.46642e-07,-0.0344433,-0.0344433,0.412413,-2.32966e-08,-8.22946e-09
