DD,II,Tinf,CLCR,MIC
3500,6,4,90,4.181818181818182
3500,6,4,130,-0.6666666666666656
4000,8,4,120,4.484848484848485
3500,8,4,120,3.272727272727273
4000,6,2,100,-2.5858585858585887
4000,8,2,150,0.5454545454545491
1000,8,2,90,2.7676767676767686
3500,8,4,130,-0.6666666666666656
2500,8,2,100,1.454545454545456
2500,24,24,130,-3.0909090909090944
1000,24,24,110,-0.6666666666666656
2500,8,4,100,-3.0909090909090944
1000,8,4,110,2.7676767676767686
1000,24,24,130,0.5454545454545491
1000,6,4,150,4.181818181818182
3000,12,4,110,2.363636363636364
1000,8,2,90,1.7575757575757582
3500,8,4,130,1.7575757575757582
3000,12,2,130,-1.1717171717171722
3000,6,2,100,0.6464646464646426
2000,8,4,90,0.44444444444444775
3500,24,24,120,-3.191919191919188
1500,12,4,100,0.7474747474747476
3500,8,2,90,-0.5656565656565646
4000,8,4,110,0.24242424242424673
3500,24,24,120,-2.8888888888888915
3500,6,4,150,4.0808080808080796
3000,6,2,110,-1.0707070707070694
4000,12,2,110,1.959595959595959
2500,12,2,90,-3.5959595959595965
3000,6,4,100,-1.6767676767676751
4000,12,4,130,3.1717171717171713
1000,24,24,110,-1.1717171717171722
2500,6,2,90,3.3737373737373764
3000,24,24,110,-3.494949494949495
1000,6,2,130,-2.9898989898989945
2000,6,2,120,4.585858585858585
4000,24,24,150,-1.272727272727274
3500,6,2,150,1.353535353535352
1500,12,4,150,1.2525252525252542
3000,8,2,100,3.4747474747474745
1500,8,4,100,-2.9898989898989945
4000,6,2,150,5.393939393939396
1000,8,2,150,5.393939393939396
1500,6,4,90,-0.26262626262626276
2000,6,4,90,1.6565656565656584
4000,12,2,130,-3.3939393939393945
3500,12,4,130,1.6565656565656584
4000,12,4,120,-1.7777777777777783
3000,8,4,90,4.0808080808080796
4000,12,2,90,3.1717171717171713
1000,8,2,90,1.1515151515151505
1000,8,2,110,1.5555555555555567
2500,8,4,110,2.8686868686868676
1500,12,2,90,3.7777777777777812
4000,8,2,150,2.4646464646464636
1500,8,2,150,-0.16161616161616116
2000,6,4,110,5.393939393939396
4000,12,2,90,1.959595959595959
2000,8,2,90,0.34343434343434387
4000,8,4,100,-1.5757575757575772
1000,6,4,130,1.7575757575757582
2500,12,2,110,5.595959595959596
3500,12,4,90,5.898989898989901
4000,6,2,100,1.1515151515151505
3000,12,4,150,-0.9696969696969696
1000,8,2,110,0.34343434343434387
1500,12,2,130,1.353535353535352
1000,8,2,120,2.666666666666667
3000,24,24,150,-1.1717171717171722
1000,12,2,150,4.888888888888889
4000,6,4,130,4.888888888888889
1500,8,2,130,2.9696969696969697
1500,6,4,100,3.5757575757575735
1500,8,4,120,2.1616161616161613
1500,6,2,110,4.888888888888889
1500,6,4,150,5.898989898989901
1500,8,2,120,2.4646464646464636
2000,6,2,110,-1.9797979797979766
2500,12,4,100,-1.5757575757575772
2500,8,4,110,-1.9797979797979766
3000,6,2,100,0.44444444444444775
2000,6,4,130,-1.0707070707070694
1500,6,2,110,1.353535353535352
3000,12,4,130,4.888888888888889
1000,8,4,150,5.696969696969699
3500,6,4,120,3.7777777777777812
3000,12,4,150,1.8585858585858563
3500,6,2,90,5.898989898989901
2000,24,24,90,0.6464646464646426
