Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-8.00629e-08,-0.0787083,-0.0787083,-0.548447,-0.51468,-0.267965,-6.99793,0.259062,0.317519,-0.832022,-4.78822e-09,-9.17024e-09,-0.548447,7.78618e-09,-1.8209e-09,-6.99793,1.51593e-08,1.95026e-08,-0.832022,-0.418431,-0.357146,-8.00629e-08,-0.0240418,-0.0240418,-6.99793,0.172404,0.106413,-0.832022,4.871,5.49052,-8.00629e-08,4.42207,4.42207,-0.548447,4.18457,3.77113
-7.85551e-08,-0.0771656,-0.0771656,-0.535948,-0.520049,-0.261769,-6.86078,0.252516,0.31328,-0.818804,-6.47547e-09,-9.02239e-09,-0.535948,1.29722e-09,-1.77535e-09,-6.86078,1.47632e-08,1.92417e-08,-0.818804,-0.409551,-0.351512,-7.85551e-08,-0.0236096,-0.0236096,-6.86078,0.17307,0.104963,-0.818804,4.88714,5.45372,-7.85551e-08,4.39845,4.39845,-0.535948,4.08346,3.75729
-7.70472e-08,-0.0756229,-0.0756229,-0.523449,-0.516176,-0.255574,-6.72363,0.24597,0.30904,-0.805585,-8.16271e-09,-8.87454e-09,-0.523449,-3.35708e-09,-1.7298e-09,-6.72363,1.4367e-08,1.89809e-08,-0.805585,-0.40067,-0.345877,-7.70472e-08,-0.0231775,-0.0231775,-6.72363,0.173737,0.103513,-0.805585,4.90328,5.41693,-7.70472e-08,4.37482,4.37482,-0.523449,3.99234,3.74345
-7.55394e-08,-0.0740803,-0.0740803,-0.51095,-0.502483,-0.249378,-6.58647,0.239423,0.304801,-0.792367,-9.84996e-09,-8.72669e-09,-0.51095,-6.0615e-09,-1.68425e-09,-6.58647,1.39709e-08,1.872e-08,-0.792367,-0.39179,-0.340243,-7.55394e-08,-0.0227453,-0.0227453,-6.58647,0.174404,0.102062,-0.792367,4.91942,5.38013,-7.55394e-08,4.3512,4.3512,-0.51095,3.91184,3.72961
-7.40316e-08,-0.0725376,-0.0725376,-0.49845,-0.488789,-0.243182,-6.44932,0.232877,0.300561,-0.779149,-1.12522e-08,-8.57884e-09,-0.49845,-8.76593e-09,-1.63871e-09,-6.44932,1.35747e-08,1.84592e-08,-0.779149,-0.383826,-0.334608,-7.40316e-08,-0.0223131,-0.0223131,-6.44932,0.17507,0.100612,-0.779149,4.92645,5.34333,-7.40316e-08,4.32758,4.32758,-0.49845,3.83134,3.71576
-7.25238e-08,-0.0709949,-0.0709949,-0.485951,-0.475095,-0.236986,-6.31217,0.22633,0.296322,-0.76593,-1.20618e-08,-8.43099e-09,-0.485951,-1.14704e-08,-1.59316e-09,-6.31217,1.31786e-08,1.81983e-08,-0.76593,-0.377738,-0.328974,-7.25238e-08,-0.0218809,-0.0218809,-6.31217,0.175737,0.0991621,-0.76593,4.91471,5.30654,-7.25238e-08,4.30395,4.30395,-0.485951,3.75084,3.70192
-7.1016e-08,-0.0694523,-0.0694523,-0.473452,-0.448942,-0.23079,-6.17501,0.219784,0.292082,-0.752712,-1.23189e-08,-8.28314e-09,-0.473452,-1.16231e-08,-1.54761e-09,-6.17501,1.27824e-08,1.79375e-08,-0.752712,-0.373291,-0.323339,-7.1016e-08,-0.0214487,-0.0214487,-6.17501,0.176404,0.0977119,-0.752712,4.88609,5.26974,-7.1016e-08,4.28033,4.28033,-0.473452,3.68695,3.68808
-6.95082e-08,-0.0679096,-0.0679096,-0.460953,-0.419121,-0.224594,-6.03786,0.213238,0.287843,-0.739493,-1.25761e-08,-8.13529e-09,-0.460953,-1.09984e-08,-1.50206e-09,-6.03786,1.23863e-08,1.76766e-08,-0.739493,-0.368844,-0.317705,-6.95082e-08,-0.0210165,-0.0210165,-6.03786,0.17707,0.0962617,-0.739493,4.85746,5.23294,-6.95082e-08,4.25671,4.25671,-0.460953,3.62901,3.67424
-6.80004e-08,-0.066367,-0.066367,-0.448454,-0.386662,-0.218398,-5.90071,0.206691,0.283604,-0.726275,-1.28332e-08,-7.98744e-09,-0.448454,-9.78198e-09,-1.45652e-09,-5.90071,1.19901e-08,1.74158e-08,-0.726275,-0.364397,-0.31207,-6.80004e-08,-0.0205843,-0.0205843,-5.90071,0.177737,0.0948115,-0.726275,4.82884,5.19615,-6.80004e-08,4.23308,4.23308,-0.448454,3.57666,3.6604
-6.64926e-08,-0.0648243,-0.0648243,-0.435954,-0.351656,-0.212203,-5.76355,0.200145,0.279364,-0.713056,-1.28492e-08,-7.83959e-09,-0.435954,-7.94478e-09,-1.41097e-09,-5.76355,1.15939e-08,1.71549e-08,-0.713056,-0.360603,-0.306436,-6.64926e-08,-0.0201521,-0.0201521,-5.76355,0.178404,0.0933614,-0.713056,4.7932,5.15935,-6.64926e-08,4.20946,4.20946,-0.435954,3.53171,3.64656
