trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
97.5,1.29267,1.45265,-0.389961,1.24483,1.41467,97.5,1.96806,1.80641,-0.389961,2.03585,1.82077,97.5,3.09894,3.16759,-0.389961,3.11078,3.16731,97.5,3.25916,3.32793,-0.389961,3.27349,3.33217,97.5,-7.62142,-3.28327,-0.389961,-8.74031,-4.07368,All
98.5172,1.31491,1.45692,-0.382795,1.26804,1.41927,98.5172,1.94478,1.8056,-0.382795,2.00648,1.81976,98.5172,3.10369,3.16612,-0.382795,3.11248,3.16599,98.5172,3.26258,3.32552,-0.382795,3.27394,3.32991,98.5172,-7.15088,-3.22923,-0.382795,-8.24469,-4.00937,All
99.5343,1.33714,1.46118,-0.375629,1.29125,1.42386,99.5343,1.9215,1.80479,-0.375629,1.97712,1.81874,99.5343,3.10844,3.16464,-0.375629,3.11418,3.16466,99.5343,3.26601,3.32311,-0.375629,3.27438,3.32766,99.5343,-6.68033,-3.17519,-0.375629,-7.74907,-3.94506,All
100.552,1.35937,1.46545,-0.368463,1.31446,1.42845,100.552,1.89823,1.80397,-0.368463,1.94775,1.81773,100.552,3.11318,3.16317,-0.368463,3.11589,3.16334,100.552,3.26943,3.3207,-0.368463,3.27483,3.3254,100.552,-6.20979,-3.12115,-0.368463,-7.25344,-3.88075,All
101.569,1.37798,1.46971,-0.361297,1.33767,1.43304,101.569,1.88021,1.80316,-0.361297,1.91838,1.81671,101.569,3.11693,3.1617,-0.361297,3.11759,3.16202,101.569,3.272,3.31829,-0.361297,3.27527,3.32314,101.569,-5.81136,-3.0671,-0.361297,-6.75782,-3.81644,All
102.586,1.39597,1.47397,-0.354131,1.35794,1.43764,102.586,1.86309,1.80235,-0.354131,1.89403,1.81569,102.586,3.1205,3.16023,-0.354131,3.11917,3.1607,102.586,3.27441,3.31588,-0.354131,3.27571,3.32089,102.586,-5.42526,-3.01306,-0.354131,-6.32141,-3.75213,All
103.603,1.41395,1.47824,-0.346966,1.37518,1.44223,103.603,1.84597,1.80154,-0.346966,1.87482,1.81468,103.603,3.12407,3.15876,-0.346966,3.12062,3.15938,103.603,3.27683,3.31347,-0.346966,3.27613,3.31863,103.603,-5.03916,-2.95902,-0.346966,-5.94577,-3.68782,All
104.62,1.43194,1.4825,-0.3398,1.39243,1.44682,104.62,1.82885,1.80072,-0.3398,1.85561,1.81366,104.62,3.12764,3.15728,-0.3398,3.12207,3.15806,104.62,3.27925,3.31106,-0.3398,3.27655,3.31637,104.62,-4.65307,-2.90498,-0.3398,-5.57014,-3.62351,All
105.637,1.44993,1.48677,-0.332634,1.40968,1.45141,105.637,1.81173,1.79991,-0.332634,1.8364,1.81264,105.637,3.13122,3.15581,-0.332634,3.12352,3.15674,105.637,3.28167,3.30864,-0.332634,3.27697,3.31412,105.637,-4.26697,-2.85093,-0.332634,-5.1945,-3.55921,All
106.655,1.46792,1.49103,-0.325468,1.42693,1.45601,106.655,1.79461,1.7991,-0.325468,1.81719,1.81163,106.655,3.13479,3.15434,-0.325468,3.12497,3.15542,106.655,3.28409,3.30623,-0.325468,3.2774,3.31186,106.655,-3.88087,-2.79689,-0.325468,-4.81887,-3.4949,All
107.672,1.4859,1.49529,-0.318302,1.44418,1.4606,107.672,1.77749,1.79828,-0.318302,1.79798,1.81061,107.672,3.13836,3.15287,-0.318302,3.12642,3.15409,107.672,3.28651,3.30382,-0.318302,3.27782,3.30961,107.672,-3.49477,-2.74285,-0.318302,-4.44323,-3.43059,All
108.689,1.49874,1.49956,-0.311136,1.46143,1.46519,108.689,1.7677,1.79747,-0.311136,1.77877,1.80959,108.689,3.14045,3.15139,-0.311136,3.12788,3.15277,108.689,3.28764,3.30141,-0.311136,3.27824,3.30735,108.689,-3.21355,-2.68881,-0.311136,-4.0676,-3.36628,All
109.706,1.51008,1.50382,-0.30397,1.47868,1.46978,109.706,1.76004,1.79666,-0.30397,1.75956,1.80858,109.706,3.14212,3.14992,-0.30397,3.12933,3.15145,109.706,3.2884,3.299,-0.30397,3.27866,3.30509,109.706,-2.96269,-2.63476,-0.30397,-3.69196,-3.30197,All
110.723,1.52142,1.50809,-0.296804,1.49592,1.47438,110.723,1.75237,1.79584,-0.296804,1.74035,1.80756,110.723,3.14379,3.14845,-0.296804,3.13078,3.15013,110.723,3.28917,3.29659,-0.296804,3.27909,3.30284,110.723,-2.71182,-2.58072,-0.296804,-3.31633,-3.23766,All
111.74,1.53276,1.51235,-0.289638,1.51317,1.47897,111.74,1.74471,1.79503,-0.289638,1.72114,1.80655,111.74,3.14546,3.14698,-0.289638,3.13223,3.14881,111.74,3.28993,3.29418,-0.289638,3.27951,3.30058,111.74,-2.46095,-2.52668,-0.289638,-2.9407,-3.17335,All
112.758,1.5441,1.51661,-0.282472,1.5234,1.48356,112.758,1.73704,1.79422,-0.282472,1.71365,1.80553,112.758,3.14713,3.1455,-0.282472,3.13321,3.14749,112.758,3.29069,3.29177,-0.282472,3.27971,3.29832,112.758,-2.21009,-2.47264,-0.282472,-2.71076,-3.10904,All
113.775,1.55545,1.52088,-0.275306,1.53244,1.48815,113.775,1.72937,1.7934,-0.275306,1.70811,1.80451,113.775,3.14879,3.14403,-0.275306,3.13412,3.14617,113.775,3.29145,3.28935,-0.275306,3.27986,3.29607,113.775,-1.95922,-2.41859,-0.275306,-2.50527,-3.04474,All
114.792,1.56679,1.52514,-0.268141,1.54149,1.49275,114.792,1.72171,1.79259,-0.268141,1.70258,1.8035,114.792,3.15046,3.14256,-0.268141,3.13503,3.14485,114.792,3.29222,3.28694,-0.268141,3.28002,3.29381,114.792,-1.70835,-2.36455,-0.268141,-2.29978,-2.98043,All
115.809,1.57813,1.52941,-0.260975,1.55053,1.49734,115.809,1.71404,1.79178,-0.260975,1.69705,1.80248,115.809,3.15213,3.14109,-0.260975,3.13593,3.14352,115.809,3.29298,3.28453,-0.260975,3.28018,3.29155,115.809,-1.45748,-2.31051,-0.260975,-2.0943,-2.91612,All
116.826,1.58947,1.53367,-0.253809,1.55957,1.50193,116.826,1.70637,1.79096,-0.253809,1.69152,1.80146,116.826,3.1538,3.13961,-0.253809,3.13684,3.1422,116.826,3.29374,3.28212,-0.253809,3.28034,3.2893,116.826,-1.20662,-2.25647,-0.253809,-1.88881,-2.85181,All
