iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,10.4667,0.0497332,43.4578,5.65926e-08,15.3634,0.45652
2,10.4635,0.0420354,43.4578,4.57722e-08,15.7827,0.385086
3,10.4479,0.0387743,43.4578,4.2558e-08,15.6345,0.358129
4,10.466,0.0388715,43.4578,2.4955e-08,15.6569,0.36148
5,10.48,0.0383933,43.4578,3.01628e-08,15.5543,0.357468
6,10.4887,0.0392008,43.4578,3.72778e-08,15.4885,0.352573
7,10.4887,0.0389596,43.4578,3.63433e-08,15.3022,0.354875
8,10.4827,0.039767,43.4578,3.3413e-08,15.2137,0.363321
9,10.4805,0.0397899,43.4578,2.71653e-08,15.0772,0.380862
10,10.4759,0.0392993,43.4578,2.88787e-08,14.9529,0.38788
11,10.4723,0.0397361,43.4578,4.00341e-08,14.9662,0.385558
12,10.472,0.0398325,43.4578,3.393e-08,15.0679,0.385724
13,10.4746,0.0399966,43.4578,2.88752e-08,15.0495,0.387955
14,10.4767,0.0397994,43.4578,3.41988e-08,15.011,0.386511
15,10.4806,0.0393334,43.4578,2.97256e-08,15.0071,0.384092
16,10.4808,0.0391577,43.4578,4.2534e-08,15.0023,0.380207
17,10.4774,0.038982,43.4578,4.23058e-08,14.9313,0.378447
18,10.4758,0.039185,43.4578,4.75976e-08,14.9089,0.379474
19,10.4783,0.0395595,43.4578,4.36154e-08,14.9595,0.3824
20,10.479,0.0394733,43.4578,4.97305e-08,14.9289,0.381014
21,10.4788,0.0392814,43.4578,4.57671e-08,14.8756,0.380991
22,10.4764,0.0391309,43.4578,4.57198e-08,14.8473,0.379819
23,10.4759,0.0389973,43.4578,5.16736e-08,14.7794,0.37698
24,10.4767,0.0389513,43.4578,5.14859e-08,14.7401,0.375368
25,10.479,0.0390472,43.4578,5.24205e-08,14.7471,0.374395
26,10.4848,0.0390196,43.4578,5.50658e-08,14.8057,0.374895
27,10.4867,0.0389894,43.4578,5.54764e-08,14.876,0.374558
28,10.488,0.0388335,43.4578,5.40191e-08,14.9292,0.373429
29,10.4898,0.0386874,43.4578,5.31665e-08,14.9176,0.373888
30,10.4895,0.0386355,43.4578,5.04595e-08,14.9324,0.374035
31,10.4894,0.038656,43.4578,5.11002e-08,14.9503,0.37369
32,10.4898,0.0387311,43.4578,4.52556e-08,14.9524,0.373098
33,10.4893,0.0388157,43.4578,4.85204e-08,14.9395,0.373394
34,10.4863,0.0388567,43.4578,3.25507e-08,14.9017,0.37241
35,10.487,0.0388575,43.4578,3.6561e-08,14.9277,0.373191
36,10.4862,0.0390436,43.4578,4.2651e-08,15.0101,0.374695
37,10.4865,0.0391939,43.4578,4.56863e-08,15.0174,0.374183
38,10.4889,0.0391438,43.4578,5.0953e-08,15.0072,0.373969
39,10.4905,0.0391007,43.4578,4.13437e-08,15.0159,0.374492
40,10.4913,0.0389794,43.4578,4.05141e-08,15.0468,0.373567
41,10.492,0.0388766,43.4578,4.37456e-08,15.0879,0.373003
42,10.4929,0.038794,43.4578,4.79965e-08,15.0949,0.372897
43,10.4935,0.038798,43.4578,4.2557e-08,15.0885,0.373671
44,10.4954,0.0388169,43.4578,4.46229e-08,15.1495,0.374535
45,10.4954,0.0387147,43.4578,4.37763e-08,15.1945,0.374333
46,10.4943,0.0386405,43.4578,4.90122e-08,15.2028,0.374266
47,10.4929,0.0386128,43.4578,5.27923e-08,15.1962,0.373918
48,10.4939,0.0385599,43.4578,5.05538e-08,15.1775,0.373982
49,10.495,0.0385093,43.4578,5.43226e-08,15.1991,0.374083
50,10.4944,0.038444,43.4578,5.52781e-08,15.2281,0.373429
51,10.4954,0.0384439,43.4578,5.40849e-08,15.2307,0.373212
52,10.496,0.0384985,43.4578,5.83731e-08,15.2439,0.373049
53,10.4957,0.0385006,43.4578,5.52412e-08,15.2543,0.372226
54,10.4948,0.0383939,43.4578,5.83668e-08,15.2716,0.370935
55,10.4947,0.0384702,43.4578,5.65777e-08,15.2726,0.370871
56,10.4953,0.0385286,43.4578,5.63506e-08,15.3414,0.371416
57,10.4961,0.0384448,43.4578,6.18058e-08,15.4011,0.372802
58,10.497,0.0383795,43.4578,5.3653e-08,15.4098,0.372498
