popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
4.35664,7.02747,4.35664,2.43193,7.80463,3.19238,5.3566,3.19238,1.78203,5.71893,All
4.53586,7.16603,4.53586,2.53197,8.12568,3.36582,5.70989,3.36582,1.87884,6.02963,All
4.72244,7.32314,4.72244,2.63613,8.45994,3.54868,6.08237,3.54868,1.98092,6.35721,All
4.9167,7.492,4.9167,2.74457,8.80794,3.74147,6.4586,3.74147,2.08854,6.70259,All
4.92346,7.49848,4.92346,2.74834,8.82005,3.94474,6.80384,3.94474,2.202,7.06673,All
5.11895,7.69172,5.11895,2.85746,9.17026,4.02791,6.93747,4.02791,2.24843,7.21573,All
5.32953,7.91938,5.32953,2.97501,9.54748,4.15905,7.13496,4.15905,2.32163,7.45066,All
5.49029,8.09949,5.49029,3.06475,9.83547,4.38501,7.45488,4.38501,2.44777,7.85544,All
5.54876,8.165,5.54876,3.09739,9.94023,4.62324,7.75548,4.62324,2.58075,8.28222,All
5.77701,8.4238,5.77701,3.2248,10.3491,4.86345,8.04073,4.86345,2.71484,8.71254,All
6.01465,8.70614,6.01465,3.35745,10.7748,4.87441,8.05278,4.87441,2.72096,8.73218,All
6.05711,8.75692,6.05711,3.38115,10.8509,5.13923,8.33348,5.13923,2.86878,9.20659,All
6.26207,9.00329,6.26207,3.49556,11.2181,5.41844,8.61441,5.41844,3.02464,9.70677,All
6.51966,9.31196,6.51966,3.63936,11.6795,5.69898,8.88138,5.69898,3.18124,10.2093,All
6.62393,9.43542,6.62393,3.69756,11.8663,5.71282,8.89427,5.71282,3.18897,10.2341,All
6.78785,9.62628,6.78785,3.78906,12.16,6.02319,9.18166,6.02319,3.36222,10.7901,All
7.06707,9.93979,7.06707,3.94493,12.6602,6.35042,9.48975,6.35042,3.54488,11.3763,All
7.19075,10.0723,7.19075,4.01397,12.8817,6.53452,9.67055,6.53452,3.64765,11.7062,All
7.35778,10.2454,7.35778,4.10721,13.181,6.69543,9.83304,6.69543,3.73747,11.9944,All
7.66045,10.541,7.66045,4.27616,13.7232,7.05918,10.2123,7.05918,3.94052,12.646,All
7.75757,10.6327,7.75757,4.33037,13.8972,7.37006,10.5489,7.37006,4.11406,13.203,All
7.97557,10.8312,7.97557,4.45206,14.2877,7.4427,10.629,7.4427,4.15461,13.3331,All
8.30365,11.1191,8.30365,4.6352,14.8754,7.84705,11.0799,7.84705,4.38032,14.0575,All
8.32439,11.1368,8.32439,4.64678,14.9126,8.20559,11.4833,8.20559,4.58046,14.6998,All
8.64522,11.4095,8.64522,4.82587,15.4873,8.27337,11.5596,8.27337,4.6183,14.8212,All
8.89121,11.6173,8.89121,4.96319,15.928,8.72285,12.0618,8.72285,4.86921,15.6264,All
9.00085,11.7105,9.00085,5.02439,16.1244,9.04113,12.4088,9.04113,5.04687,16.1966,All
9.3711,12.03,9.3711,5.23107,16.7877,9.19675,12.576,9.19675,5.13374,16.4754,All
9.45803,12.1072,9.45803,5.27959,16.9434,9.6964,13.0878,9.6964,5.41265,17.3704,All
9.75659,12.3794,9.75659,5.44625,17.4783,9.87666,13.2649,9.87666,5.51328,17.6934,All
10.0249,12.6429,10.0249,5.596,17.9588,10.2232,13.5893,10.2232,5.70671,18.3142,All
10.1579,12.7737,10.1579,5.67029,18.1972,10.7122,14.0238,10.7122,5.97968,19.1902,All
10.5758,13.1853,10.5758,5.90354,18.9458,10.7786,14.0816,10.7786,6.01675,19.3091,All
10.5917,13.2017,10.5917,5.9124,18.9743,11.3642,14.562,11.3642,6.34363,20.3582,All
11.0108,13.6428,11.0108,6.14638,19.7252,11.5477,14.7102,11.5477,6.44609,20.687,All
11.1585,13.8,11.1585,6.22881,19.9897,11.9816,15.0493,11.9816,6.68828,21.4642,All
11.4638,14.1283,11.4638,6.39922,20.5366,12.3833,15.3553,12.3833,6.9125,22.1838,All
11.7253,14.4139,11.7253,6.54522,21.0051,12.6325,15.5425,12.6325,7.05164,22.6303,All
11.9353,14.6453,11.9353,6.66245,21.3813,13.2188,15.9813,13.2188,7.3789,23.6806,All
12.2921,15.0394,12.2921,6.86162,22.0205,13.3188,16.0589,13.3188,7.43475,23.8598,All
12.4263,15.1877,12.4263,6.93652,22.2609,14.0424,16.6201,14.0424,7.83867,25.1561,All
12.859,15.6646,12.859,7.17803,23.0359,14.0543,16.6293,14.0543,7.84531,25.1774,All
12.9375,15.7505,12.9375,7.22185,23.1766,14.8053,17.2185,14.8053,8.26453,26.5228,All
13.4258,16.2761,13.4258,7.49444,24.0514,14.8899,17.2894,14.8899,8.31172,26.6742,All
13.4697,16.3227,13.4697,7.51893,24.13,15.6097,17.9151,15.6097,8.71353,27.9637,All
13.9926,16.874,13.9926,7.81084,25.0668,15.7254,18.0219,15.7254,8.77812,28.171,All
14.0237,16.9059,14.0237,7.82823,25.1226,16.4578,18.6975,16.4578,9.18693,29.483,All
14.5594,17.4306,14.5594,8.12725,26.0822,16.5609,18.7963,16.5609,9.24453,29.6678,All
14.6006,17.4703,14.6006,8.15024,26.156,17.3519,19.5669,17.3519,9.68604,31.0847,All
15.1262,17.9763,15.1262,8.44366,27.0976,17.3965,19.6112,17.3965,9.71094,31.1646,All
15.2012,18.0478,15.2012,8.48551,27.2319,18.232,20.4526,18.232,10.1773,32.6614,All
15.6931,18.4922,15.6931,8.76006,28.1131,18.2946,20.5163,18.2946,10.2123,32.7735,All
15.8265,18.6091,15.8265,8.83457,28.3522,19.0676,21.3023,19.0676,10.6437,34.1582,All
16.2599,18.9886,16.2599,9.07647,29.1285,19.2885,21.527,19.2885,10.7671,34.5541,All
16.4776,19.1781,16.4776,9.19798,29.5184,19.9031,22.1515,19.9031,11.1102,35.655,All
16.8267,19.4756,16.8267,9.39288,30.1439,20.3364,22.5885,20.3364,11.352,36.4313,All
17.1554,19.754,17.1554,9.57635,30.7327,20.7386,22.9911,20.7386,11.5766,37.1518,All
17.3935,19.955,17.3935,9.70928,31.1593,21.4413,23.6739,21.4413,11.9688,38.4106,All
17.8611,20.3499,17.8611,9.97027,31.9969,21.5742,23.8019,21.5742,12.043,38.6487,All
17.9603,20.4338,17.9603,10.0257,32.1747,22.4097,24.5869,22.4097,12.5094,40.1455,All
18.5272,20.9168,18.5272,10.3421,33.1902,22.6062,24.7676,22.6062,12.619,40.4974,All
18.5958,20.976,18.5958,10.3804,33.3131,23.2452,25.3554,23.2452,12.9758,41.6423,All
19.094,21.4104,19.094,10.6585,34.2056,23.8343,25.8724,23.8343,13.3046,42.6976,All
19.3607,21.6483,19.3607,10.8074,34.6835,24.0808,26.0883,24.0808,13.4422,43.1391,All
19.6608,21.9221,19.6608,10.9749,35.221,24.9163,26.81,24.9163,13.9086,44.6359,All
20.1572,22.3835,20.1572,11.252,36.1102,25.1292,26.9893,25.1292,14.0274,45.0173,All
20.2276,22.4508,20.2276,11.2913,36.2364,25.7518,27.5055,25.7518,14.375,46.1327,All
20.7944,23.0102,20.7944,11.6077,37.2518,26.4944,28.108,26.4944,14.7895,47.463,All
20.9863,23.2057,20.9863,11.7148,37.5956,26.5874,28.1823,26.5874,14.8414,47.6295,All
21.3613,23.5966,21.3613,11.9241,38.2673,27.4229,28.8423,27.4229,15.3078,49.1263,All
21.8496,24.1269,21.8496,12.1967,39.1421,27.9338,29.238,27.9338,15.593,50.0416,All
21.9281,24.213,21.9281,12.2405,39.2827,28.2585,29.4864,28.2585,15.7742,50.6231,All
22.4949,24.8411,22.4949,12.5569,40.2981,29.094,30.1178,29.094,16.2406,52.1199,All
22.7484,25.129,22.7484,12.6985,40.7523,29.4515,30.377,29.4515,16.4402,52.7603,All
23.0617,25.4868,23.0617,12.8733,41.3135,29.9295,30.7205,29.9295,16.707,53.6167,All
23.6286,26.1388,23.6286,13.1898,42.329,30.7651,31.3207,30.7651,17.1734,55.1135,All
23.6842,26.2028,23.6842,13.2208,42.4286,31.0515,31.5264,31.0515,17.3333,55.6267,All
24.1954,26.7908,24.1954,13.5062,43.3444,31.6006,31.9209,31.6006,17.6398,56.6103,All
24.6585,27.3235,24.6585,13.7647,44.174,32.4361,32.5211,32.4361,18.1063,58.1071,All
24.7622,27.4428,24.7622,13.8226,44.3598,32.7385,32.7383,32.7385,18.275,58.6488,All
25.329,28.0948,25.329,14.139,45.3752,33.2717,33.1213,33.2717,18.5727,59.6039,All
