simulations,OFV
500,982.453
1000,981.451
1500,981.672
2000,981.994
2500,982.101
3000,982.153
3500,982.267
4000,982.273
4500,982.323
5000,982.406
5500,982.261
6000,981.848
6500,981.819
7000,981.879
7500,981.827
8000,981.793
8500,981.815
9000,981.751
9500,981.6
10000,981.667
10500,981.706
11000,981.72
11500,981.633
12000,981.529
12500,981.57
13000,981.595
13500,981.349
14000,981.351
14500,981.27
15000,981.232
15500,981.331
16000,981.36
16500,981.317
17000,981.337
17500,981.387
18000,981.367
18500,981.396
19000,981.463
19500,981.519
20000,981.548
20500,980.946
21000,980.952
21500,980.98
22000,980.934
22500,980.984
23000,980.964
23500,981.022
24000,981.066
24500,981.026
25000,981.101
25500,981.116
26000,981.123
26500,981.157
27000,981.121
27500,981.126
28000,981.112
28500,981.117
29000,981.14
29500,981.168
30000,981.213
