simulations, -2LL
1000,608.782
2000,608.865
3000,608.734
4000,608.799
5000,608.739
6000,608.574
7000,608.694
8000,608.798
9000,608.605
10000,608.546
11000,608.52
12000,608.585
13000,608.699
14000,608.74
15000,608.773
16000,608.82
17000,608.831
18000,608.88
19000,608.903
20000,608.928
21000,608.952
22000,609.005
23000,609.007
24000,609.004
25000,609.005
26000,609.021
27000,609.036
28000,608.903
29000,608.921
30000,608.887
