simulations,OFV
500,955.769
1000,956.456
1500,956.386
2000,955.318
2500,955.203
3000,955.611
3500,955.658
4000,955.615
4500,955.667
5000,955.858
5500,955.767
6000,955.52
6500,955.513
7000,955.627
7500,955.45
8000,955.572
8500,955.711
9000,955.705
9500,955.529
10000,954.953
10500,954.926
11000,954.867
11500,954.801
12000,954.589
12500,954.702
13000,954.551
13500,954.287
14000,954.199
14500,954.269
15000,954.316
15500,954.163
16000,954.233
16500,954.125
17000,954.208
17500,954.112
18000,953.903
18500,954.015
19000,954.059
19500,954.044
20000,954.056
20500,954.03
21000,954.018
21500,954.069
22000,954.137
22500,954.144
23000,954
23500,953.967
24000,953.871
24500,953.955
25000,954.048
25500,954.038
26000,954.037
26500,954.034
27000,953.966
27500,954.016
28000,954.121
28500,954.103
29000,954.145
29500,954.179
30000,954.27
