time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-60,0,0,0,0,0,0,0,0,0,0,0,All
-59.7129,6.23448,3.43688,4.59956,5.18863,5.62483,6.03185,6.44767,6.89605,7.44163,8.13159,9.47247,All
-59.4257,11.5587,6.45749,8.60804,9.6692,10.4582,11.1818,11.9239,12.7694,13.6752,14.9135,17.1945,All
-59.1386,16.1537,9.05033,12.1738,13.5908,14.6759,15.6678,16.6449,17.7702,18.9994,20.6017,23.5665,All
-58.8514,20.1573,11.368,15.3242,17.0479,18.3873,19.5941,20.774,22.1147,23.6148,25.5526,28.9956,All
-58.5643,23.7535,13.3874,18.15,20.1313,21.7036,23.0742,24.4319,25.896,27.6953,29.807,33.8535,All
-58.2771,26.9177,15.1837,20.7014,22.9178,24.6707,26.2368,27.6818,29.271,31.2772,33.6398,38.0656,All
-57.99,29.5157,16.7927,22.8868,25.1865,27.0996,28.7725,30.3412,32.0499,34.1998,36.8222,41.5396,All
-57.7028,25.8103,16.9916,20.2753,22.1604,23.7399,25.156,26.5168,28.0374,29.7603,32.2104,36.1191,All
-57.4157,22.9223,16.2881,18.4226,19.7845,21.0772,22.3449,23.4605,24.8377,26.3844,28.4216,32.1698,All
-57.1285,20.624,15.0758,16.8037,17.9913,19.1128,20.1052,21.1228,22.364,23.6799,25.4849,28.8751,All
-56.8414,18.8369,13.7548,15.4069,16.4909,17.4356,18.3854,19.336,20.3793,21.5747,23.1965,26.418,All
-56.5542,17.3272,12.498,14.0944,15.1143,16.0256,16.8808,17.7576,18.7474,19.9525,21.5157,24.6663,All
-56.2671,15.9642,11.3475,12.9389,13.8947,14.7593,15.5801,16.4033,17.3657,18.4777,20.1964,23.5094,All
-55.9799,14.816,10.345,11.9021,12.8415,13.6396,14.4171,15.2275,16.0918,17.2297,18.9826,22.6298,All
-55.6928,13.8121,9.38789,10.9978,11.8996,12.6963,13.4237,14.1646,14.9494,15.9864,17.5871,20.7095,All
-55.4056,12.9204,8.5905,10.1889,11.1014,11.8696,12.5462,13.2705,13.9964,14.9548,16.3467,19.0493,All
-55.1185,12.1269,7.85122,9.46135,10.3922,11.1358,11.8037,12.4646,13.1822,14.0569,15.2997,17.7366,All
-54.8313,11.4302,7.23307,8.79534,9.71842,10.4514,11.121,11.7464,12.4651,13.2743,14.4405,16.6398,All
