simulations,OFV
500,966.853
1000,967.582
1500,966.765
2000,964.261
2500,964.907
3000,964.966
3500,964.635
4000,964.813
4500,965.107
5000,965.49
5500,965.491
6000,965.73
6500,965.146
7000,965.259
7500,965.035
8000,965.195
8500,965.356
9000,965.162
9500,965.003
10000,964.725
10500,964.67
11000,964.627
11500,964.427
12000,964.054
12500,964.068
13000,963.759
13500,963.544
14000,963.421
14500,963.438
15000,963.553
15500,963.545
16000,963.733
16500,963.464
17000,963.556
17500,963.657
18000,963.417
18500,963.554
19000,963.455
19500,963.431
20000,963.248
20500,963.213
21000,962.988
21500,963.05
22000,963.148
22500,963.152
23000,962.766
23500,962.495
24000,962.437
24500,962.482
25000,962.552
25500,962.591
26000,962.502
26500,962.391
27000,962.298
27500,962.358
28000,962.48
28500,962.489
29000,962.615
29500,962.701
30000,962.78
