simulations,OFV
500,945.155
1000,946.343
1500,945.381
2000,945.753
2500,946.536
3000,946.914
3500,946.899
4000,946.922
4500,947.107
5000,947.083
5500,946.934
6000,946.831
6500,946.789
7000,946.729
7500,946.849
8000,946.941
8500,947.079
9000,946.969
9500,946.746
10000,946.7
10500,946.636
11000,946.714
11500,946.622
12000,946.508
12500,946.469
13000,945.736
13500,945.707
14000,945.721
14500,945.155
15000,945.172
15500,945.216
16000,945.312
16500,945.096
17000,945.161
17500,945.178
18000,945.182
18500,945.265
19000,945.265
19500,945.244
20000,945.179
20500,945.132
21000,945.003
21500,945.029
22000,944.61
22500,944.634
23000,944.538
23500,944.605
24000,944.579
24500,944.553
25000,944.59
25500,944.62
26000,944.645
26500,944.532
27000,944.509
27500,944.507
28000,944.593
28500,944.597
29000,944.649
29500,944.737
30000,944.809
