parameter,value,se_lin,rse_lin
Cl_pop,5.25235899165691,0.290475135122495,5.53037474368943
beta_Cl_logtCLCRMLMIN,0.588658998238487,0.238014212009318,40.433292062392
V1_pop,21.9708779578144,1.9596319932388,8.91922478929348
Q_pop,5.36174308370805,1.12405388124744,20.9643368527473
V2_pop,14.7929048373342,1.76489349333887,11.9306756363676
omega_Cl,0.202715997724773,0.0392342672014103,19.3543023943668
omega_V1,0.285127572562166,0.0637668473768706,22.3643216276348
omega_Q,0.346761909469076,0.278332254532015,80.2660981300302
omega_V2,0.235414524020016,0.142356544445125,60.4705869519847
corr_V2_V1,0.998937831820853,0.427206769495285,42.7661017419449
a1,0.294288448703357,0.0217086282383031,7.37664979171011
a2,0.0820514602341249,0.00795012034530432,9.68918812976579
