Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25,Run_26,Run_27,Run_28,Run_29,Run_30,Run_31,Run_32,Run_33,Run_34
Cl_pop,5.27519,5.27094,5.27882,5.22874,5.25311,5.23307,5.26191,5.26294,5.17816,5.26415,5.25507,5.26433,5.25775,5.26688,5.25493,5.24822,5.26604,5.2592,5.23132,5.24771,5.26783,5.25236,5.26721,5.2951,5.2611,5.24956,5.26341,5.25624,5.23102,5.25804,5.22766,5.2557,5.25839,5.26448
beta_Cl_logtCLCRMLMIN,0.621882,0.619175,0.60918,0.627593,0.619793,0.633138,0.603224,0.612333,0.638578,0.607314,0.601676,0.61726,0.579831,0.620582,0.617971,0.589632,0.621289,0.620631,0.628309,0.628596,0.614439,0.588659,0.620224,0.614799,0.628354,0.624552,0.617638,0.596607,0.629691,0.609339,0.618044,0.607051,0.622567,0.606012
V1_pop,20.5334,19.5722,18.8597,21.0126,18.5158,18.5843,21.3483,21.0124,22.0225,21.0978,21.6013,20.5094,21.8019,20.6966,20.8194,22.1369,20.8102,20.6232,19.1751,20.7625,20.3304,21.9709,20.5186,16.2261,19.2273,20.6449,20.5141,22.04,20.7886,20.9078,20.5326,21.343,20.1965,21.7483
Q_pop,6.12827,7.10451,8.11755,5.37427,7.53783,7.3877,5.75937,5.78026,4.75605,5.8285,5.50361,6.22327,5.54764,6.04232,5.8858,5.03038,5.95518,6.02438,6.71787,5.67557,6.50206,5.36174,6.26487,11.2367,7.07489,5.88997,6.12392,5.21678,5.54864,6.23054,5.66667,5.62033,6.22241,5.43548
V2_pop,22.575,23.3289,21.2882,30.309,28.6198,34.0505,17.1484,19.9206,36.9531,19.4161,16.2564,19.6765,14.454,21.8693,20.8486,13.4482,21.9136,20.7945,32.4821,26.3003,19.6958,14.7929,19.9298,26.5731,26.0436,25.814,20.6707,15.614,30.1532,18.1819,31.2492,18.7135,23.9121,18.2206
omega_Cl,0.207198,0.211394,0.208294,0.210917,0.208229,0.21222,0.203939,0.206091,0.213919,0.206572,0.203715,0.207622,0.201198,0.206727,0.206559,0.199751,0.206699,0.20687,0.20887,0.209906,0.207277,0.202716,0.206809,0.209957,0.209287,0.210783,0.207848,0.200719,0.210118,0.205683,0.209509,0.204891,0.210753,0.204582
omega_V1,0.285532,0.252053,0.317547,0.251399,0.348336,0.350995,0.275436,0.274183,0.259148,0.301983,0.285822,0.277952,0.27436,0.258576,0.262568,0.277188,0.271927,0.274386,0.342867,0.226823,0.31065,0.285128,0.284926,0.340964,0.297533,0.286685,0.285576,0.26344,0.273593,0.286966,0.272029,0.265421,0.267635,0.255411
omega_Q,0.592322,0.781217,0.648908,0.690047,0.839722,0.91487,0.469593,0.564422,0.630743,0.49184,0.425267,0.586882,0.387973,0.630104,0.580576,0.198717,0.609353,0.577723,0.824971,0.70641,0.581979,0.346762,0.575258,0.833366,0.746056,0.678068,0.60259,0.358673,0.69542,0.551633,0.782998,0.533563,0.688092,0.491847
omega_V2,0.252253,0.204206,0.279247,0.243731,0.288619,0.279436,0.215677,0.249699,0.214242,0.263271,0.224972,0.23158,0.212542,0.21263,0.257261,0.208552,0.238256,0.231134,0.302488,0.177052,0.245022,0.235415,0.267194,0.30725,0.267949,0.25494,0.22174,0.238668,0.239862,0.230903,0.204122,0.226558,0.231661,0.230501
corr_V2_V1,0.998972,0.998149,0.998938,0.998478,0.998674,0.999,0.998374,0.998681,0.998782,0.998877,0.999,0.998874,0.99872,0.998287,0.998703,0.999,0.999,0.998551,0.998937,0.997789,0.999,0.998938,0.998986,0.998596,0.998813,0.999,0.999,0.998577,0.997192,0.998958,0.999,0.999,0.999,0.998984
a1,0.302821,0.303782,0.30393,0.30612,0.307328,0.305931,0.297956,0.300618,0.305321,0.300197,0.295814,0.302936,0.29143,0.301224,0.301574,0.291516,0.302111,0.302938,0.306075,0.305057,0.303164,0.294288,0.301706,0.306344,0.306006,0.30439,0.302617,0.29322,0.305031,0.29929,0.304575,0.297877,0.305286,0.295623
a2,0.0648471,0.0637762,0.0642939,0.0624253,0.0597866,0.0642497,0.0729618,0.0673405,0.0648879,0.0675485,0.0777239,0.0649753,0.0850749,0.0661365,0.0652754,0.0902747,0.0642644,0.0652833,0.0626431,0.0628628,0.0651748,0.0820515,0.0646827,0.0642052,0.0624251,0.0622264,0.0653133,0.0821609,0.0632165,0.0692511,0.0634261,0.0705199,0.0616685,0.0741034
-2LL,935.967,938.673,939.606,942.717,949.413,953.674,940.702,935.207,944.94,936.176,944.189,935.266,952.391,935.898,934.621,960.296,935.253,935.202,951.191,939.41,935.763,951.636,934.694,952.528,941.106,938.654,935.508,948.64,943.061,937.445,944.728,937.233,937.247,939.104
